cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,38.0,2026-06-06T21:40:19,1042.4,515.468,3.30663,6.6562,5.9062,0.75,0.0039,0.9961,,5.469,,,,,,,,
1004,1004,0,984.0,2026-06-06T21:56:06,912.9,525.23,3.76914,2.2639,1.8104,0.4535,0.8872,0.133,,1.758,,,10.931,,,,,
1995,1995,0,1954.0,2026-06-06T22:12:15,892.9,549.484,3.86942,2.4799,1.899,0.5809,0.927,0.075,,1.5,,,14.03,,,,,
2990,2990,0,2863.0,2026-06-06T22:27:24,843.2,547.671,3.90667,2.547,1.9299,0.6171,0.952,0.0519,,1.416,,,14.6,,,,,
4007,4007,0,3769.0,2026-06-06T22:42:31,839.3,562.828,3.87136,2.5458,1.9183,0.6275,0.9581,0.0422,,1.319,,,14.719,,,,,
5020,5020,0,4678.0,2026-06-06T22:57:40,846.6,581.66,3.80204,2.5263,1.905,0.6213,0.9695,0.0377,,1.267,,,14.81,,,,,
6029,6029,0,5586.0,2026-06-06T23:12:48,847.5,543.102,3.87931,2.4693,1.8606,0.6087,0.9602,0.0343,,1.529,,,14.887,,,,,
6983,6983,0,6435.0,2026-06-06T23:26:56,826.8,565.445,3.84016,2.5121,1.8847,0.6274,0.9685,0.0325,,2.034,,,14.955,,,,,
8000,8000,0,7343.0,2026-06-06T23:42:05,809.4,557.543,3.87718,2.5465,1.886,0.6605,0.9738,0.0292,,1.983,,,15.285,,,,,
8986,8986,0,8252.0,2026-06-06T23:57:14,877.8,604.532,3.70299,2.5712,1.9081,0.6631,0.9757,0.0283,,1.116,,,15.407,,,,,
10019,10019,0,9222.0,2026-06-07T00:13:23,872.9,596.493,3.73713,2.5706,1.8951,0.6755,0.9754,0.0266,,1.856,,,15.447,,,,,
10975,10975,0,10193.0,2026-06-07T00:29:35,990.8,598.111,3.78913,2.5781,1.896,0.6821,0.9735,0.0264,,1.824,,,15.427,,,,,
11979,11979,0,11223.0,2026-06-07T00:46:45,917.9,599.725,3.79529,2.5698,1.8955,0.6743,0.981,0.0252,,1.734,,,15.422,,,,,
13005,13005,0,12194.0,2026-06-07T01:02:56,885.1,606.917,3.79656,2.5596,1.888,0.6716,0.9825,0.0248,,1.354,,,15.408,,,,,
13986,13986,0,13105.0,2026-06-07T01:18:07,877.9,613.222,3.79348,2.5106,1.8623,0.6483,0.9801,0.024,,0.987,,,15.398,,,,,
15029,15029,0,14074.0,2026-06-07T01:34:15,840.5,602.935,3.82762,2.4221,1.8086,0.6135,0.9754,0.0214,,0.978,,,15.47,,,,,
16025,16025,0,14983.0,2026-06-07T01:49:25,872.6,626.361,3.95481,2.4638,1.8145,0.6493,0.9841,0.0219,,1.497,,,15.539,,,,,
16978,16978,0,15832.0,2026-06-07T02:03:34,833.1,624.067,3.79815,2.3992,1.7948,0.6044,0.9859,0.0196,,0.966,,,15.604,,,,,
17980,17980,0,16741.0,2026-06-07T02:18:43,833.7,630.162,3.7246,2.4464,1.8097,0.6367,0.9749,0.0223,,1.208,,,15.599,,,,,
18991,18991,0,17651.0,2026-06-07T02:33:52,839.6,618.674,3.76117,2.4167,1.791,0.6257,0.9741,0.0201,,1.437,,,15.615,,,,,
20023,20023,0,18559.0,2026-06-07T02:49:01,824.2,618.674,3.8126,2.3951,1.769,0.6261,0.9832,0.0205,,1.283,,,15.635,,,,,
20972,20972,0,19408.0,2026-06-07T03:03:10,821.5,634.688,3.74843,2.4398,1.7919,0.6479,0.9738,0.0198,,1.427,,,15.657,,,,,
22003,22003,0,20316.0,2026-06-07T03:18:18,822.8,630.919,3.81763,2.3949,1.772,0.6229,0.9754,0.0189,,1.05,,,15.662,,,,,
23019,23019,0,21478.0,2026-06-07T03:37:40,945.1,629.404,3.87407,2.3941,1.7893,0.6048,0.9767,0.0171,,0.901,,,15.727,,,,,
24014,24014,0,22705.0,2026-06-07T03:58:07,972.8,611.653,3.8758,2.4126,1.7956,0.617,0.9876,0.0166,,0.849,,,15.875,,,,,
24979,24979,0,23869.0,2026-06-07T04:17:31,948.3,620.22,4.03386,2.3271,1.7058,0.6213,0.9732,0.016,,2.046,,,15.879,,,,,
25984,25984,0,25094.0,2026-06-07T04:37:57,922.9,620.22,3.87646,2.2496,1.6784,0.5712,0.9907,0.0154,,1.094,,,15.843,,,,,
27006,27006,0,26321.0,2026-06-07T04:58:23,931.5,617.898,3.89261,2.2502,1.6702,0.58,0.9856,0.0148,,1.391,,,15.832,,,,,
28007,28007,0,27548.0,2026-06-07T05:18:50,944.6,627.123,3.839,2.2915,1.6859,0.6056,0.9847,0.0156,,1.316,,,15.807,,,,,
29006,29006,0,28776.0,2026-06-07T05:39:19,942.3,624.833,3.86458,2.2384,1.6728,0.5656,0.9814,0.0143,,1.022,,,15.816,,,,,
30002,30002,0,30007.0,2026-06-07T05:59:49,958.3,634.688,3.84839,2.2525,1.6673,0.5852,0.9803,0.0143,,1.36,,,15.796,,,,,
30986,30986,0,31234.0,2026-06-07T06:20:17,947.0,642.887,3.91671,2.2894,1.6954,0.594,0.9865,0.0147,,1.387,,,15.787,,,,,
31980,31980,0,32463.0,2026-06-07T06:40:46,928.3,623.3,3.82958,2.2645,1.6753,0.5892,0.9843,0.0152,,1.176,,,15.746,,,,,
32993,32993,0,33814.0,2026-06-07T07:03:16,953.8,625.597,3.85363,2.3739,1.7638,0.6101,0.9879,0.0146,,0.826,,,15.742,,,,,
33990,33990,0,35105.0,2026-06-07T07:24:47,915.2,655.325,3.78075,2.3343,1.7213,0.613,0.9826,0.0153,,1.479,,,15.839,,,,,
34977,34977,0,36396.0,2026-06-07T07:46:19,946.3,660.369,3.80488,2.2333,1.6674,0.5659,0.9856,0.0141,,1.113,,,15.891,,,,,
36002,36002,0,37748.0,2026-06-07T08:08:51,932.9,642.146,3.78302,2.2759,1.685,0.5909,0.9872,0.0151,,1.278,,,15.825,,,,,
37022,37022,0,39102.0,2026-06-07T08:31:24,938.4,645.838,3.83609,2.2524,1.6766,0.5758,0.9893,0.0142,,1.085,,,15.812,,,,,
37997,37997,0,40269.0,2026-06-07T08:50:51,862.5,669.625,3.77632,2.3087,1.7161,0.5926,0.9856,0.0141,,1.256,,,15.831,,,,,
38983,38983,0,41182.0,2026-06-07T09:06:04,849.4,641.405,3.77622,2.2831,1.7031,0.58,0.9697,0.0155,,1.162,,,15.828,,,,,
39990,39990,0,42158.0,2026-06-07T09:22:19,864.8,646.574,3.90533,2.3084,1.7097,0.5987,0.9822,0.0155,,1.37,,,15.792,,,,,
40978,40978,0,43071.0,2026-06-07T09:37:33,838.9,671.037,3.71609,2.3199,1.6865,0.6334,0.9845,0.0161,,1.786,,,15.785,,,,,
42015,42015,0,43983.0,2026-06-07T09:52:45,803.6,665.371,3.84742,2.2474,1.6896,0.5578,0.9914,0.0126,,0.782,,,15.784,,,,,
42986,42986,0,44834.0,2026-06-07T10:06:56,799.5,677.35,3.65734,2.2842,1.6727,0.6115,0.9844,0.0146,,1.601,,,15.74,,,,,
44033,44033,0,45747.0,2026-06-07T10:22:09,797.2,668.211,3.80072,2.2825,1.6783,0.6042,0.9818,0.0134,,1.273,,,15.724,,,,,
45023,45023,0,46723.0,2026-06-07T10:38:25,862.0,663.233,3.84705,2.3,1.6995,0.6005,0.9901,0.0136,,1.373,,,15.716,,,,,
46011,46011,0,48143.0,2026-06-07T11:02:06,945.5,663.233,3.84566,2.5392,1.8463,0.6929,0.9912,0.0154,,1.64,,,15.543,,,,,
46996,46996,0,49569.0,2026-06-07T11:25:52,953.7,660.369,3.84067,2.5772,1.8649,0.7123,0.9785,0.0136,,2.161,,,15.642,,,,,
48001,48001,0,51002.0,2026-06-07T11:49:45,975.5,668.211,3.80951,2.6118,1.9378,0.674,0.9862,0.0123,,0.739,,,15.771,,,,,
49013,49013,0,52491.0,2026-06-07T12:14:33,956.3,665.371,3.76222,2.6893,1.9476,0.7417,0.9852,0.013,,2.262,,,15.825,,,,,
49977,49977,0,53405.0,2026-06-07T12:29:47,800.8,661.803,3.96847,2.6254,1.9095,0.7159,0.9834,0.0123,,2.216,,,15.842,,,,,
51008,51008,0,54317.0,2026-06-07T12:44:59,790.0,661.803,3.97205,2.6338,1.9131,0.7207,0.9825,0.0122,,2.092,,,15.813,,,,,
51976,51976,0,55170.0,2026-06-07T12:59:12,791.7,685.67,3.72322,2.6655,1.9141,0.7514,0.985,0.0123,,2.304,,,15.78,,,,,
53008,53008,0,56083.0,2026-06-07T13:14:25,794.9,682.216,3.77212,2.6657,1.9073,0.7584,0.9901,0.0118,,2.656,,,15.759,,,,,
53992,53992,0,60347.0,2026-06-07T14:25:29,2064.7,669.625,3.84293,2.7194,1.9511,0.7683,0.9844,0.0116,,2.82,,,15.602,,,,,
55008,55008,0,63124.0,2026-06-07T15:11:47,2224.5,,,2.691,1.9482,0.7428,0.9933,0.0112,,2.587,,,15.618,,,,,
56007,56007,0,65602.0,2026-06-07T15:53:04,2238.2,,,2.685,1.927,0.758,0.9888,0.0114,,2.755,,,15.609,,,,,
57002,57002,0,68266.0,2026-06-07T16:37:29,2359.4,,,2.6896,1.9349,0.7547,0.9921,0.0114,,2.159,,,15.616,,,,,
57985,57985,0,71324.0,2026-06-07T17:28:26,974.6,,,2.6791,1.8981,0.781,0.9923,0.0101,,3.711,,,15.636,,,,,
58933,58933,0,72361.0,2026-06-07T17:45:44,1002.4,,,2.6874,1.9176,0.7698,0.9844,0.0106,,2.84,,,15.645,,,,,
