cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,15.0,2026-08-08T17:40:41,873.1,1679,1.956,3.125,2.1094,1.0156,0.9984,0.0019,,2.344,,,,,,,,
976,976,0,620.0,2026-08-08T17:50:46,625.7,1726,1.821,3.0159,2.0047,1.0112,0.9969,0.0023,,1.33,,,169.608,,,,,
2004,2004,0,1284.0,2026-08-08T18:01:50,639.1,1735,1.828,3.0053,2.0105,0.9948,0.9984,0.0023,,1.333,,,169.81,,,,,
3038,3038,0,1948.0,2026-08-08T18:12:55,634.6,1735,1.829,3.0139,2.0078,1.0061,0.9987,0.0023,,1.224,,,169.875,,,,,
3979,3979,0,2552.0,2026-08-08T18:22:59,634.3,1741,1.877,3.0072,2.0044,1.0028,0.997,0.0019,,1.909,,,169.909,,,,,
5011,5011,0,3217.0,2026-08-08T18:34:03,637.3,1751,1.844,2.9833,2.0028,0.9805,0.9988,0.0016,,1.524,,,170.086,,,,,
6028,6028,0,3882.0,2026-08-08T18:45:08,639.6,1755,1.859,2.9798,1.9989,0.9809,0.9974,0.0016,,1.459,,,170.355,,,,,
6967,6967,0,4487.0,2026-08-08T18:55:13,635.1,1760,1.856,2.987,2.0037,0.9833,0.9989,0.0016,,1.451,,,170.539,,,,,
7986,7986,0,5152.0,2026-08-08T19:06:18,653.7,1744,1.879,2.9764,1.99,0.9864,0.9987,0.0015,,1.555,,,170.738,,,,,
9021,9021,0,5817.0,2026-08-08T19:17:23,633.2,1750,1.879,2.9872,2.0103,0.9769,0.999,0.0014,,1.319,,,170.932,,,,,
9962,9962,0,6420.0,2026-08-08T19:27:26,632.9,1755,1.864,2.9866,2.014,0.9726,0.9964,0.0014,,1.169,,,170.982,,,,,
10990,10990,0,7085.0,2026-08-08T19:38:32,645.3,1752,1.874,2.9796,2.0074,0.9722,0.9984,0.0014,,1.174,,,170.979,,,,,
12026,12026,0,7752.0,2026-08-08T19:49:38,633.6,1753,1.888,2.9702,1.9998,0.9704,0.9991,0.0013,,1.332,,,170.939,,,,,
12970,12970,0,8357.0,2026-08-08T19:59:43,632.5,1755,1.874,2.9726,2.0005,0.9721,0.9983,0.0012,,1.285,,,170.771,,,,,
14014,14014,0,9024.0,2026-08-08T20:10:50,630.4,1755,1.875,2.9904,2.0042,0.9862,0.9993,0.0012,,1.204,,,170.574,,,,,
14962,14962,0,9629.0,2026-08-08T20:20:56,631.7,1749,1.892,2.9869,2.0023,0.9846,0.9992,0.0012,,1.243,,,170.4,,,,,
16001,16001,0,,2026-08-08T20:31:59,,1753,1.875,2.9626,1.996,0.9666,,,,1.319,,,,,,,,
17034,17034,0,10962.0,2026-08-08T20:43:09,644.8,1754,1.849,2.9693,2.0043,0.965,0.999,0.0012,,1.294,,,170.031,,,,,
17981,17981,0,11569.0,2026-08-08T20:53:16,632.6,1755,1.854,2.9722,2.006,0.9662,0.9985,0.0012,,1.19,,,170.006,,,,,
19024,19024,0,12236.0,2026-08-08T21:04:22,631.2,1753,1.857,2.9643,2.004,0.9603,0.9994,0.0012,,1.238,,,170.006,,,,,
19974,19974,0,12843.0,2026-08-08T21:14:29,630.9,1748,1.868,2.9784,2.0033,0.9751,0.9989,0.0012,,1.443,,,170.004,,,,,
20998,20998,0,13508.0,2026-08-08T21:25:34,631.7,1757,1.880,2.9618,1.9695,0.9923,0.999,0.0012,,1.45,,,170.0,,,,,
22037,22037,0,14174.0,2026-08-08T21:36:41,636.9,1759,1.873,2.9733,1.9785,0.9948,0.9988,0.0012,,1.447,,,170.0,,,,,
22966,22966,0,14778.0,2026-08-08T21:46:44,634.5,1753,1.876,2.9723,1.9776,0.9947,0.9984,0.0012,,1.451,,,170.0,,,,,
24008,24008,0,15445.0,2026-08-08T21:57:52,632.0,1754,1.893,2.9805,1.9794,1.0011,0.999,0.0013,,1.703,,,170.0,,,,,
24954,24954,0,16051.0,2026-08-08T22:07:57,632.2,1753,1.836,2.9865,1.9956,0.9909,0.9988,0.0013,,1.542,,,170.0,,,,,
25973,25973,0,16718.0,2026-08-08T22:19:04,657.1,1751,1.809,2.9755,1.9918,0.9837,0.9992,0.0013,,1.333,,,170.0,,,,,
27008,27008,0,17384.0,2026-08-08T22:30:10,634.7,1748,1.818,2.9802,1.9843,0.9959,0.9981,0.0014,,1.341,,,170.0,,,,,
