cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
58,58,0,63.0,2026-08-06T21:56:17,810.8,1716,1.975,3.4389,2.3384,1.1005,0.9982,0.0024,,2.67,,,169.0,,,,,
1078,1078,,704.5,,,1641,2.212,,,,,,,,,,,,,,,
1878,1878,,1225.0,,,1712,2.016,,,,,,,,,,,,,,,
2927,2927,,1906.8,,,1692,2.149,,,,,,,,,,,,,,,
3953,3953,,2567.3,,,1659,2.156,,,,,,,,,,,,,,,
5027,5027,,3259.8,,,1694,2.083,,,,,,,,,,,,,,,
6077,6077,,3936.9,,,1681,2.092,,,,,,,,,,,,,,,
7127,7127,,4612.0,,,1665,2.169,,,,,,,,,,,,,,,
7927,7927,,5134.2,,,1669,2.095,,,,,,,,,,,,,,,
8953,8953,,5795.9,,,1661,2.131,,,,,,,,,,,,,,,
10002,10002,,6470.3,,,1609,2.174,,,,,,,,,,,,,,,
11028,11028,,7131.1,,,1627,2.200,,,,,,,,,,,,,,,
12078,12078,,7805.6,,,1687,2.048,,,,,,,,,,,,,,,
12878,12878,,8320.4,,,1664,2.086,,,,,,,,,,,,,,,
13903,13903,,8992.5,,,1685,2.104,,,,,,,,,,,,,,,
14928,14928,,9655.5,,,1649,2.158,,,,,,,,,,,,,,,
16002,16002,,10348.5,,,1622,2.127,,,,,,,,,,,,,,,
17003,17003,,11001.4,,,1716,2.055,,,,,,,,,,,,,,,
18052,18052,,11685.8,,,1620,2.093,,,,,,,,,,,,,,,
19102,19102,,12383.6,,,1641,2.166,,,,,,,,,,,,,,,
19878,19878,,12893.2,,,1682,2.062,,,,,,,,,,,,,,,
20926,20926,,13584.3,,,1615,2.197,,,,,,,,,,,,,,,
21869,852,,14203.5,,,1696,2.014,,,,,,,,,,,,,,,
22945,1928,,14907.7,,,1693,2.065,,,,,,,,,,,,,,,
23901,352,2,15536.0,2026-08-07T02:20:54,608.9,1657,2.025,3.0226,2.0187,1.0039,0.9973,0.002,,2.544,,,170.0,,,,,
24951,1402,,16215.0,,,1679,2.000,,,,,,,,,,,,,,,
26001,2452,,16896.1,,,1731,1.864,,,,,,,,,,,,,,,
27051,3502,,17576.5,,,1674,1.944,,,,,,,,,,,,,,,
28077,4528,,18238.1,,,1719,1.992,,,,,,,,,,,,,,,
29101,5552,,18906.2,,,1656,2.035,,,,,,,,,,,,,,,
29876,6327,,19412.4,,,1692,1.913,,,,,,,,,,,,,,,
30927,7378,,20092.7,,,1585,2.163,,,,,,,,,,,,,,,
31951,8402,,20758.9,,,1630,2.000,,,,,,,,,,,,,,,
32976,9427,,21425.5,,,1666,2.104,,,,,,,,,,,,,,,
34027,10478,,22108.8,,,1646,2.025,,,,,,,,,,,,,,,
35101,11552,,22814.5,,,1628,2.010,,,,,,,,,,,,,,,
35901,12352,,23333.6,,,1689,1.974,,,,,,,,,,,,,,,
36975,13426,,24030.8,,,1716,1.935,,,,,,,,,,,,,,,
38001,14452,,24699.0,,,1734,1.945,,,,,,,,,,,,,,,
39026,15477,,25364.7,,,1686,2.038,,,,,,,,,,,,,,,
40101,16552,,26067.7,,,1673,1.976,,,,,,,,,,,,,,,
40877,17328,,26581.2,,,1672,2.048,,,,,,,,,,,,,,,
41877,18328,,27233.3,,,1661,1.932,,,,,,,,,,,,,,,
42926,19377,,27916.9,,,1666,1.967,,,,,,,,,,,,,,,
43975,20426,,28602.4,,,1747,1.960,,,,,,,,,,,,,,,
45002,21453,,29273.7,,,1717,1.949,,,,,,,,,,,,,,,
46052,22503,,29976.6,,,1654,2.033,,,,,,,,,,,,,,,
47077,23528,,30671.5,,,1636,2.157,,,,,,,,,,,,,,,
48102,24553,,31349.8,,,1638,2.049,,,,,,,,,,,,,,,
48901,25352,,31879.2,,,1645,2.122,,,,,,,,,,,,,,,
49950,26401,,32573.7,,,1635,2.021,,,,,,,,,,,,,,,
50975,27426,,33252.3,,,1679,2.056,,,,,,,,,,,,,,,
51976,28427,,33919.3,,,1686,1.898,,,,,,,,,,,,,,,
53027,29478,,34607.6,,,1573,2.196,,,,,,,,,,,,,,,
54077,30528,,35293.7,,,1675,2.065,,,,,,,,,,,,,,,
54901,31352,,35830.1,,,1686,2.000,,,,,,,,,,,,,,,
55927,32378,,36495.8,,,1692,2.035,,,,,,,,,,,,,,,
56952,33403,,37169.3,,,1671,2.046,,,,,,,,,,,,,,,
58026,34477,,37862.4,,,1634,2.117,,,,,,,,,,,,,,,
59077,35528,,38538.9,,,1653,2.066,,,,,,,,,,,,,,,
59876,36327,,39052.3,,,1695,1.941,,,,,,,,,,,,,,,
60927,37378,,39726.8,,,1710,1.895,,,,,,,,,,,,,,,
61976,38427,,40403.9,,,1686,1.951,,,,,,,,,,,,,,,
63003,39454,,41077.7,,,1679,2.032,,,,,,,,,,,,,,,
64076,40527,,41771.5,,,1657,2.043,,,,,,,,,,,,,,,
64876,41327,,42293.6,,,1677,1.984,,,,,,,,,,,,,,,
65926,42377,,42979.7,,,1654,1.975,,,,,,,,,,,,,,,
66976,43427,,43665.9,,,1733,1.900,,,,,,,,,,,,,,,
68001,44452,,44351.9,,,1706,1.961,,,,,,,,,,,,,,,
69051,45502,,47022.3,,,1716,1.950,,,,,,,,,,,,,,,
70076,46527,,49400.1,,,1717,1.947,,,,,,,,,,,,,,,
71102,47553,,51826.6,,,1609,2.051,,,,,,,,,,,,,,,
71927,48378,,53290.6,,,1678,1.990,,,,,,,,,,,,,,,
72975,49426,,49448.1,,,1640,2.024,,,,,,,,,,,,,,,
73976,50427,,48585.5,,,1668,1.941,,,,,,,,,,,,,,,
75000,51451,,53000.9,,,1682,1.929,,,,,,,,,,,,,,,
76051,52502,,58379.8,,,1660,2.077,,,,,,,,,,,,,,,
77076,53527,,58140.0,,,1694,1.941,,,,,,,,,,,,,,,
77952,54403,,54339.7,,,1679,2.022,,,,,,,,,,,,,,,
79002,55453,,59760.4,,,1678,1.973,,,,,,,,,,,,,,,
80000,56451,,59141.7,,,1665,2.035,,,,,,,,,,,,,,,
81051,57502,,59787.7,,,1708,1.933,,,,,,,,,,,,,,,
82101,58552,,56871.7,,,1702,1.940,,,,,,,,,,,,,,,
82900,59351,,58992.7,,,1700,1.961,,,,,,,,,,,,,,,
83902,60353,,65069.4,,,1642,2.018,,,,,,,,,,,,,,,
84952,61403,,65753.6,,,1704,1.950,,,,,,,,,,,,,,,
86001,62452,,66448.6,,,1707,1.947,,,,,,,,,,,,,,,
87027,63478,,67119.4,,,1656,2.069,,,,,,,,,,,,,,,
88077,64528,,67808.9,,,1583,2.104,,,,,,,,,,,,,,,
88876,65327,,68333.9,,,1711,1.926,,,,,,,,,,,,,,,
89951,66402,,69045.1,,,1711,1.930,,,,,,,,,,,,,,,
90977,67428,,69727.6,,,1682,1.939,,,,,,,,,,,,,,,
92025,68476,,70422.6,,,1576,2.075,,,,,,,,,,,,,,,
