cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,30.0,2026-06-10T09:11:17,892.7,504.416,3.73052,6.9609,5.8125,1.1484,0.0046,0.9961,,8.812,,,,,,,,
960,960,0,772.0,2026-06-10T09:23:40,782.5,506.451,4.08604,2.3952,1.8848,0.5104,0.9,0.1352,,1.346,,,10.811,,,,,
2003,2003,1,3513.0,2026-06-10T10:42:35,3592.0,483.369,4.10562,2.421,1.8456,0.5754,0.9458,0.0612,,1.217,,,14.734,,,,,
3031,3031,2,4617.0,2026-06-10T11:03:28,750.3,471.2,3.96665,2.4256,1.8543,0.5713,0.9591,0.0422,,1.213,,,15.469,,,,,
3966,3966,2,5343.0,2026-06-10T11:15:34,765.8,498.237,3.90227,2.3719,1.8158,0.5561,0.97,0.0365,,1.163,,,15.637,,,,,
4984,4984,2,6130.0,2026-06-10T11:28:41,782.5,486.611,3.85598,2.409,1.8368,0.5722,0.9568,0.0332,,1.144,,,15.763,,,,,
6007,6007,2,6917.0,2026-06-10T11:41:48,748.9,483.369,3.89147,2.4308,1.8463,0.5845,0.9744,0.0306,,1.484,,,15.855,,,,,
7025,7025,2,7704.0,2026-06-10T11:54:55,778.8,517.441,3.82321,2.4075,1.8252,0.5823,0.9714,0.0285,,2.087,,,15.927,,,,,
8037,8037,2,8492.0,2026-06-10T12:08:03,773.5,480.095,3.86154,2.3815,1.8097,0.5718,0.9643,0.0271,,2.037,,,16.073,,,,,
8986,8986,2,9220.0,2026-06-10T12:20:11,759.6,494.056,3.74518,2.39,1.8009,0.5891,0.9676,0.0266,,2.17,,,16.156,,,,,
10004,10004,2,10006.0,2026-06-10T12:33:18,753.2,460.888,3.89587,2.4199,1.8201,0.5998,0.9748,0.0265,,1.654,,,16.167,,,,,
11000,11000,3,11348.0,2026-06-10T12:57:22,1844.3,474.565,3.89006,2.393,1.8055,0.5875,0.973,0.0266,,1.187,,,16.105,,,,,
11984,11984,3,13179.0,2026-06-10T13:27:53,1796.2,485.534,3.7953,2.3798,1.8019,0.5779,0.9839,0.0247,,0.898,,,16.056,,,,,
13014,13014,3,15076.0,2026-06-10T13:59:30,1814.3,485.534,3.79168,2.3648,1.7949,0.5699,0.9763,0.0229,,1.189,,,16.217,,,,,
13987,13987,3,16964.0,2026-06-10T14:30:59,1879.2,490.885,4.04127,2.5954,1.9216,0.6738,0.9747,0.0237,,1.418,,,16.083,,,,,
14999,14999,3,18922.0,2026-06-10T15:03:36,1841.7,502.368,3.72578,2.6161,1.9426,0.6735,0.9845,0.0207,,0.866,,,16.089,,,,,
16015,16015,3,20878.0,2026-06-10T15:36:12,1916.1,511.489,3.72378,2.4897,1.847,0.6427,0.9818,0.0194,,1.215,,,16.163,,,,,
16985,16985,3,22774.0,2026-06-10T16:07:48,1933.5,500.309,3.68157,2.5469,1.8819,0.665,0.9677,0.0182,,1.585,,,16.211,,,,,
18014,18014,3,24617.0,2026-06-10T16:38:32,1649.2,553.086,3.64716,2.5148,1.8852,0.6296,0.9796,0.0168,,0.829,,,16.218,,,,,
19016,19016,3,26515.0,2026-06-10T17:10:09,1850.9,561.074,3.66081,2.4828,1.8428,0.64,0.9903,0.0151,,0.829,,,16.463,,,,,
19986,19986,3,28355.0,2026-06-10T17:40:49,1864.0,584.167,3.67357,2.5474,1.8761,0.6713,0.966,0.0151,,1.645,,,16.427,,,,,
21009,21009,3,30140.0,2026-06-10T18:10:34,1538.4,561.074,3.64912,2.5068,1.8635,0.6433,0.9772,0.0145,,0.804,,,16.359,,,,,
22004,22004,3,31804.0,2026-06-10T18:38:19,1528.8,574.907,3.63329,2.5273,1.8606,0.6667,0.9831,0.0149,,1.284,,,16.337,,,,,
22995,22995,3,33526.0,2026-06-10T19:07:01,1531.7,561.952,3.67881,2.5881,1.8979,0.6902,0.9838,0.0161,,1.399,,,16.198,,,,,
23991,23991,3,49334.0,2026-06-10T23:30:28,11800.1,584.167,3.57168,2.7552,2.0277,0.7275,0.9879,0.0162,,1.443,,,16.137,,,,,
25015,25015,3,51231.0,2026-06-11T00:02:05,1791.9,610.08,3.58386,2.5782,1.9247,0.6535,0.9867,0.0143,,0.801,,,16.257,,,,,
26010,26010,3,53072.0,2026-06-11T00:32:46,1780.7,630.162,3.52949,2.582,1.9245,0.6575,0.9848,0.0141,,0.833,,,16.254,,,,,
27012,27012,3,,2026-06-11T01:01:20,,602.134,3.57832,2.6311,1.9503,0.6808,,,,1.011,,,,,,,,
28003,28003,3,56462.0,2026-06-11T01:29:17,1436.6,576.605,3.63431,2.6035,1.943,0.6605,0.9866,0.0134,,0.78,,,16.27,,,,,
28984,28984,3,58130.0,2026-06-11T01:57:05,1389.1,614.005,3.55375,2.6021,1.9186,0.6835,0.9854,0.0138,,1.272,,,16.29,,,,,
29996,29996,3,59862.0,2026-06-11T02:25:57,1401.8,629.404,3.53874,2.6113,1.9479,0.6634,0.9872,0.0129,,0.761,,,16.291,,,,,
31002,31002,3,61590.0,2026-06-11T02:54:45,1395.1,602.935,3.56497,2.6011,1.9376,0.6635,0.9906,0.0123,,0.783,,,16.323,,,,,
31987,31987,3,63320.0,2026-06-11T03:23:35,1417.9,592.421,3.59095,2.6345,1.9452,0.6893,0.9869,0.0126,,1.434,,,16.326,,,,,
