cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,28.0,2026-05-14T02:02:26,1169.5,,,2.3334,1.7247,0.6087,0.0036,0.9966,,5.318,,,7.991,,,,,
1034,1034,0,720.0,2026-05-14T02:13:58,551.2,450,,2.2546,1.7146,0.54,0.0859,0.9515,,2.057,,,7.429,,,baseline (random-init anchor),,
1981,1981,0,1384.0,2026-05-14T02:25:02,552.8,,,2.0386,1.5367,0.5019,0.1022,0.9142,,1.743,,,7.712,,,,,
2981,2981,0,2108.0,2026-05-14T02:37:06,548.3,,,1.9484,1.4541,0.4943,0.386,0.6105,,1.81,,,10.564,,,,,
3981,3981,0,2832.0,2026-05-14T02:49:10,547.9,,,1.9048,1.3973,0.5075,0.5097,0.4698,,1.69,,,11.385,,,,,
4977,4977,0,3557.0,2026-05-14T03:01:15,548.0,,,1.767,1.2732,0.4938,0.6581,0.3958,,1.659,,,11.873,,,,,
5972,5972,0,4281.0,2026-05-14T03:13:19,551.4,,,1.7264,1.2363,0.4901,0.5975,0.3405,,1.632,,,12.161,,,,,
6969,6969,0,5006.0,2026-05-14T03:25:24,550.7,,,1.6764,1.184,0.4924,0.6912,0.3149,,1.612,,,12.307,,,,,
7968,7968,0,5730.0,2026-05-14T03:37:28,548.1,,,1.6279,1.144,0.4839,0.6968,0.2932,,1.616,,,12.449,,,,,
8967,8967,0,6455.0,2026-05-14T03:49:33,548.0,,,1.5779,1.0931,0.4848,0.6725,0.2733,,1.609,,,12.604,,,,,
9965,9965,0,7179.0,2026-05-14T04:01:37,548.0,,,1.5764,1.0818,0.4946,0.7135,0.2596,,1.58,,,12.655,,,,,
10959,10959,0,7903.0,2026-05-14T04:13:41,551.5,,,1.5413,1.0492,0.4921,0.7024,0.2472,,1.589,,,12.747,,,,,
12039,12039,0,8688.0,2026-05-14T04:26:46,550.2,,,1.5254,1.0305,0.4949,0.7136,0.2371,,1.577,,,12.816,,,,,
13041,13041,0,9413.0,2026-05-14T04:38:51,548.2,,,1.4891,1.0033,0.4858,0.7627,0.2249,,1.56,,,12.936,,,,,
