cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,47.0,2026-06-09T00:45:24,23057.2,561.952,3.39489,5.9296,5.0312,0.8984,0.0046,0.9961,,3.266,,,,,,,,
1046,1046,0,506.0,2026-06-09T00:53:03,430.2,527.151,4.30193,2.6922,2.0986,0.5936,0.7894,0.2147,,0.628,,,10.046,,,,,
1975,1975,0,928.0,2026-06-09T01:00:05,444.8,509.482,4.17871,2.69,2.1199,0.5701,0.8979,0.1507,,0.701,,,11.582,,,,,
3029,3029,0,1411.0,2026-06-09T01:08:08,439.9,464.363,4.09173,2.6203,2.0569,0.5634,0.8994,0.1148,,0.754,,,12.477,,,,,
3997,3997,0,1834.0,2026-06-09T01:15:11,421.3,502.368,3.98022,2.587,2.0195,0.5675,0.9078,0.0962,,0.732,,,12.973,,,,,
4971,4971,0,2257.0,2026-06-09T01:22:14,421.8,489.822,3.99013,2.5351,1.9742,0.5609,0.9232,0.0838,,0.728,,,13.323,,,,,
5984,5984,0,2743.0,2026-06-09T01:30:20,422.0,464.363,4.21818,3.1206,2.3269,0.7937,0.9319,0.0697,,0.76,,,14.992,,,,,
6960,6960,0,3166.0,2026-06-09T01:37:23,422.3,434.124,4.21118,3.1286,2.3292,0.7994,0.9194,0.0607,,0.786,,,15.144,,,,,
8067,8067,0,3649.0,2026-06-09T01:45:26,417.2,441.662,4.23553,3.1578,2.3529,0.8049,0.931,0.057,,0.789,,,15.182,,,,,
9064,9064,0,4072.0,2026-06-09T01:52:29,413.6,532.858,15.02175,3.1379,2.338,0.7999,0.0057,0.0584,,0.854,,,15.148,,,,,
10069,10069,0,4495.0,2026-06-09T01:59:31,411.4,692.524,13.69362,3.9638,3.0876,0.8762,0.3568,0.3739,,1.77,,,14.243,,,,,
11067,11067,0,4918.0,2026-06-09T02:06:34,415.3,551.289,11.63948,3.7262,2.892,0.8342,0.1328,0.3108,,0.901,,,13.688,,,,,
12050,12050,0,5340.0,2026-06-09T02:13:37,376.8,445.361,12.5731,3.1401,2.4354,0.7047,0.3893,0.3256,,0.979,,,12.31,,,,,
12976,12976,0,5702.0,2026-06-09T02:19:39,381.9,521.356,7.58946,2.6595,2.0548,0.6047,0.0759,0.2705,,1.138,,,12.881,,,,,
14058,14058,0,6125.0,2026-06-09T02:26:42,377.5,704.689,9.62218,2.6282,2.0225,0.6057,0.3214,0.2493,,1.052,,,13.061,,,,,
14987,14987,0,6487.0,2026-06-09T02:32:44,379.4,612.438,9.21824,2.6106,2.0038,0.6068,0.2328,0.2423,,0.99,,,13.213,,,,,
16072,16072,0,6910.0,2026-06-09T02:39:47,379.9,522.328,10.70342,2.5811,1.9843,0.5968,0.335,0.2347,,1.169,,,13.412,,,,,
17000,17000,0,7272.0,2026-06-09T02:45:49,378.6,624.067,10.00127,2.6385,2.0245,0.614,0.346,0.2297,,1.558,,,13.73,,,,,
17930,17930,0,7634.0,2026-06-09T02:51:51,378.5,537.548,9.35071,2.5575,1.9606,0.5969,0.424,0.2131,,1.725,,,14.428,,,,,
19013,19013,0,8056.0,2026-06-09T02:58:53,380.4,555.766,9.64461,2.5711,1.967,0.6041,0.3812,0.2034,,1.963,,,15.536,,,,,
19937,19937,0,8418.0,2026-06-09T03:04:55,380.8,604.532,11.47331,2.5957,1.9856,0.6101,0.2507,0.2027,,2.041,,,16.598,,,,,
21019,21019,0,8841.0,2026-06-09T03:11:58,379.3,555.766,9.71809,2.6017,1.981,0.6207,0.3171,0.201,,2.298,,,17.862,,,,,
21946,21946,0,9204.0,2026-06-09T03:18:01,379.7,539.408,9.00681,2.5704,1.9562,0.6142,0.0759,0.1992,,2.069,,,18.911,,,,,
23013,23013,0,9626.0,2026-06-09T03:25:03,383.5,636.936,6.76739,2.5815,1.9621,0.6194,0.0818,0.1961,,2.264,,,19.891,,,,,
23937,23937,0,9989.0,2026-06-09T03:31:06,380.3,578.297,8.00458,2.5926,1.9675,0.6251,0.279,0.1942,,2.53,,,20.529,,,,,
25017,25017,0,10411.0,2026-06-09T03:38:08,379.6,631.675,8.55708,2.6025,1.9691,0.6334,0.0562,0.1971,,2.662,,,21.185,,,,,
25942,25942,0,10774.0,2026-06-09T03:44:11,381.0,547.671,9.9968,2.6254,1.988,0.6374,0.4469,0.1957,,2.504,,,21.733,,,,,
27021,27021,0,11196.0,2026-06-09T03:51:13,380.5,624.833,9.79036,2.6055,1.9527,0.6528,0.339,0.1972,,2.344,,,22.308,,,,,
27969,27969,0,,2026-06-09T03:57:24,,533.8,12.32753,2.528,1.9173,0.6107,,,,1.533,,,,,,,,
29021,29021,0,11982.0,2026-06-09T04:04:19,381.2,588.312,9.99931,2.5884,1.9369,0.6515,0.4343,0.1921,,2.048,,,23.547,,,,,
29944,29944,0,12344.0,2026-06-09T04:10:21,380.9,608.501,10.30826,2.6036,1.9541,0.6495,0.3634,0.193,,2.211,,,24.152,,,,,
31017,31017,0,12767.0,2026-06-09T04:17:24,381.6,570.632,8.68435,2.5802,1.9327,0.6475,0.3587,0.1937,,1.949,,,24.861,,,,,
32075,32075,0,13190.0,2026-06-09T04:24:27,387.9,513.484,8.37553,2.6348,1.9751,0.6597,0.4959,0.1919,,2.339,,,25.628,,,,,
32994,32994,0,13553.0,2026-06-09T04:30:30,382.9,706.696,8.60154,2.5961,1.9286,0.6675,0.3601,0.1872,,2.245,,,26.251,,,,,
