cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,24.0,2026-06-09T10:47:13,1066.2,530.015,5.50052,6.6211,5.7188,0.9023,0.004,0.9961,,4.375,,,,,,,,
985,985,0,374.0,2026-06-09T10:53:03,364.6,508.475,4.07344,2.5096,1.9652,0.5444,0.8733,0.1675,,0.797,,,10.838,,,,,
1944,1944,0,737.0,2026-06-09T10:59:06,369.5,485.534,3.97851,2.3731,1.846,0.5271,0.9088,0.0964,,0.815,,,12.426,,,,,
3035,3035,0,1159.0,2026-06-09T11:06:08,384.4,546.762,3.85233,2.3697,1.8343,0.5354,0.9337,0.0717,,0.822,,,13.228,,,,,
3980,3980,0,1521.0,2026-06-09T11:12:10,372.9,513.484,3.72443,2.3155,1.7902,0.5253,0.9423,0.0605,,0.833,,,13.644,,,,,
4944,4944,0,1883.0,2026-06-09T11:18:12,367.3,484.454,3.76455,2.2832,1.7629,0.5203,0.9399,0.0531,,0.809,,,13.937,,,,,
6055,6055,0,2305.0,2026-06-09T11:25:14,372.5,481.19,3.76996,2.2705,1.7499,0.5206,0.9559,0.0478,,0.84,,,14.81,,,,,
7007,7007,0,2667.0,2026-06-09T11:31:16,368.7,472.326,3.79545,2.2625,1.7443,0.5182,0.9459,0.0437,,1.225,,,15.065,,,,,
7935,7935,0,3029.0,2026-06-09T11:37:18,368.6,496.153,3.73033,2.4304,1.8378,0.5926,0.9683,0.0371,,1.996,,,15.514,,,,,
9054,9054,0,3451.0,2026-06-09T11:44:20,369.1,537.548,3.71012,2.3424,1.767,0.5754,0.9771,0.0262,,1.953,,,15.899,,,,,
10014,10014,0,3813.0,2026-06-09T11:50:22,367.6,497.197,3.8052,2.3682,1.776,0.5922,0.9829,0.0254,,1.623,,,15.94,,,,,
11005,11005,0,4175.0,2026-06-09T11:56:24,365.6,526.192,3.71564,2.3349,1.7383,0.5966,0.9586,0.025,,1.266,,,15.954,,,,,
11952,11952,0,4538.0,2026-06-09T12:02:27,374.5,534.741,3.68718,2.3581,1.7739,0.5842,0.9832,0.0228,,2.078,,,15.993,,,,,
13017,13017,0,4960.0,2026-06-09T12:09:29,372.1,486.611,3.80793,2.3793,1.7797,0.5996,0.9778,0.0227,,0.79,,,15.974,,,,,
13969,13969,0,5323.0,2026-06-09T12:15:32,371.7,460.888,3.82853,2.3725,1.7458,0.6267,0.9843,0.0223,,1.357,,,15.95,,,,,
15068,15068,0,5745.0,2026-06-09T12:22:34,379.9,509.482,3.75252,2.4027,1.7794,0.6233,0.9854,0.0207,,1.314,,,15.951,,,,,
15985,15985,0,6107.0,2026-06-09T12:28:36,386.6,472.326,3.94684,2.4003,1.7715,0.6288,0.969,0.0214,,1.326,,,15.945,,,,,
16956,16956,0,6469.0,2026-06-09T12:34:38,348.5,473.447,3.82813,2.3356,1.7158,0.6198,0.978,0.0214,,1.06,,,15.933,,,,,
18037,18037,0,6891.0,2026-06-09T12:41:40,384.6,475.678,3.82674,2.2974,1.7021,0.5953,0.9741,0.0203,,0.786,,,15.936,,,,,
18960,18960,0,7254.0,2026-06-09T12:47:43,382.1,483.369,3.72501,2.3639,1.7509,0.613,0.9814,0.019,,1.272,,,15.949,,,,,
20035,20035,0,7676.0,2026-06-09T12:54:46,386.9,544.02,3.77415,2.3818,1.7404,0.6414,0.977,0.0197,,1.214,,,15.96,,,,,
20960,20960,0,8039.0,2026-06-09T13:00:48,383.3,516.456,3.71614,2.3731,1.7514,0.6217,0.9826,0.0217,,1.274,,,15.958,,,,,
22049,22049,0,8461.0,2026-06-09T13:07:50,375.7,512.488,3.7769,2.3881,1.7542,0.6339,0.9862,0.0198,,1.184,,,15.961,,,,,
23005,23005,0,8824.0,2026-06-09T13:13:53,369.6,509.482,3.73225,2.374,1.775,0.599,0.9892,0.0174,,0.692,,,15.981,,,,,
23967,23967,0,9186.0,2026-06-09T13:19:55,365.4,472.326,3.86283,2.4417,1.7556,0.6861,0.9732,0.0187,,1.279,,,15.956,,,,,
24920,24920,0,9549.0,2026-06-09T13:25:58,370.0,498.237,3.71611,2.3718,1.7705,0.6013,0.9858,0.0166,,0.672,,,15.967,,,,,
26030,26030,0,9971.0,2026-06-09T13:33:01,368.5,466.659,3.78139,2.4064,1.7538,0.6526,0.9847,0.0168,,1.683,,,16.015,,,,,
26988,26988,0,10334.0,2026-06-09T13:39:03,369.9,432.848,4.00298,2.397,1.7487,0.6483,0.9776,0.0174,,1.404,,,16.005,,,,,
27954,27954,0,10696.0,2026-06-09T13:45:05,363.6,494.056,3.7258,2.3853,1.7451,0.6402,0.9897,0.0168,,1.078,,,15.991,,,,,
29075,29075,0,11119.0,2026-06-09T13:52:08,364.7,506.451,3.79919,2.3523,1.7296,0.6227,0.9879,0.0161,,0.968,,,15.984,,,,,
30035,30035,0,11481.0,2026-06-09T13:58:11,365.4,533.8,3.68418,2.3287,1.6991,0.6296,0.9845,0.0166,,1.271,,,15.958,,,,,
31062,31062,0,11904.0,2026-06-09T14:05:13,386.5,475.678,3.78784,2.4686,1.7732,0.6954,0.9803,0.0163,,1.899,,,15.899,,,,,
32012,32012,0,12266.0,2026-06-09T14:11:15,364.2,502.368,3.74622,2.4023,1.7292,0.6731,0.9886,0.0171,,1.982,,,15.868,,,,,
32974,32974,0,12628.0,2026-06-09T14:17:18,365.6,504.416,3.70682,2.3629,1.7319,0.631,0.9861,0.0169,,1.004,,,15.831,,,,,
33933,33933,0,12991.0,2026-06-09T14:23:20,367.5,495.106,3.88629,2.4344,1.7574,0.677,0.9853,0.0167,,1.654,,,15.82,,,,,
35033,35033,0,13414.0,2026-06-09T14:30:23,374.1,495.106,3.66136,2.419,1.7555,0.6635,0.9867,0.0163,,1.819,,,15.778,,,,,
35960,35960,0,13776.0,2026-06-09T14:36:25,384.5,524.265,3.63785,2.4707,1.7623,0.7084,0.9884,0.0151,,2.888,,,15.753,,,,,
37073,37073,0,14199.0,2026-06-09T14:43:28,365.3,544.936,3.67055,2.4089,1.7556,0.6533,0.9817,0.0155,,1.379,,,15.737,,,,,
38026,38026,0,14561.0,2026-06-09T14:49:31,367.4,509.482,3.70657,2.3638,1.7275,0.6363,0.9797,0.0152,,0.974,,,15.744,,,,,
38935,38935,0,14924.0,2026-06-09T14:55:33,371.7,434.124,3.76389,2.319,1.6903,0.6287,0.9857,0.014,,1.357,,,15.907,,,,,
40046,40046,0,15347.0,2026-06-09T15:02:36,368.1,513.484,3.72528,2.159,1.5926,0.5664,0.985,0.013,,0.61,,,15.835,,,,,
40996,40996,0,15709.0,2026-06-09T15:08:39,370.7,480.095,4.16524,2.2665,1.6162,0.6503,0.9822,0.014,,2.252,,,15.738,,,,,
41948,41948,0,16072.0,2026-06-09T15:14:41,367.6,500.309,4.1492,2.2276,1.6252,0.6024,0.9847,0.0126,,1.594,,,15.724,,,,,
43059,43059,0,16495.0,2026-06-09T15:21:44,367.3,552.188,3.64279,2.1758,1.6239,0.5519,0.9925,0.0124,,0.573,,,15.693,,,,,
43995,43995,0,16858.0,2026-06-09T15:27:47,374.5,512.488,3.73155,2.3576,1.6548,0.7028,0.984,0.0131,,2.667,,,15.672,,,,,
44928,44928,0,17220.0,2026-06-09T15:33:49,368.3,475.678,3.70599,2.2945,1.6301,0.6644,0.987,0.014,,2.389,,,15.63,,,,,
46009,46009,0,17643.0,2026-06-09T15:40:52,363.6,541.26,3.73303,2.3457,1.6688,0.6769,0.9908,0.0144,,2.632,,,15.391,,,,,
46974,46974,0,18006.0,2026-06-09T15:46:55,362.9,598.919,3.61395,2.3075,1.6223,0.6852,0.982,0.0146,,2.353,,,15.476,,,,,
47935,47935,0,18368.0,2026-06-09T15:52:57,363.9,583.333,3.71224,2.1796,1.5752,0.6044,0.9775,0.0142,,1.688,,,15.494,,,,,
49032,49032,0,18791.0,2026-06-09T16:00:00,362.1,539.408,3.66063,2.5016,1.7702,0.7314,0.9851,0.0133,,3.191,,,15.456,,,,,
49992,49992,0,19154.0,2026-06-09T16:06:03,362.7,601.332,3.56856,2.4675,1.7714,0.6961,0.9887,0.0128,,2.036,,,15.459,,,,,
50934,50934,0,19517.0,2026-06-09T16:12:06,357.8,573.202,3.69346,2.7039,1.8934,0.8105,0.9918,0.0132,,3.303,,,15.504,,,,,
52062,52062,0,19940.0,2026-06-09T16:19:09,361.3,593.238,3.71327,2.814,1.912,0.902,0.9865,0.0124,,4.861,,,15.648,,,,,
