cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,338.4,2026-07-02T02:52:27,256.4,740.02,3.4923,4.1875,3.25,0.8125,0.8765,0.1235,0.4336,2.719,0.5994,0.3038;0.2353;0.2465;0.2517;0.2566;0.2447;0.2597;0.2500;0.2684,14.86,20.125,20260702-9blk16se-9x9stem-step1000-frozen.safetensors,probe-backfill
2000,2000,0,678.3,2026-07-02T02:58:07,261.2,798.84,3.3147,4.0625,3.1719,0.8086,0.9048,0.0952,0.5391,2.031,0.5989,0.3069;0.2438;0.2508;0.2456;0.2627;0.2508;0.2581;0.2420;0.2550,15.115,21.375,20260702-9blk16se-9x9stem-step2000-frozen.safetensors,
3000,3000,0,1018.2,2026-07-02T03:03:47,257.1,810.8,3.2966,4.0312,3.1406,0.8242,0.9189,0.0811,0.5898,1.609,0.6123,0.3108;0.2541;0.2566;0.2508;0.2704;0.2517;0.2581;0.2410;0.2474,15.418,22,20260702-9blk16se-9x9stem-step3000-frozen.safetensors,probe-backfill
4000,4000,0,1356.7,2026-07-02T03:09:26,256.8,799.44,3.2847,3.9375,3.0469,0.8125,0.9287,0.0713,0.6367,1.352,0.6141,0.3127;0.2597;0.2581;0.2482;0.2711;0.2574;0.2517;0.2420;0.2429,15.546,22.75,20260702-9blk16se-9x9stem-step4000-frozen.safetensors,probe-backfill
5000,5000,0,1693.8,2026-07-02T03:15:03,258.3,869.51,3.1584,3.9219,3.0312,0.8242,0.9312,0.0688,0.6758,1.242,0.6212,0.3149;0.2677;0.2581;0.2465;0.2724;0.2574;0.2541;0.2420;0.2438,15.26,21.875,20260702-9blk16se-9x9stem-step5000-frozen.safetensors,probe-backfill
6000,6000,0,2031.2,2026-07-02T03:20:40,258.4,867.23,3.1658,3.9219,3.0312,0.8281,0.936,0.064,0.707,1.391,0.6293,0.3162;0.2718;0.2634;0.2465;0.2718;0.2558;0.2541;0.2438;0.2491,15.462,22,20260702-9blk16se-9x9stem-step6000-frozen.safetensors,
7000,7000,0,2370.7,2026-07-02T03:26:20,264.2,905.55,3.1308,3.8906,3.0,0.832,0.9417,0.0583,0.7344,1.414,0.636,0.3180;0.2774;0.2656;0.2508;0.2711;0.2589;0.2508;0.2438;0.2482,15.373,21.875,20260702-9blk16se-9x9stem-step7000-frozen.safetensors,probe-backfill
8000,8000,0,2714.4,2026-07-02T03:32:03,258.9,932.69,3.0576,3.8281,2.9688,0.8125,0.9482,0.0518,0.7539,1.25,0.6461,0.3187;0.2809;0.2677;0.2508;0.2731;0.2620;0.2517;0.2465;0.2525,15.392,22.5,20260702-9blk16se-9x9stem-step8000-frozen.safetensors,probe-backfill
9000,9000,0,3053.7,2026-07-02T03:37:43,257.9,929.93,3.0611,3.8438,2.9844,0.8086,0.9468,0.0532,0.7734,1.5,0.656,0.3190;0.2858;0.2698;0.2508;0.2718;0.2642;0.2550;0.2491;0.2574,15.595,23.125,20260702-9blk16se-9x9stem-step9000-frozen.safetensors,probe-backfill
10000,10000,0,3391.0,2026-07-02T03:43:20,257.9,944.76,3.0404,3.875,3.0,0.8281,0.9543,0.0457,0.793,1.406,0.6641,0.3200;0.2893;0.2711;0.2541;0.2691;0.2642;0.2541;0.2533;0.2627,15.356,22.5,20260702-9blk16se-9x9stem-step10000-frozen.safetensors,
11000,11000,0,3730.9,2026-07-02T03:49:00,258.2,964.93,2.9687,3.8281,2.9531,0.8242,0.9546,0.0454,0.8086,1.305,0.6712,0.3206;0.2907;0.2737;0.2533;0.2711;0.2670;0.2558;0.2525;0.2663,15.477,23.875,20260702-9blk16se-9x9stem-step11000-frozen.safetensors,probe-backfill
12000,12000,0,4069.7,2026-07-02T03:54:39,257.6,986.02,2.9713,3.7812,2.9219,0.8203,0.9553,0.0447,0.8203,0.992,0.6798,0.3212;0.2925;0.2737;0.2558;0.2670;0.2704;0.2581;0.2574;0.2711,15.531,24.375,20260702-9blk16se-9x9stem-step12000-frozen.safetensors,
13000,13000,0,4407.6,2026-07-02T04:00:17,269.1,1032.59,2.8634,3.7812,2.9219,0.8242,0.958,0.042,0.8438,1.117,0.6935,0.3217;0.2947;0.2762;0.2525;0.2698;0.2762;0.2627;0.2597;0.2786,15.516,26.25,20260702-9blk16se-9x9stem-step13000-frozen.safetensors,probe-backfill
