cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,46.0,2026-06-01T16:28:18,1623.3,,,6.1836,5.4688,0.7148,0.0033,0.9961,,4.781,,,3.812,,,,,
1000,1000,,1159.8,,,450,,,,,,,,,,,,,,baseline (random-init anchor),,
2001,2001,0,2241.0,2026-06-01T17:04:52,1056.9,,,2.1307,1.6547,0.476,0.9405,0.0655,,1.179,,,14.412,,,,,
2997,2997,0,3271.0,2026-06-01T17:22:02,1024.1,,,2.0978,1.6268,0.471,0.9544,0.0484,,1.093,,,14.886,,,,,
4014,4014,0,4363.0,2026-06-01T17:40:14,1023.5,,,2.3161,1.737,0.5791,0.9698,0.0314,,1.101,,,15.35,,,,,
5006,5006,0,5459.0,2026-06-01T17:58:30,927.7,,,2.4084,1.7914,0.617,0.9699,0.0262,,1.146,,,15.461,,,,,
5997,5997,0,6559.0,2026-06-01T18:16:51,914.0,,,2.3116,1.719,0.5926,0.978,0.0222,,2.024,,,15.723,,,,,
6977,6977,0,7654.0,2026-06-01T18:35:05,1146.6,,,2.2739,1.6916,0.5823,0.9747,0.0203,,1.793,,,15.799,,,,,
7997,7997,0,8806.0,2026-06-01T18:54:17,1096.4,,,2.246,1.6651,0.5809,0.985,0.0189,,2.038,,,15.986,,,,,
9029,9029,0,9896.0,2026-06-01T19:12:27,1001.4,,,2.2516,1.6671,0.5845,0.9772,0.018,,2.187,,,16.123,,,,,
9984,9984,0,,2026-06-01T19:28:44,,,,2.245,1.6544,0.5906,,,,1.318,,,,,,,,
10970,10970,0,11899.0,2026-06-01T19:45:50,998.4,,,2.4389,1.7809,0.658,0.977,0.0174,,2.83,,,16.064,,,,,
12011,12011,0,12930.0,2026-06-01T20:03:01,948.0,,,2.4149,1.7698,0.6451,0.9816,0.0187,,1.344,,,15.664,,,,,
12978,12978,0,,2026-06-01T20:15:17,,,,2.4234,1.7677,0.6557,,,,1.449,,,,,,,,
14014,14014,1,14565.0,2026-06-01T20:54:06,,,,,,,0.8267,0.0,,,,,,,,,,
14967,14967,1,15229.0,2026-06-01T21:05:10,695.3,,,2.376,1.7594,0.6166,0.9904,0.0151,,0.896,,,15.794,,,,,
16034,16034,1,16014.0,2026-06-01T21:18:15,700.4,,,2.3838,1.7634,0.6204,0.9808,0.0138,,0.857,,,16.036,,,,,
17039,17039,1,16740.0,2026-06-01T21:30:20,721.2,,,2.4232,1.7792,0.644,0.9833,0.0135,,1.587,,,15.953,,,,,
17965,17965,1,17405.0,2026-06-01T21:41:25,710.5,,,2.4593,1.7965,0.6628,0.9879,0.0145,,1.411,,,15.781,,,,,
18981,18981,1,18130.0,2026-06-01T21:53:31,704.5,,,2.4066,1.7516,0.655,0.984,0.0157,,1.545,,,15.762,,,,,
19980,19980,1,18920.0,2026-06-01T22:06:41,752.0,,,2.4261,1.7693,0.6568,0.9847,0.0133,,1.695,,,15.947,,,,,
21017,21017,1,19832.0,2026-06-01T22:21:52,754.7,,,2.6084,1.8788,0.7296,0.9877,0.0133,,1.561,,,15.788,,,,,
22019,22019,1,20682.0,2026-06-01T22:36:03,758.8,,,2.5905,1.897,0.6935,0.9819,0.0126,,0.801,,,15.805,,,,,
22966,22966,1,21535.0,2026-06-01T22:50:16,743.7,,,2.6728,1.9148,0.758,0.9775,0.0127,,1.796,,,15.685,,,,,
24027,24027,1,22448.0,2026-06-01T23:05:29,756.6,,,2.6202,1.8792,0.741,0.9901,0.0124,,1.267,,,15.623,,,,,
24987,24987,1,23301.0,2026-06-01T23:19:42,759.1,,,2.6596,1.904,0.7556,0.9858,0.0123,,1.706,,,15.625,,,,,
26032,26032,1,24217.0,2026-06-01T23:34:58,750.1,,,2.6572,1.886,0.7712,0.9903,0.0121,,1.698,,,15.595,,,,,
27012,27012,1,24943.0,2026-06-01T23:47:04,706.9,,,2.6084,1.8971,0.7113,0.987,0.0113,,0.783,,,15.658,,,,,
28027,28027,1,25671.0,2026-06-01T23:59:11,700.4,,,2.656,1.8895,0.7665,0.989,0.0121,,2.092,,,15.476,,,,,
29041,29041,1,26397.0,2026-06-02T00:11:17,692.5,,,2.65,1.8678,0.7822,0.9859,0.0116,,2.039,,,15.59,,,,,
29974,29974,1,27062.0,2026-06-02T00:22:22,690.6,,,2.665,1.8996,0.7654,0.9927,0.0115,,1.985,,,15.578,,,,,
31038,31038,1,27850.0,2026-06-02T00:35:30,700.2,,,2.6886,1.9273,0.7613,0.9843,0.0138,,1.378,,,15.557,,,,,
32002,32002,1,28575.0,2026-06-02T00:47:36,704.7,,,2.8615,2.0767,0.7848,0.9828,0.0135,,0.717,,,15.518,,,,,
32998,32998,1,29302.0,2026-06-02T00:59:42,709.9,,,2.9372,2.1115,0.8257,0.9885,0.012,,1.427,,,15.968,,,,,
34002,34002,1,30030.0,2026-06-02T01:11:50,700.9,,,2.9564,2.1075,0.8489,0.9907,0.0122,,1.902,,,15.925,,,,,
34980,34980,1,30757.0,2026-06-02T01:23:57,699.0,,,2.9621,2.092,0.8701,0.9838,0.0114,,2.575,,,15.967,,,,,
35973,35973,1,31484.0,2026-06-02T01:36:04,710.7,,,2.9471,2.0725,0.8746,0.9859,0.0112,,2.572,,,15.991,,,,,
