cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,26.0,2026-06-12T18:54:45,2607.6,544.936,3.76408,6.6914,5.8125,0.8789,0.0046,0.9961,,6.094,,,,,,,,
1011,1011,0,745.0,2026-06-12T19:06:45,700.8,499.275,4.08204,2.2887,1.8277,0.461,0.919,0.1053,,1.369,,,11.252,,,,,
1976,1976,0,1472.0,2026-06-12T19:18:51,695.7,542.182,3.82122,2.3748,1.8526,0.5222,0.9648,0.0525,,1.355,,,14.304,,,,,
3000,3000,0,2199.0,2026-06-12T19:30:58,700.3,508.475,3.9172,2.4306,1.9079,0.5227,0.9718,0.0386,,1.703,,,14.715,,,,,
4013,4013,0,2925.0,2026-06-12T19:43:04,698.5,520.381,3.81488,2.3861,1.888,0.4981,0.9686,0.0346,,1.936,,,14.869,,,,,
5029,5029,0,3650.0,2026-06-12T19:55:10,698.9,527.151,3.77189,2.3181,1.8502,0.4679,0.966,0.0327,,2.062,,,14.966,,,,,
6029,6029,0,4377.0,2026-06-12T20:07:16,704.5,572.347,3.68708,2.3199,1.8523,0.4676,0.9638,0.0308,,2.31,,,15.033,,,,,
7007,7007,0,5105.0,2026-06-12T20:19:24,754.0,551.289,3.76863,2.3094,1.845,0.4644,0.9559,0.0297,,2.41,,,15.099,,,,,
8001,8001,0,5832.0,2026-06-12T20:31:31,732.8,547.671,3.73499,2.5043,1.9441,0.5602,0.9608,0.0391,,2.324,,,15.154,,,,,
8980,8980,0,6560.0,2026-06-12T20:43:39,703.2,524.265,3.77517,2.4213,1.7884,0.6329,0.9569,0.0349,,1.146,,,15.025,,,,,
9992,9992,0,7287.0,2026-06-12T20:55:46,702.4,537.548,3.73332,2.4,1.7962,0.6038,0.9809,0.0296,,1.357,,,15.217,,,,,
11007,11007,0,8016.0,2026-06-12T21:07:55,708.9,562.828,3.69141,2.4595,1.8357,0.6238,0.9805,0.0276,,1.36,,,15.328,,,,,
12021,12021,0,8745.0,2026-06-12T21:20:04,708.1,564.575,3.72374,2.4499,1.8326,0.6173,0.971,0.0257,,1.177,,,15.411,,,,,
