cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
27,27,0,61.0,2026-06-07T17:51:10,911.0,459.721,3.41887,7.0205,5.956,1.0645,0.0052,0.9936,,6.606,,,3.68,,,,,
1002,1002,,1057.4,,,556.655,3.82343,,,,,,,,,,,,,,,
2001,2001,,2141.8,,,598.919,3.92979,,,,,,,,,,,,,,,
3001,3001,,3230.9,,,602.134,3.90821,,,,,,,,,,,,,,,
4001,4001,,4173.1,,,598.111,3.90677,,,,,,,,,,,,,,,
5001,5001,,5173.0,,,604.532,3.8709,,,,,,,,,,,,,,,
6001,6001,,6105.5,,,647.308,3.74266,,,,,,,,,,,,,,,
7002,7002,,7031.0,,,640.663,3.69626,,,,,,,,,,,,,,,
8002,8002,,7989.7,,,642.146,3.69073,,,,,,,,,,,,,,,
9002,9002,,9085.8,,,653.15,3.72806,,,,,,,,,,,,,,,
10002,10002,,10230.4,,,661.803,3.68506,,,,,,,,,,,,,,,
11001,11001,,11434.1,,,662.518,3.66936,,,,,,,,,,,,,,,
12000,12000,,12618.1,,,642.887,3.765,,,,,,,,,,,,,,,
13001,13001,,13818.5,,,678.744,3.68136,,,,,,,,,,,,,,,
14000,14000,,14958.1,,,692.524,3.66593,,,,,,,,,,,,,,,
15002,15002,,16126.3,,,653.876,3.75174,,,,,,,,,,,,,,,
16000,16000,,17212.9,,,666.792,3.71943,,,,,,,,,,,,,,,
17001,17001,,18229.4,,,661.086,3.71852,,,,,,,,,,,,,,,
18000,18000,,19240.0,,,669.625,3.74155,,,,,,,,,,,,,,,
19001,19001,,20242.0,,,668.918,3.73191,,,,,,,,,,,,,,,
20001,20001,,21242.6,,,666.792,3.81046,,,,,,,,,,,,,,,
21001,21001,,22242.9,,,666.082,3.6384,,,,,,,,,,,,,,,
22001,22001,,23244.0,,,643.626,3.76161,,,,,,,,,,,,,,,
23001,23001,,24245.1,,,646.574,3.76237,,,,,,,,,,,,,,,
24000,24000,,25273.2,,,661.803,3.71788,,,,,,,,,,,,,,,
25002,25002,,26278.9,,,658.933,3.64599,,,,,,,,,,,,,,,
26002,26002,,27300.0,,,656.771,3.728,,,,,,,,,,,,,,,
27002,27002,,28310.7,,,670.332,3.71856,,,,,,,,,,,,,,,
28002,28002,,29314.0,,,640.663,3.72444,,,,,,,,,,,,,,,
29001,29001,,30319.0,,,634.688,3.79826,,,,,,,,,,,,,,,
30000,30000,,31337.0,,,675.952,3.6663,,,,,,,,,,,,,,,
31001,31001,,32351.0,,,677.35,3.78013,,,,,,,,,,,,,,,
32001,32001,,33356.0,,,634.688,3.88289,,,,,,,,,,,,,,,
33002,33002,,34376.0,,,657.492,3.77543,,,,,,,,,,,,,,,
34000,34000,,35381.8,,,653.876,3.78263,,,,,,,,,,,,,,,
35001,35001,,36402.4,,,645.838,3.84726,,,,,,,,,,,,,,,
36002,36002,,37412.0,,,671.742,3.71004,,,,,,,,,,,,,,,
37000,37000,,38436.0,,,663.233,3.82095,,,,,,,,,,,,,,,
38001,38001,,39469.8,,,670.332,3.795,,,,,,,,,,,,,,,
39001,39001,,40513.1,,,644.364,3.76073,,,,,,,,,,,,,,,
40001,40001,,41527.8,,,681.523,3.7608,,,,,,,,,,,,,,,
41002,41002,,42540.1,,,668.211,3.74587,,,,,,,,,,,,,,,
42000,42000,,43564.0,,,680.83,3.70661,,,,,,,,,,,,,,,
43000,43000,,44579.7,,,647.308,3.89394,,,,,,,,,,,,,,,
44001,44001,,45607.5,,,678.047,3.77197,,,,,,,,,,,,,,,
45001,45001,,46642.8,,,643.626,3.82378,,,,,,,,,,,,,,,
46001,46001,,47667.3,,,667.502,3.72649,,,,,,,,,,,,,,,
47001,47001,,48695.6,,,656.771,3.78621,,,,,,,,,,,,,,,
48001,48001,,49849.4,,,650.236,3.95971,,,,,,,,,,,,,,,
48826,48826,,61716.9,,,684.291,3.75584,,,,,,,,,,,,,,,
50003,50003,0,56402.0,2026-06-08T09:30:12,1086.2,,,2.8285,2.0594,0.7691,0.9858,0.0126,,1.97,,,15.626,,,,,
50977,50977,0,57560.0,2026-06-08T09:49:30,1068.8,,,2.8595,2.069,0.7905,0.9898,0.0109,,2.756,,,15.632,,,,,
51994,51994,0,59030.0,2026-06-08T10:14:00,1412.7,,,2.8447,2.0675,0.7772,0.9857,0.0112,,2.078,,,15.609,,,,,
53014,53014,0,60685.0,2026-06-08T10:41:35,1397.6,,,2.8428,2.0457,0.7971,0.9899,0.0102,,2.977,,,15.609,,,,,
53837,53837,0,62498.0,2026-06-08T11:11:47,1174.4,,,2.8656,2.0624,0.8032,0.9924,0.0109,,2.469,,,15.614,,,,,
