cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,56.0,2026-06-08T13:36:50,2155.5,556.655,3.55669,6.75,5.8438,0.9062,0.0039,0.9961,,5.438,,,,,,,,
996,996,1,5120.0,2026-06-08T15:03:40,6591.2,540.335,3.7853,2.8859,2.2085,0.6774,0.9118,0.1481,,1.535,,,13.198,,,,,
1993,1993,1,6893.0,2026-06-08T15:33:13,1720.1,579.14,3.80339,2.5878,1.9835,0.6043,0.9384,0.0809,,1.48,,,14.837,,,,,
3005,3005,1,8725.0,2026-06-08T16:03:45,1642.7,595.681,3.95969,2.5236,1.9203,0.6033,0.9612,0.0565,,1.342,,,15.438,,,,,
4004,4004,1,10441.0,2026-06-08T16:32:21,1654.3,629.404,3.75443,2.2899,1.7393,0.5506,0.943,0.0419,,1.275,,,15.589,,,,,
4995,4995,1,12153.0,2026-06-08T17:00:53,1672.5,626.361,3.81728,2.2702,1.7273,0.5429,0.964,0.0363,,1.278,,,15.639,,,,,
6002,6002,1,,2026-06-08T17:31:46,,614.786,6.60679,2.6059,1.9616,0.6443,,,,1.577,,,,,,,,
7000,7000,1,,2026-06-08T18:02:57,,494.056,16.51413,2.9335,2.2619,0.6716,,,,4.159,,,,,,,,
8002,8002,1,17663.0,2026-06-08T18:32:43,1683.2,530.015,15.81105,3.0143,2.345,0.6693,0.7641,0.2055,,3.39,,,13.902,,,,,
8989,8989,1,19434.0,2026-06-08T19:02:14,1750.8,596.493,10.02087,2.9645,2.2962,0.6683,0.1247,0.1875,,1.88,,,13.692,,,,,
10015,10015,1,21327.0,2026-06-08T19:33:47,1747.9,475.678,10.45132,3.5389,2.6011,0.9378,0.3554,0.1618,,2.323,,,13.781,,,,,
10996,10996,1,23043.0,2026-06-08T20:02:23,1669.6,530.015,14.30958,3.4984,2.5713,0.9271,0.1845,0.1509,,2.17,,,13.701,,,,,
11998,11998,1,24763.0,2026-06-08T20:31:03,1646.3,391.647,13.04472,3.4489,2.5265,0.9224,0.6719,0.1288,,1.871,,,13.715,,,,,
12999,12999,1,26485.0,2026-06-08T20:59:45,1642.2,379.524,16.83849,3.4266,2.5064,0.9202,0.5511,0.1191,,2.208,,,13.712,,,,,
13996,13996,2,30576.0,2026-06-08T23:29:00,4037.2,623.3,13.20682,3.5164,2.5829,0.9335,0.23,0.135,,2.769,,,13.255,,,,,
