cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,335.3,2026-07-01T09:18:49,254.2,769.58,3.3984,4.0195,3.1875,0.832,0.8823,0.1177,0.125,1.695,0.3061,0.3203;0.3177;0.3203,14.773,19.875,20260701-nT8Y-fatconv-step1000-frozen.safetensors,
2000,2000,0,672.5,2026-07-01T09:24:26,262.3,853.48,3.1845,3.9492,3.1094,0.8398,0.9219,0.0781,0.1533,1.68,0.3112,0.3225;0.3206;0.3232,15.1,21.375,20260701-nT8Y-fatconv-step2000-frozen.safetensors,
3000,3000,0,1015.9,2026-07-01T09:30:10,260.4,955.13,2.969,3.8398,3.0156,0.8242,0.9404,0.0596,0.1875,1.586,0.3127,0.3232;0.3214;0.3239,15.663,22.125,20260701-nT8Y-fatconv-step3000-frozen.safetensors,
4000,4000,0,1355.3,2026-07-01T09:35:49,253.9,986.02,2.9135,3.8242,3.0,0.8242,0.9492,0.0508,0.2217,1.422,0.3139,0.3241;0.3220;0.3243,15.906,22.875,20260701-nT8Y-fatconv-step4000-frozen.safetensors,
5000,5000,0,1689.3,2026-07-01T09:41:23,252.9,992.48,2.8746,3.7813,2.9688,0.8125,0.9541,0.0459,0.2559,1.172,0.3147,0.3247;0.3222;0.3247,16.097,24,20260701-nT8Y-fatconv-step5000-frozen.safetensors,
6000,6000,0,2022.1,2026-07-01T09:46:56,252.5,1034.72,2.819,3.7774,2.9688,0.8086,0.9585,0.0415,0.2891,1.297,0.3153,0.3253;0.3225;0.3247,16.109,24.375,20260701-nT8Y-fatconv-step6000-frozen.safetensors,
7000,7000,0,2354.3,2026-07-01T09:52:28,252.1,1014.46,2.8601,3.7304,2.9062,0.8242,0.9609,0.0391,0.3203,1.18,0.3159,0.3258;0.3227;0.3249,16.195,24.875,20260701-nT8Y-fatconv-step7000-frozen.safetensors,
8000,8000,0,2687.0,2026-07-01T09:58:01,252.2,1027.8,2.8466,3.7461,2.9219,0.8242,0.9656,0.0344,0.3477,1.328,0.3164,0.3263;0.3230;0.3249,16.343,25.125,20260701-nT8Y-fatconv-step8000-frozen.safetensors,
9000,9000,0,3019.0,2026-07-01T10:03:33,252.3,1118.0,2.7148,3.7187,2.9062,0.8125,0.967,0.033,0.375,1.273,0.3167,0.3267;0.3232;0.3249,16.252,25.875,20260701-nT8Y-fatconv-step9000-frozen.safetensors,
10000,10000,0,3352.8,2026-07-01T10:09:06,281.7,1091.25,2.7209,3.6875,2.8594,0.8281,0.9717,0.0283,0.4004,1.352,0.3173,0.3271;0.3234;0.3251,16.159,26.375,20260701-nT8Y-fatconv-step10000-frozen.safetensors,
11000,11000,0,3708.4,2026-07-01T10:15:02,251.7,1113.81,2.7124,3.668,2.8594,0.8086,0.9731,0.0269,0.4219,1.336,0.3176,0.3274;0.3237;0.3251,16.143,27.75,20260701-nT8Y-fatconv-step11000-frozen.safetensors,
12000,12000,0,4050.8,2026-07-01T10:20:44,254.6,1100.71,2.7149,3.6641,2.8594,0.8047,0.9727,0.0273,0.4414,1.133,0.318,0.3278;0.3239;0.3251,16.234,27.75,20260701-nT8Y-fatconv-step12000-frozen.safetensors,
13000,13000,0,4385.3,2026-07-01T10:26:19,255.8,1110.15,2.7274,3.6992,2.875,0.8242,0.9753,0.0247,0.4609,1.195,0.3183,0.3282;0.3239;0.3251,16.339,28.25,20260701-nT8Y-fatconv-step13000-frozen.safetensors,
14000,14000,0,4720.8,2026-07-01T10:31:54,253.1,1146.74,2.6565,3.6836,2.8594,0.8242,0.9784,0.0216,0.4805,1.203,0.3185,0.3285;0.3239;0.3251,16.112,27.5,20260701-nT8Y-fatconv-step14000-frozen.safetensors,
15000,15000,0,5061.1,2026-07-01T10:37:35,253.0,1135.25,2.6673,3.6914,2.875,0.8164,0.9811,0.0189,0.5,1.008,0.3187,0.3288;0.3239;0.3251,16.131,27.25,20260701-nT8Y-fatconv-step15000-frozen.safetensors,
16000,16000,0,5393.3,2026-07-01T10:43:07,253.0,1180.05,2.612,3.6719,2.8594,0.8125,0.9808,0.0192,0.5156,1.055,0.319,0.3290;0.3239;0.3253,16.038,28,20260701-nT8Y-fatconv-step16000-frozen.safetensors,
17000,17000,0,5725.7,2026-07-01T10:48:39,251.5,1189.4,2.6015,3.6367,2.8125,0.8242,0.983,0.017,0.5352,1.133,0.3193,0.3292;0.3241;0.3253,16.257,27.25,20260701-nT8Y-fatconv-step17000-frozen.safetensors,
18000,18000,0,6058.6,2026-07-01T10:54:12,255.8,1190.96,2.6058,3.6719,2.8438,0.8281,0.9821,0.0179,0.5469,1.148,0.3194,0.3293;0.3241;0.3255,16.147,26.75,20260701-nT8Y-fatconv-step18000-frozen.safetensors,
19000,19000,0,6393.6,2026-07-01T10:59:47,273.6,1250.01,2.5147,3.625,2.8125,0.8125,0.983,0.017,0.5586,1.055,0.3198,0.3295;0.3243;0.3257,16.064,27.375,20260701-nT8Y-fatconv-step19000-frozen.safetensors,
20000,20000,0,6731.5,2026-07-01T11:05:25,253.0,1242.77,2.5544,3.6602,2.8594,0.8008,0.9857,0.0143,0.5742,1.117,0.3203,0.3297;0.3247;0.3258,16.31,26,20260701-nT8Y-fatconv-step20000-frozen.safetensors,
