cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,475.9,2026-07-11T00:34:52,417.1,740.02,3.4899,4.1875,3.2188,0.832,0.8701,0.1299,0.0981,2.094,0.3108,0.3220;0.3220;0.3217,14.241,18,20260711-nt8y3x3stem-std-replay-step1000.safetensors,probe-backfill
2000,2000,0,953.5,2026-07-11T00:42:50,418.1,837.86,3.2575,4.0312,3.1094,0.8203,0.9067,0.0933,0.1279,1.672,0.3146,0.3237;0.3237;0.3241,14.811,20.625,20260711-nt8y3x3stem-std-replay-step2000.safetensors,
3000,3000,0,1431.2,2026-07-11T00:50:47,417.8,876.32,3.2056,3.9375,3.0625,0.8086,0.9272,0.0728,0.1416,1.477,0.3161,0.3247;0.3241;0.3249,15.632,22.75,20260711-nt8y3x3stem-std-replay-step3000.safetensors,
4000,4000,0,1910.3,2026-07-11T00:58:47,420.0,904.44,3.0795,3.875,3.0156,0.8125,0.9465,0.0535,0.1514,1.57,0.3169,0.3255;0.3245;0.3251,15.697,22.5,20260711-nt8y3x3stem-std-replay-step4000.safetensors,
5000,5000,0,2387.6,2026-07-11T01:06:44,419.4,962.21,2.9576,3.8438,2.9844,0.8125,0.9512,0.0488,0.1592,1.461,0.3175,0.3260;0.3247;0.3253,15.764,22.375,20260711-nt8y3x3stem-std-replay-step5000.safetensors,
6000,6000,0,2863.6,2026-07-11T01:14:40,416.7,994.1,2.9173,3.7969,2.9375,0.8164,0.958,0.042,0.165,1.375,0.3179,0.3263;0.3247;0.3255,15.939,22.375,20260711-nt8y3x3stem-std-replay-step6000.safetensors,
7000,7000,0,3339.4,2026-07-11T01:22:36,419.3,995.71,2.8978,3.7812,2.9219,0.8242,0.9624,0.0376,0.1758,1.477,0.3183,0.3268;0.3247;0.3257,15.989,23.75,20260711-nt8y3x3stem-std-replay-step7000.safetensors,
8000,8000,0,3816.3,2026-07-11T01:30:33,421.2,1034.18,2.8106,3.7969,2.9219,0.832,0.9629,0.0371,0.1885,1.32,0.3186,0.3270;0.3249;0.3258,16.148,25.5,20260711-nt8y3x3stem-std-replay-step8000.safetensors,
9000,9000,0,4292.1,2026-07-11T01:38:28,418.0,1051.69,2.791,3.7656,2.9219,0.8164,0.9661,0.0339,0.1992,1.234,0.3189,0.3272;0.3249;0.3260,16.219,26.375,20260711-nt8y3x3stem-std-replay-step9000.safetensors,
10000,10000,0,4767.8,2026-07-11T01:46:24,419.0,1050.64,2.7741,3.7344,2.8906,0.8125,0.9678,0.0322,0.21,1.258,0.3194,0.3274;0.3251;0.3263,16.375,26.125,20260711-nt8y3x3stem-std-replay-step10000.safetensors,
11000,11000,0,5244.5,2026-07-11T01:54:21,418.5,1073.36,2.7687,3.7344,2.8906,0.8164,0.9701,0.0299,0.2197,1.438,0.3198,0.3277;0.3253;0.3265,16.593,27.125,20260711-nt8y3x3stem-std-replay-step11000.safetensors,
12000,12000,0,5719.7,2026-07-11T02:02:16,417.0,1089.68,2.727,3.7031,2.875,0.8047,0.9724,0.0276,0.2285,1.359,0.3202,0.3278;0.3255;0.3268,16.806,28.125,20260711-nt8y3x3stem-std-replay-step12000.safetensors,
13000,13000,0,6195.4,2026-07-11T02:10:12,418.2,1100.71,2.7164,3.7031,2.875,0.8047,0.9747,0.0253,0.2373,1.156,0.3205,0.3279;0.3257;0.3270,16.545,27.875,20260711-nt8y3x3stem-std-replay-step13000.safetensors,
14000,14000,0,6671.5,2026-07-11T02:18:08,417.8,1105.43,2.7015,3.6719,2.8281,0.8125,0.9753,0.0247,0.2451,1.398,0.321,0.3282;0.3258;0.3272,16.83,28.75,20260711-nt8y3x3stem-std-replay-step14000.safetensors,
15000,15000,0,7148.7,2026-07-11T02:26:05,416.3,1102.81,2.7112,3.7031,2.8438,0.8398,0.9792,0.0208,0.2539,1.633,0.3213,0.3283;0.3260;0.3275,17.123,29.625,20260711-nt8y3x3stem-std-replay-step15000.safetensors,
16000,16000,0,7624.8,2026-07-11T02:34:01,416.5,1139.43,2.642,3.6406,2.8281,0.7969,0.9778,0.0222,0.2598,1.273,0.3217,0.3284;0.3263;0.3277,17.009,29.75,20260711-nt8y3x3stem-std-replay-step16000.safetensors,
17000,17000,0,8098.5,2026-07-11T02:41:55,414.1,1161.33,2.6261,3.6875,2.8438,0.8242,0.9806,0.0194,0.2676,1.195,0.3221,0.3285;0.3265;0.3279,16.88,29.875,20260711-nt8y3x3stem-std-replay-step17000.safetensors,
18000,18000,0,8571.6,2026-07-11T02:49:48,416.8,1157.68,2.6577,3.7031,2.8438,0.832,0.9797,0.0203,0.2754,1.367,0.3224,0.3287;0.3267;0.3280,16.774,30,20260711-nt8y3x3stem-std-replay-step18000.safetensors,
19000,19000,0,9042.8,2026-07-11T02:57:39,414.3,1168.09,2.6298,3.6719,2.8438,0.8125,0.9816,0.0184,0.2832,1.273,0.3227,0.3288;0.3268;0.3283,16.848,29.875,20260711-nt8y3x3stem-std-replay-step19000.safetensors,
20000,20000,0,9514.7,2026-07-11T03:05:31,415.6,1189.4,2.5991,3.6562,2.8438,0.8008,0.9824,0.0176,0.2871,1.32,0.3229,0.3289;0.3270;0.3284,17.002,30,20260711-nt8y3x3stem-std-replay-step20000.safetensors,
