cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,762.8,2026-07-11T10:26:35,688.9,917.22,3.0896,4.0,3.0938,0.8242,0.918,0.082,0.0272,2.375,0.2401,0.4900,14.297,19.5,20260711-qeu8-1blk128-std-replay-step1000.safetensors,probe-backfill
2000,2000,0,1531.6,2026-07-11T10:39:24,687.5,1012.33,2.8342,3.8594,2.9844,0.8203,0.9448,0.0552,0.0369,1.875,0.2429,0.4929,15.214,21.5,20260711-qeu8-1blk128-std-replay-step2000.safetensors,probe-backfill
3000,3000,0,2301.2,2026-07-11T10:52:14,688.1,1025.14,2.8092,3.7969,2.9531,0.8008,0.9592,0.0408,0.0439,1.648,0.2437,0.4937,15.892,22.875,20260711-qeu8-1blk128-std-replay-step3000.safetensors,probe-backfill
4000,4000,0,3071.6,2026-07-11T11:05:04,688.6,1041.09,2.7942,3.7812,2.9219,0.8242,0.9641,0.0359,0.0527,1.75,0.2443,0.4943,15.953,23.5,20260711-qeu8-1blk128-std-replay-step4000.safetensors,probe-backfill
5000,5000,0,3840.3,2026-07-11T11:17:53,675.8,1109.62,2.667,3.7188,2.8906,0.7969,0.9666,0.0334,0.0598,1.438,0.2448,0.4948,16.108,22.625,20260711-qeu8-1blk128-std-replay-step5000.safetensors,
6000,6000,0,4629.1,2026-07-11T11:31:02,677.4,1106.48,2.6429,3.7344,2.875,0.8281,0.9716,0.0284,0.0664,1.453,0.2451,0.4951,16.357,23,20260711-qeu8-1blk128-std-replay-step6000.safetensors,
7000,7000,0,5435.9,2026-07-11T11:44:28,736.5,1112.24,2.6755,3.6719,2.8125,0.8281,0.976,0.024,0.0718,1.398,0.2454,0.4954,16.262,23.375,20260711-qeu8-1blk128-std-replay-step7000.safetensors,
8000,8000,0,6245.6,2026-07-11T11:57:58,688.3,1143.08,2.6154,3.7188,2.8906,0.8086,0.9752,0.0248,0.0767,1.414,0.2456,0.4955,16.443,23.75,20260711-qeu8-1blk128-std-replay-step8000.safetensors,
9000,9000,0,7056.7,2026-07-11T12:11:29,762.6,1142.56,2.6063,3.6562,2.8281,0.8008,0.9757,0.0243,0.0811,1.516,0.2458,0.4958,16.548,24.5,20260711-qeu8-1blk128-std-replay-step9000.safetensors,
10000,10000,0,7866.6,2026-07-11T12:24:59,754.0,1155.08,2.5611,3.6562,2.8281,0.8086,0.9763,0.0237,0.0854,1.523,0.2459,0.4959,16.588,23.625,20260711-qeu8-1blk128-std-replay-step10000.safetensors,
11000,11000,0,8676.1,2026-07-11T12:38:29,677.4,1147.26,2.6136,3.6719,2.8281,0.8164,0.9791,0.0209,0.0889,1.32,0.2461,0.4961,16.458,24.5,20260711-qeu8-1blk128-std-replay-step11000.safetensors,
