cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1,1,0,275.0,2026-05-24T20:55:46,2954.9,,,8.4705,7.3167,1.1538,0.0047,0.9953,,9.001,,,8.122,,,
1000,1000,,1458.1,,,450,,,,,,,,,,,,,,baseline (random-init anchor)
2008,2008,0,2584.0,2026-05-24T21:34:15,1085.5,,,3.733,2.7973,0.9357,0.813,0.1895,,1.313,,,12.378,,,
2986,2986,0,3680.0,2026-05-24T21:52:31,1101.0,,,3.6406,2.7302,0.9104,0.8343,0.1595,,1.231,,,13.032,,,
4026,4026,0,4838.0,2026-05-24T22:11:49,1088.0,,,3.5801,2.6907,0.8894,0.8182,0.1427,,1.185,,,13.478,,,
4995,4995,0,5933.0,2026-05-24T22:30:04,1059.4,,,3.5335,2.655,0.8785,0.8526,0.1363,,1.139,,,13.816,,,
6007,6007,0,7031.0,2026-05-24T22:48:23,1010.7,,,3.4886,2.6147,0.8739,0.8772,0.1212,,1.131,,,14.298,,,
7022,7022,0,8134.0,2026-05-24T23:06:45,1002.4,,,3.4659,2.6031,0.8628,0.9151,0.1132,,1.118,,,14.575,,,
8004,8004,0,9230.0,2026-05-24T23:25:02,1103.6,,,3.4538,2.5858,0.868,0.8808,0.1081,,1.1,,,14.822,,,
9003,9003,2,11418.0,2026-05-25T00:04:29,1044.5,,,3.4279,2.5633,0.8646,0.8792,0.1029,,1.12,,,15.033,,,
10013,10013,2,12450.0,2026-05-25T00:21:42,1008.2,,,3.4111,2.5513,0.8598,0.8896,0.0981,,1.109,,,15.234,,,
11012,11012,2,13425.0,2026-05-25T00:37:56,947.8,,,3.4021,2.5484,0.8537,0.9148,0.0944,,1.094,,,15.393,,,
12029,12029,2,14397.0,2026-05-25T00:54:08,909.5,,,3.3809,2.5694,0.8115,0.9005,0.0892,,1.09,,,15.359,,,
13017,13017,2,15309.0,2026-05-25T01:09:20,904.9,,,3.4632,2.6085,0.8547,0.9196,0.0817,,1.046,,,15.315,,,
13972,13972,2,16222.0,2026-05-25T01:24:33,891.3,,,3.5594,2.5948,0.9646,0.9368,0.0735,,1.025,,,15.416,,,
15014,15014,2,17196.0,2026-05-25T01:40:47,906.1,,,3.5335,2.5642,0.9693,0.9442,0.0725,,1.013,,,15.645,,,
15985,15985,2,18167.0,2026-05-25T01:56:59,984.5,,,3.5198,2.5589,0.9609,0.9414,0.0677,,1.019,,,15.776,,,
16980,16980,2,19200.0,2026-05-25T02:14:11,970.0,,,3.515,2.5552,0.9598,0.9224,0.0682,,1.019,,,15.893,,,
18017,18017,2,20234.0,2026-05-25T02:31:25,969.9,,,3.5154,2.5516,0.9638,0.9521,0.0671,,0.998,,,16.008,,,
18997,18997,2,21208.0,2026-05-25T02:47:39,964.6,,,3.5111,2.5511,0.96,0.9341,0.0654,,1.003,,,16.084,,,
19970,19970,2,22179.0,2026-05-25T03:03:50,973.6,,,3.517,2.551,0.966,0.9339,0.0637,,0.999,,,16.159,,,
21013,21013,2,23215.0,2026-05-25T03:21:06,959.1,,,3.4956,2.5403,0.9553,0.9447,0.0625,,1.011,,,16.246,,,
21983,21983,2,24189.0,2026-05-25T03:37:20,978.1,,,3.4835,2.5333,0.9502,0.9391,0.0614,,1.008,,,16.333,,,
23005,23005,2,25223.0,2026-05-25T03:54:34,988.5,,,3.4859,2.5364,0.9495,0.9475,0.0596,,1.015,,,16.381,,,
23989,23989,2,26258.0,2026-05-25T04:11:49,974.6,,,3.4885,2.5334,0.9551,0.946,0.059,,1.018,,,16.444,,,
24974,24974,2,27294.0,2026-05-25T04:29:05,970.7,,,3.4823,2.5303,0.952,0.9422,0.0609,,0.995,,,16.496,,,
25995,25995,2,28330.0,2026-05-25T04:46:21,985.1,,,3.4676,2.5212,0.9464,0.9129,0.0614,,1.006,,,16.559,,,
27004,27004,2,29364.0,2026-05-25T05:03:35,995.2,,,3.462,2.5176,0.9444,0.9263,0.059,,1.005,,,16.61,,,
28026,28026,2,30399.0,2026-05-25T05:20:50,973.4,,,3.4683,2.5213,0.947,0.9426,0.0575,,1.004,,,16.687,,,
28985,28985,2,31373.0,2026-05-25T05:37:05,977.3,,,3.4477,2.5102,0.9375,0.9478,0.0569,,1.017,,,16.768,,,
30002,30002,2,32408.0,2026-05-25T05:54:19,981.0,,,3.4435,2.5071,0.9364,0.9569,0.056,,1.005,,,16.785,,,
31004,31004,2,33443.0,2026-05-25T06:11:34,999.7,,,3.4456,2.5073,0.9383,0.9495,0.0544,,1.014,,,16.849,,,
32028,32028,2,34541.0,2026-05-25T06:29:52,1008.0,,,3.4337,2.5026,0.9311,0.9632,0.0551,,1.014,,,16.893,,,
33010,33010,2,35575.0,2026-05-25T06:47:06,1008.6,,,3.435,2.5021,0.9329,0.95,0.0537,,1.005,,,16.926,,,
33987,33987,2,36612.0,2026-05-25T07:04:23,1016.7,,,3.4355,2.5021,0.9334,0.9531,0.0535,,1.014,,,16.943,,,
35005,35005,2,37711.0,2026-05-25T07:22:42,998.2,,,3.4263,2.499,0.9273,0.9452,0.0534,,1.005,,,17.016,,,
35988,35988,2,38747.0,2026-05-25T07:39:58,996.9,,,3.4233,2.501,0.9223,0.9578,0.0526,,1.019,,,17.033,,,
37028,37028,2,39845.0,2026-05-25T07:58:16,994.6,,,3.4218,2.4963,0.9255,0.9611,0.0514,,1.016,,,17.082,,,
38004,38004,2,40882.0,2026-05-25T08:15:34,996.6,,,3.4172,2.4933,0.9239,0.961,0.0506,,1.014,,,17.15,,,
38981,38981,2,41919.0,2026-05-25T08:32:51,995.4,,,3.4102,2.4877,0.9225,0.9478,0.0499,,1.012,,,17.191,,,
40024,40024,2,43019.0,2026-05-25T08:51:10,993.9,,,3.4085,2.4874,0.9211,0.9583,0.0503,,1.01,,,17.238,,,
41022,41022,2,44117.0,2026-05-25T09:09:28,1026.4,,,3.4077,2.4838,0.9239,0.9576,0.0494,,0.999,,,17.265,,,
41990,41990,2,45216.0,2026-05-25T09:27:47,1064.7,,,3.3922,2.4757,0.9165,0.9602,0.0487,,1.016,,,17.291,,,
42974,42974,2,46316.0,2026-05-25T09:46:07,1021.1,,,3.3991,2.4779,0.9212,0.9578,0.0478,,1.014,,,17.325,,,
44007,44007,2,47413.0,2026-05-25T10:04:25,964.8,,,3.4029,2.48,0.9229,0.9367,0.0473,,1.005,,,17.34,,,
45010,45010,2,48451.0,2026-05-25T10:21:42,964.4,,,3.389,2.4716,0.9174,0.9631,0.0468,,1.016,,,17.377,,,
46005,46005,2,49488.0,2026-05-25T10:38:59,968.9,,,3.384,2.4689,0.9151,0.9493,0.0462,,1.01,,,17.408,,,
47001,47001,2,50526.0,2026-05-25T10:56:18,968.2,,,3.3936,2.4745,0.9191,0.971,0.0459,,1.007,,,17.445,,,
48015,48015,2,51623.0,2026-05-25T11:14:35,967.8,,,3.3733,2.4623,0.911,0.9514,0.0456,,1.018,,,17.502,,,
49006,49006,2,52663.0,2026-05-25T11:31:54,965.3,,,3.3884,2.4731,0.9153,0.945,0.0454,,1.009,,,17.497,,,
50001,50001,2,53700.0,2026-05-25T11:49:11,961.8,,,3.3926,2.4751,0.9175,0.9626,0.0445,,1.01,,,17.544,,,
50986,50986,2,54738.0,2026-05-25T12:06:29,969.6,,,3.3898,2.4728,0.917,0.9687,0.0439,,1.008,,,17.56,,,
52003,52003,2,56022.0,2026-05-25T12:27:54,1291.4,,,3.3855,2.471,0.9145,0.9488,0.0434,,1.015,,,17.599,,,
53002,53002,2,57998.0,2026-05-25T13:00:49,1396.7,,,3.3851,2.4694,0.9157,0.9666,0.0431,,1.002,,,17.621,,,
54029,54029,2,59097.0,2026-05-25T13:19:08,936.7,,,3.3879,2.4708,0.9171,0.9537,0.0427,,1.008,,,17.661,,,
55006,55006,2,60137.0,2026-05-25T13:36:28,949.9,,,3.3783,2.4682,0.9101,0.9349,0.043,,1.013,,,17.655,,,
56004,56004,2,,2026-05-25T13:54:20,,,,,,,,,,,,,,,,
56993,56993,2,62275.0,2026-05-25T14:12:07,978.6,,,3.3777,2.4651,0.9126,0.959,0.0414,,1.016,,,17.698,,,
57981,57981,2,63315.0,2026-05-25T14:29:27,949.4,,,3.3808,2.4683,0.9125,0.9626,0.0411,,1.003,,,17.729,,,
58970,58970,2,64353.0,2026-05-25T14:46:45,945.8,,,3.3767,2.4623,0.9144,0.9754,0.0411,,1.006,,,17.754,,,
60006,60006,2,65455.0,2026-05-25T15:05:06,930.5,,,3.3864,2.4713,0.9151,0.9584,0.0412,,1.004,,,17.774,,,
60999,60999,2,66495.0,2026-05-25T15:22:26,914.5,,,3.3755,2.4682,0.9073,0.9662,0.041,,1.016,,,17.804,,,
61997,61997,2,67533.0,2026-05-25T15:39:45,917.1,,,3.379,2.4675,0.9115,0.9741,0.0403,,1.008,,,17.813,,,
62985,62985,2,68573.0,2026-05-25T15:57:05,911.6,,,3.3816,2.47,0.9116,0.9636,0.0399,,1.01,,,17.851,,,
64029,64029,2,69673.0,2026-05-25T16:15:25,917.7,,,3.3797,2.4668,0.9129,0.9425,0.0392,,1.006,,,17.887,,,
65025,65025,2,70715.0,2026-05-25T16:32:46,901.2,,,3.3809,2.4701,0.9108,0.96,0.0388,,1.002,,,17.898,,,
66017,66017,2,71755.0,2026-05-25T16:50:07,905.8,,,3.3876,2.4711,0.9165,0.9574,0.0385,,1.008,,,17.918,,,
66991,66991,2,72795.0,2026-05-25T17:07:26,908.2,,,3.3722,2.4686,0.9036,0.9585,0.038,,1.015,,,17.948,,,
67990,67990,2,73898.0,2026-05-25T17:25:49,914.7,,,3.3846,2.471,0.9136,0.9688,0.0379,,1.012,,,17.979,,,
68984,68984,2,,2026-05-25T17:43:33,,,,3.3766,2.4671,0.9095,,,,1.006,,,,,,
69987,69987,2,76721.0,2026-05-25T18:12:53,1770.4,,,3.3829,2.4721,0.9108,0.9654,0.0371,,1.008,,,18.037,,,
70986,70986,4,79976.0,2026-05-25T19:10:31,1444.4,,,3.3776,2.4665,0.9111,0.9562,0.0364,,1.016,,,18.064,,,
71974,71974,4,81066.0,2026-05-25T19:28:41,1044.7,,,3.3782,2.4683,0.9099,0.9651,0.0365,,1.005,,,18.077,,,
72987,72987,4,82157.0,2026-05-25T19:46:52,1061.0,,,3.3738,2.4655,0.9083,0.9577,0.0363,,1.005,,,18.084,,,
74002,74002,4,83249.0,2026-05-25T20:05:04,1061.1,,,3.3745,2.4668,0.9077,0.9703,0.0358,,1.012,,,18.098,,,
74987,74987,4,84342.0,2026-05-25T20:23:17,1050.3,,,3.3788,2.4711,0.9077,0.9737,0.0363,,1.017,,,18.084,,,
76012,76012,4,85432.0,2026-05-25T20:41:27,1042.2,,,3.3765,2.4688,0.9077,0.9552,0.0356,,1.01,,,18.107,,,
76977,76977,4,86463.0,2026-05-25T20:58:38,1047.6,,,3.3763,2.4713,0.905,0.9582,0.0354,,1.016,,,18.105,,,
77992,77992,4,87553.0,2026-05-25T21:16:48,1061.5,,,3.3752,2.4713,0.9039,0.9633,0.035,,1.007,,,18.131,,,
79022,79022,4,88644.0,2026-05-25T21:34:59,1038.2,,,3.3749,2.4691,0.9058,0.9708,0.035,,1.013,,,18.148,,,
