cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,687.7,,715.2,,,1.7188,1.4141,0.2256,,,,3.609,,,,,,run (to step 220k)
2000,2000,0,1390.7,,770.0,,,1.9141,1.5859,0.2793,,,,2.828,,,,,,
3000,3000,0,2094.7,,803.2,,,1.8594,1.5703,0.252,,,,3.016,,,,,,
4000,4000,0,2805.7,,811.8,,,1.8672,1.5703,0.2656,,,,1.844,,,,,,
5000,5000,0,3514.7,,777.1,,,1.9453,1.6406,0.2812,,,,2.234,,,,,,
6000,6000,0,4218.7,,812.6,794.0,3.7484,1.7422,1.4688,0.252,,,,1.336,,,,,,
7000,7000,0,4920.7,,751.9,851.8,3.6000,1.6172,1.3359,0.2559,,,,1.484,,,,,,
8000,8000,0,5617.7,,754.3,847.7,3.6051,1.7812,1.4766,0.2852,,,,1.383,,,,,,
9000,9000,0,6311.7,,775.3,907.8,3.3706,1.7109,1.4297,0.2617,,,,1.383,,,,,,
10000,10000,0,7010.7,,796.9,926.6,3.3437,1.6953,1.4219,0.2559,,,,1.156,,,,,,
11000,11000,0,7715.7,,805.8,908.9,3.3610,1.8125,1.5234,0.2695,,,,1.523,,,,,,
12000,12000,0,8412.7,,782.9,922.2,3.3660,1.7422,1.4453,0.2773,,,,1.367,,,,,,
13000,13000,0,9109.7,,807.3,920.0,3.3112,1.5469,1.2812,0.252,,,,1.602,,,,,,
14000,14000,0,9801.7,,750.7,987.1,3.1585,1.5781,1.3047,0.2598,,,,1.305,,,,,,
15000,15000,0,10496.7,,756.0,943.1,3.3568,1.5469,1.2422,0.291,,,,2.656,,,,,,
16000,16000,0,11190.7,,799.2,975.8,3.1665,1.8047,1.5078,0.2832,,,,1.438,,,,,,
17000,17000,0,11887.7,,788.9,945.9,3.1829,1.625,1.3438,0.2695,,,,1.453,,,,,,
