cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
71,71,0,63.0,2026-06-14T01:45:41,708.0,579.982,3.41705,4.9694,4.418,0.5514,0.0,0.9965,,7.005,,,4.307,,,,,
1001,1001,,713.0,,,568.91,5.14741,,,,,,,,,,,,,,,
2001,2001,,1411.8,,,580.822,3.25262,,,,,,,,,,,,,,,
3001,3001,,2116.1,,,522.328,8.65223,,,,,,,,,,,,,,,
4001,4001,,2821.2,,,578.297,3.66108,,,,,,,,,,,,,,,
5002,5002,,3521.3,,,467.8,14.53788,,,,,,,,,,,,,,,
6002,6002,,4222.0,,,564.575,5.54143,,,,,,,,,,,,,,,
7002,7002,,4922.7,,,562.828,6.36693,,,,,,,,,,,,,,,
8001,8001,,5620.3,,,545.85,4.57016,,,,,,,,,,,,,,,
9002,9002,,6320.2,,,553.086,5.95739,,,,,,,,,,,,,,,
10002,10002,,7022.5,,,559.312,11.39298,,,,,,,,,,,,,,,
11001,11001,,7720.4,,,551.289,7.09689,,,,,,,,,,,,,,,
12001,12001,,8418.5,,,564.575,5.29917,,,,,,,,,,,,,,,
13002,13002,,9117.9,,,571.491,4.44467,,,,,,,,,,,,,,,
14003,14003,,9817.0,,,559.312,6.34809,,,,,,,,,,,,,,,
15000,15000,,10514.4,,,553.981,7.42079,,,,,,,,,,,,,,,
16001,16001,,11213.5,,,494.056,12.26079,,,,,,,,,,,,,,,
17003,17003,,11913.5,,,569.772,5.26443,,,,,,,,,,,,,,,
18002,18002,,12611.3,,,580.822,3.25262,,,,,,,,,,,,,,,
19002,19002,,13310.3,,,498.237,14.7196,,,,,,,,,,,,,,,
20001,20001,,14011.3,,,544.02,13.9943,,,,,,,,,,,,,,,
21003,21003,,14717.9,,,480.095,13.315,,,,,,,,,,,,,,,
22001,22001,,15413.9,,,488.755,14.26696,,,,,,,,,,,,,,,
23002,23002,,16111.9,,,591.602,4.30196,,,,,,,,,,,,,,,
24003,24003,,16818.4,,,527.151,13.67022,,,,,,,,,,,,,,,
25000,25000,,17515.9,,,467.8,14.90263,,,,,,,,,,,,,,,
26000,26000,,18216.1,,,554.874,6.60574,,,,,,,,,,,,,,,
27002,27002,,18917.3,,,526.192,11.63943,,,,,,,,,,,,,,,
28000,28000,,19615.4,,,574.056,4.50692,,,,,,,,,,,,,,,
29000,29000,,20315.3,,,574.056,4.50692,,,,,,,,,,,,,,,
30001,30001,,21015.0,,,574.056,4.50692,,,,,,,,,,,,,,,
31001,31001,,21714.7,,,594.868,7.70819,,,,,,,,,,,,,,,
32003,32003,,22416.8,,,580.822,3.25262,,,,,,,,,,,,,,,
33000,33000,,23114.0,,,594.868,7.7659,,,,,,,,,,,,,,,
34001,34001,0,23815.0,2026-06-14T08:21:33,690.4,587.486,3.55767,1.3139,1.0315,0.2824,0.0061,0.0581,,6.749,,,17.974,,,,,
35003,35003,,24515.9,,,580.822,3.25262,,,,,,,,,,,,,,,
35979,35979,0,25208.0,2026-06-14T08:44:46,693.0,,,0.6048,0.4448,0.16,0.0688,0.0416,,6.221,,,17.791,,,,,
