cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,507.3,2026-07-11T21:11:57,455.2,769.58,3.5342,4.3438,3.3438,0.8438,0.8525,0.1475,0.4453,1.945,0.1207,0.1229;0.1224;0.1226;0.1229;0.1229;0.1228;0.1232;0.1232,14.393,19.875,20260711-wXIL-std2026_05-replay-step1000.safetensors,probe-backfill
2000,2000,0,1011.4,2026-07-11T21:20:22,456.2,798.84,3.4823,4.125,3.1875,0.8164,0.8872,0.1128,0.5703,2.172,0.1223,0.1233;0.1234;0.1236;0.1238;0.1237;0.1237;0.1240;0.1239,14.968,21.625,20260711-wXIL-std2026_05-replay-step2000.safetensors,probe-backfill
3000,3000,0,1514.5,2026-07-11T21:28:45,453.8,802.44,3.3901,4.0625,3.1406,0.8242,0.8984,0.1016,0.6211,2.0,0.1229,0.1235;0.1238;0.1239;0.1241;0.1240;0.1240;0.1242;0.1242,15.357,22.25,20260711-wXIL-std2026_05-replay-step3000.safetensors,probe-backfill
4000,4000,0,2018.7,2026-07-11T21:37:09,452.7,809.61,3.3807,4.0312,3.1094,0.8203,0.9121,0.0879,0.6367,1.609,0.1232,0.1237;0.1240;0.1241;0.1243;0.1241;0.1241;0.1243;0.1243,15.809,26,20260711-wXIL-std2026_05-replay-step4000.safetensors,probe-backfill
5000,5000,0,2521.5,2026-07-11T21:45:32,452.3,831.44,3.2967,3.9688,3.0781,0.8164,0.9214,0.0786,0.6523,1.562,0.1235,0.1238;0.1242;0.1243;0.1244;0.1243;0.1242;0.1244;0.1243,16.416,30.875,20260711-wXIL-std2026_05-replay-step5000.safetensors,probe-backfill
6000,6000,0,3024.3,2026-07-11T21:53:54,452.1,836.69,3.2939,3.9531,3.0469,0.8281,0.9233,0.0767,0.6719,1.547,0.1236,0.1239;0.1243;0.1243;0.1244;0.1243;0.1243;0.1244;0.1244,17.42,34.25,20260711-wXIL-std2026_05-replay-step6000.safetensors,probe-backfill
7000,7000,0,3527.0,2026-07-11T22:02:17,453.7,858.08,3.2324,3.9062,3.0,0.8359,0.9316,0.0684,0.6797,1.75,0.1237,0.1240;0.1244;0.1244;0.1245;0.1244;0.1243;0.1244;0.1244,17.929,37,20260711-wXIL-std2026_05-replay-step7000.safetensors,probe-backfill
8000,8000,0,4030.9,2026-07-11T22:10:41,452.9,881.42,3.2246,3.9219,3.0312,0.8281,0.9336,0.0664,0.6836,1.234,0.1238,0.1241;0.1244;0.1244;0.1245;0.1244;0.1243;0.1245;0.1245,18.686,39,20260711-wXIL-std2026_05-replay-step8000.safetensors,probe-backfill
9000,9000,0,4533.6,2026-07-11T22:19:04,453.4,902.76,3.1128,3.9062,3.0156,0.8281,0.937,0.063,0.6875,1.398,0.1239,0.1242;0.1245;0.1245;0.1246;0.1245;0.1243;0.1245;0.1245,18.89,40.5,20260711-wXIL-std2026_05-replay-step9000.safetensors,probe-backfill
10000,10000,0,5036.2,2026-07-11T22:27:26,454.1,907.22,3.2162,3.8906,3.0156,0.8164,0.9431,0.0569,0.6836,1.484,0.124,0.1242;0.1245;0.1245;0.1246;0.1245;0.1244;0.1245;0.1246,19.433,42.5,20260711-wXIL-std2026_05-replay-step10000.safetensors,probe-backfill
11000,11000,0,5540.2,2026-07-11T22:35:50,453.4,919.99,3.0964,3.8438,2.9688,0.8203,0.9419,0.0581,0.7109,1.328,0.124,0.1243;0.1245;0.1245;0.1246;0.1246;0.1244;0.1245;0.1246,19.059,43.25,20260711-wXIL-std2026_05-replay-step11000.safetensors,probe-backfill
12000,12000,0,6043.0,2026-07-11T22:44:13,454.1,953.5,3.0518,3.8594,2.9844,0.8164,0.949,0.051,0.7383,1.719,0.1241,0.1243;0.1246;0.1246;0.1246;0.1246;0.1244;0.1246;0.1246,18.904,43,20260711-wXIL-std2026_05-replay-step12000.safetensors,probe-backfill
13000,13000,0,6545.8,2026-07-11T22:52:36,455.1,967.1,3.0018,3.8125,2.9375,0.8281,0.9504,0.0496,0.7578,1.336,0.1241,0.1244;0.1246;0.1246;0.1246;0.1246;0.1244;0.1246;0.1246,18.486,44,20260711-wXIL-std2026_05-replay-step13000.safetensors,probe-backfill
14000,14000,0,7048.9,2026-07-11T23:00:59,454.1,986.56,2.9933,3.8125,2.9531,0.8164,0.95,0.05,0.7812,1.477,0.1242,0.1244;0.1246;0.1246;0.1247;0.1247;0.1245;0.1246;0.1247,18.707,44.5,20260711-wXIL-std2026_05-replay-step14000.safetensors,
