cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,161.5,2026-06-29T17:10:41,84.3,797.64,3.548,3.30,0.83,0.8672,,0.195,0.828,0.8816,0.663;0.665,14.12,17.875,20260630-mini-YkKk-step1000-frozen.safetensors,
2650,2650,0,424.3,2026-06-29T17:15:04,83.6,886.50,3.306,3.09,0.82,0.9175,,0.239,0.887,0.8998,0.670;0.672,15.63,20.25,20260630-mini-YkKk-step2650-frozen.safetensors,
3750,3750,0,601.2,2026-06-29T17:18:01,82.2,902.20,3.228,3.05,0.81,0.9307,,0.262,1.062,0.9059,0.672;0.674,16.36,22.125,20260630-mini-YkKk-step3750-frozen.safetensors,
4900,4900,0,784.3,2026-06-29T17:21:04,86.5,928.28,3.140,2.98,0.84,0.9404,,0.275,1.008,0.9098,0.673;0.676,16.68,22.125,20260630-mini-YkKk-step4900-frozen.safetensors,
6050,6050,0,965.8,2026-06-29T17:24:05,84.4,953.50,3.030,3.02,0.83,0.9448,,0.289,0.965,0.9180,0.677;0.678,17.10,23.125,20260630-mini-YkKk-step6050-frozen.safetensors,
7150,7150,0,1141.6,2026-06-29T17:27:01,82.7,938.18,3.078,2.98,0.82,0.9524,,0.295,0.957,0.9214,0.678;0.679,17.37,23.75,20260630-mini-YkKk-step7150-frozen.safetensors,
8300,8300,0,1324.1,2026-06-29T17:30:04,86.1,954.04,3.042,2.94,0.83,0.9543,,0.305,0.715,0.9246,0.679;0.681,17.43,23.625,20260630-mini-YkKk-step8300-frozen.safetensors,
9450,9450,0,1506.1,2026-06-29T17:33:06,85.6,971.43,3.028,2.95,0.82,0.9529,,0.313,0.949,0.9278,0.681;0.682,17.53,24.125,20260630-mini-YkKk-step9450-frozen.safetensors,
10550,10550,0,1681.5,2026-06-29T17:36:01,90.1,983.33,2.988,2.97,0.82,0.9600,,0.320,1.133,0.9301,0.682;0.682,17.64,24.25,20260630-mini-YkKk-step10550-frozen.safetensors,
11700,11700,0,1863.2,2026-06-29T17:39:03,84.9,987.10,2.980,2.95,0.84,0.9614,,0.324,0.758,0.9323,0.683;0.683,17.76,24.5,20260630-mini-YkKk-step11700-frozen.safetensors,
12850,12850,0,2045.2,2026-06-29T17:42:05,84.9,998.93,2.954,2.94,0.81,0.9604,,0.330,0.789,0.9344,0.683;0.684,17.67,24.375,20260630-mini-YkKk-step12850-frozen.safetensors,
13950,13950,0,2218.7,2026-06-29T17:44:58,84.0,1010.72,2.905,2.95,0.82,0.9602,,0.340,0.859,0.9385,0.685;0.685,17.79,24.625,20260630-mini-YkKk-step13950-frozen.safetensors,
15100,15100,0,2402.2,2026-06-29T17:48:02,86.8,1030.46,2.879,2.91,0.80,0.9656,,0.342,0.719,0.9398,0.686;0.685,17.69,24.25,20260630-mini-YkKk-step15100-frozen.safetensors,
16250,16250,0,2584.1,2026-06-29T17:51:04,85.5,1016.60,2.879,2.91,0.82,0.9651,,0.344,0.820,0.9423,0.687;0.686,17.83,24.25,20260630-mini-YkKk-step16250-frozen.safetensors,
