cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note,wall_sec,games_fed
1,1,0,29.0,2026-05-29T15:41:36,3819.4,,,6.3967,5.6734,0.7233,0.0038,0.9966,,3.273,,,3.999,,,,,
1002,1002,0,1499.0,2026-05-29T16:06:06,1440.6,450,,2.5096,2.1581,0.3515,0.6689,0.4266,,0.548,,,9.077,,,baseline (random-init anchor),,
2011,2011,0,2959.0,2026-05-29T16:30:26,1434.4,,,1.7789,1.4333,0.3456,0.7744,0.2462,,0.471,,,10.992,,,,,
2980,2980,0,4362.0,2026-05-29T16:53:49,1434.1,,,1.6721,1.322,0.3501,0.8139,0.2162,,0.493,,,11.941,,,,,
3989,3989,0,5823.0,2026-05-29T17:18:10,1421.2,,,1.6045,1.2591,0.3454,0.794,0.1971,,0.511,,,12.542,,,,,
5005,5005,0,7285.0,2026-05-29T17:42:32,1419.0,,,1.5891,1.2381,0.351,0.8194,0.1844,,0.53,,,12.906,,,,,
5995,5995,0,8748.0,2026-05-29T18:06:55,1466.9,,,1.5303,1.1891,0.3412,0.8508,0.1723,,0.553,,,13.277,,,,,
7016,7016,0,10215.0,2026-05-29T18:31:22,1417.2,,,1.4835,1.1514,0.3321,0.8183,0.1627,,0.572,,,13.582,,,,,
7988,7988,0,11619.0,2026-05-29T18:54:45,1433.0,,,1.5215,1.1725,0.349,0.8344,0.1575,,0.583,,,13.817,,,,,
8997,8997,0,13142.0,2026-05-29T19:20:09,1489.5,,,1.495,1.1502,0.3448,0.8433,0.1508,,0.594,,,14.021,,,,,
10008,10008,1,17280.0,2026-05-29T20:31:24,1422.8,,,1.4656,1.1264,0.3392,0.8519,0.1421,,0.642,,,14.253,,,,,
11008,11008,1,18739.0,2026-05-29T20:55:43,1440.0,,,1.4572,1.1168,0.3404,0.8669,0.1393,,0.629,,,14.359,,,,,
11983,11983,1,20143.0,2026-05-29T21:19:07,1417.8,,,1.491,1.1382,0.3528,0.8545,0.1356,,0.637,,,14.479,,,,,
13008,13008,1,21609.0,2026-05-29T21:43:33,1412.0,,,1.4439,1.1031,0.3408,0.8718,0.1291,,0.657,,,14.661,,,,,
14017,14017,1,23075.0,2026-05-29T22:07:59,1435.7,,,1.446,1.1024,0.3436,0.8693,0.1256,,0.671,,,14.759,,,,,
14992,14992,1,24479.0,2026-05-29T22:31:23,1425.1,,,1.4179,1.0808,0.3371,0.8902,0.1213,,0.671,,,14.893,,,,,
16002,16002,1,25944.0,2026-05-29T22:55:48,1439.7,,,1.4166,1.0789,0.3377,0.8886,0.1172,,0.695,,,15.006,,,,,
17008,17008,1,27408.0,2026-05-29T23:20:12,1425.3,,,1.4194,1.0795,0.3399,0.9146,0.1131,,0.704,,,15.126,,,,,
18020,18020,1,28872.0,2026-05-29T23:44:36,1429.5,,,1.4468,1.0956,0.3512,0.9013,0.1109,,0.708,,,15.176,,,,,
19012,19012,1,30336.0,2026-05-30T00:09:00,1455.4,,,1.4085,1.0683,0.3402,0.9028,0.1069,,0.718,,,15.291,,,,,
20020,20020,1,31796.0,2026-05-30T00:33:21,1419.7,,,1.4152,1.0721,0.3431,0.9012,0.1041,,0.738,,,15.367,,,,,
20983,20983,1,33199.0,2026-05-30T00:56:43,1430.9,,,1.3825,1.0493,0.3332,0.8922,0.101,,0.733,,,15.465,,,,,
21989,21989,1,34665.0,2026-05-30T01:21:09,1413.8,,,1.4358,1.0831,0.3527,0.9185,0.0993,,0.744,,,15.478,,,,,
22997,22997,1,36126.0,2026-05-30T01:45:30,1415.4,,,1.395,1.0545,0.3405,0.9099,0.0963,,0.75,,,15.58,,,,,
23985,23985,1,37593.0,2026-05-30T02:09:57,1460.7,,,1.3911,1.0511,0.34,0.9148,0.0937,,0.771,,,15.645,,,,,
24994,24994,1,39057.0,2026-05-30T02:34:21,1417.4,,,1.3882,1.0483,0.3399,0.8973,0.0918,,0.77,,,15.717,,,,,
25991,25991,1,40519.0,2026-05-30T02:58:43,1428.5,,,1.38,1.0411,0.3389,0.9038,0.0897,,0.782,,,15.756,,,,,
26995,26995,1,41983.0,2026-05-30T03:23:08,1408.1,,,1.3739,1.037,0.3369,0.9091,0.0879,,0.794,,,15.8,,,,,
27999,27999,1,43447.0,2026-05-30T03:47:31,1405.8,,,1.3919,1.0474,0.3445,0.9155,0.086,,0.788,,,15.832,,,,,
28995,28995,1,44915.0,2026-05-30T04:11:59,1407.9,,,1.3921,1.0477,0.3444,0.9249,0.0837,,0.794,,,15.894,,,,,
29997,29997,1,46383.0,2026-05-30T04:36:27,1400.4,,,1.4069,1.0573,0.3496,0.9345,0.0825,,0.8,,,15.926,,,,,
30996,30996,1,,2026-05-30T05:00:56,,,,1.369,1.0301,0.3389,,,,0.803,,,,,,,,
32001,32001,1,49314.0,2026-05-30T05:25:18,1392.4,,,1.369,1.03,0.339,0.9249,0.0792,,0.808,,,16.004,,,,,
33011,33011,1,50782.0,2026-05-30T05:49:47,1386.5,,,1.3855,1.0411,0.3444,0.9331,0.0774,,0.818,,,16.031,,,,,
33999,33999,1,52247.0,2026-05-30T06:14:12,1404.4,,,1.352,1.0178,0.3342,0.9447,0.0762,,0.823,,,16.072,,,,,
35008,35008,1,53719.0,2026-05-30T06:38:44,1384.2,,,1.3524,1.0167,0.3357,0.9423,0.0745,,0.828,,,16.103,,,,,
36002,36002,1,55192.0,2026-05-30T07:03:16,1409.4,,,1.3767,1.0325,0.3442,0.9344,0.0732,,0.826,,,16.123,,,,,
37002,37002,1,56660.0,2026-05-30T07:27:44,1378.6,,,1.3814,1.0358,0.3456,0.9389,0.072,,0.834,,,16.14,,,,,
38010,38010,1,58128.0,2026-05-30T07:52:12,1363.6,,,1.3659,1.0238,0.3421,0.9225,0.071,,0.839,,,16.164,,,,,
38993,38993,1,59595.0,2026-05-30T08:16:39,1366.7,,,1.3638,1.0231,0.3407,0.912,0.0696,,0.843,,,16.204,,,,,
39988,39988,1,61063.0,2026-05-30T08:41:08,1366.2,,,1.3558,1.0172,0.3386,0.9188,0.0683,,0.839,,,16.234,,,,,
41011,41011,1,62595.0,2026-05-30T09:06:40,1408.6,,,1.3572,1.0179,0.3393,0.9322,0.0673,,0.856,,,16.253,,,,,
42018,42018,1,64125.0,2026-05-30T09:32:09,1399.5,,,1.3543,1.0152,0.3391,0.9244,0.0659,,0.854,,,16.263,,,,,
43007,43007,1,,2026-05-30T09:57:16,,,,1.3247,0.9946,0.3301,,,,0.857,,,,,,,,
43995,43995,1,67189.0,2026-05-30T10:23:14,1388.1,,,1.3833,1.0332,0.3501,0.9208,0.0648,,0.855,,,16.287,,,,,
44996,44996,1,68721.0,2026-05-30T10:48:46,1380.6,,,1.3546,1.0152,0.3394,0.926,0.0633,,0.868,,,16.318,,,,,
45991,45991,1,70257.0,2026-05-30T11:14:21,1397.1,,,1.381,1.0322,0.3488,0.9452,0.0625,,0.867,,,16.322,,,,,
46991,46991,1,71792.0,2026-05-30T11:39:57,1366.6,,,1.4533,1.0788,0.3745,0.9428,0.0619,,0.881,,,16.516,,,,,
48002,48002,1,73327.0,2026-05-30T12:05:31,1384.2,,,1.7896,1.3154,0.4742,0.9241,0.0669,,0.877,,,16.75,,,,,
48982,48982,1,74797.0,2026-05-30T12:30:02,1325.2,,,1.815,1.3337,0.4813,0.9364,0.066,,0.872,,,16.637,,,,,
50014,50014,1,76326.0,2026-05-30T12:55:31,1303.8,,,1.8323,1.346,0.4863,0.9414,0.0655,,0.869,,,16.572,,,,,
51006,51006,1,,2026-05-30T13:20:31,,,,1.8009,1.327,0.4739,,,,0.881,,,,,,,,
51982,51982,1,79267.0,2026-05-30T13:44:32,1286.1,,,1.8123,1.334,0.4783,0.9523,0.0636,,0.881,,,16.539,,,,,
53005,53005,1,80797.0,2026-05-30T14:10:01,1316.7,,,1.8019,1.3295,0.4724,0.9438,0.0621,,0.887,,,16.527,,,,,
54005,54005,1,82266.0,2026-05-30T14:34:31,1276.7,,,1.8195,1.3474,0.4721,0.9342,0.0616,,0.887,,,16.548,,,,,
54994,54994,1,83739.0,2026-05-30T14:59:04,1277.5,,,1.8451,1.3651,0.48,0.9378,0.0611,,0.889,,,16.531,,,,,
56003,56003,1,,2026-05-30T15:25:16,,,,2.3709,1.6804,0.6905,,,,0.859,,,,,,,,
57015,57015,1,86869.0,2026-05-30T15:51:13,1300.7,,,2.408,1.7468,0.6612,0.9463,0.0605,,0.916,,,16.588,,,,,
58013,58013,2,88453.0,2026-05-30T16:21:32,1441.8,,,2.4442,1.7918,0.6524,0.9426,0.0576,,0.931,,,16.602,,,,,
59011,59011,2,89908.0,2026-05-30T16:45:48,1460.5,,,2.4859,1.8281,0.6578,0.9573,0.0553,,0.942,,,16.633,,,,,
59992,59992,2,91365.0,2026-05-30T17:10:05,1465.9,,,2.4839,1.8344,0.6495,0.9495,0.0536,,0.946,,,16.66,,,,,
61009,61009,2,92826.0,2026-05-30T17:34:25,1415.4,,,2.5221,1.8575,0.6646,0.9385,0.0522,,0.949,,,16.672,,,,,
61982,61982,2,94226.0,2026-05-30T17:57:46,1419.6,,,2.5101,1.8519,0.6582,0.9369,0.0506,,0.956,,,16.725,,,,,
62991,62991,2,95749.0,2026-05-30T18:23:08,1423.0,,,2.3615,1.7515,0.61,0.9482,0.0505,,0.946,,,16.721,,,,,
64015,64015,2,97217.0,2026-05-30T18:47:37,1409.6,,,2.3556,1.7474,0.6082,0.9477,0.0476,,0.975,,,16.759,,,,,
64999,64999,2,,2026-05-30T19:11:16,,,,2.3485,1.7441,0.6044,,,,0.987,,,,,,,,
66010,66010,2,100081.0,2026-05-30T19:35:21,1402.7,,,2.3397,1.736,0.6037,0.9406,0.0443,,0.972,,,16.879,,,,,
66993,66993,2,101483.0,2026-05-30T19:58:43,1396.0,,,2.3526,1.7486,0.604,0.9577,0.0432,,0.983,,,16.897,,,,,
68008,68008,2,102944.0,2026-05-30T20:23:04,1394.4,,,2.3509,1.7423,0.6086,0.9515,0.0423,,0.983,,,16.915,,,,,
68993,68993,2,104347.0,2026-05-30T20:46:27,1392.0,,,2.3616,1.7522,0.6094,0.9515,0.0415,,0.987,,,16.945,,,,,
70009,70009,2,105809.0,2026-05-30T21:10:49,1425.1,,,2.3518,1.7486,0.6032,0.9752,0.0405,,0.991,,,16.991,,,,,
