cum_step,meta_step,segment,elapsed_train_sec,wallclock_iso,ms_per_step,pElo,nll,loss,pLoss,vLoss,legalMass,pIllM,bn1Mean,gNorm,sae2,eff_alpha,pLogit_mean,pLogit_peak,frozen_file,note
1000,1000,0,717.2,2026-07-03T18:06:12,644.8,802.44,3.3205,4.0,2.9688,0.9414,0.9146,0.0854,0.0605,1.703,0.4475,0.4728;0.4732,14.501,20,20260704-Qeu8e-replay-step1000.safetensors,
2000,2000,0,1437.7,2026-07-03T18:18:12,639.7,919.44,3.0343,3.8281,2.8281,0.9453,0.949,0.051,0.1011,1.781,0.4561,0.4748;0.4803,15.421,20.875,20260704-Qeu8e-replay-step2000.safetensors,
3000,3000,0,2170.6,2026-07-03T18:30:25,640.2,964.93,2.9254,3.7188,2.75,0.9258,0.9573,0.0427,0.1348,1.586,0.4592,0.4752;0.4831,15.528,21.375,20260704-Qeu8e-replay-step3000.safetensors,
4000,4000,0,2891.1,2026-07-03T18:42:25,631.5,942.57,2.9785,3.6875,2.7344,0.9219,0.9641,0.0359,0.165,1.266,0.4611,0.4752;0.4850,15.808,22.75,20260704-Qeu8e-replay-step4000.safetensors,
5000,5000,0,3607.1,2026-07-03T18:54:21,635.4,1033.65,2.7944,3.6719,2.7031,0.9336,0.9675,0.0325,0.1914,1.422,0.4631,0.4759;0.4864,15.952,22.375,20260704-Qeu8e-replay-step5000.safetensors,
6000,6000,0,4325.4,2026-07-03T19:06:20,637.9,1080.21,2.7368,3.6719,2.7188,0.9141,0.9678,0.0322,0.2158,1.43,0.4649,0.4770;0.4872,15.815,22.25,20260704-Qeu8e-replay-step6000.safetensors,
7000,7000,0,5044.8,2026-07-03T19:18:19,639.2,1024.6,2.8524,3.6875,2.7344,0.9258,0.9723,0.0277,0.2373,1.414,0.4669,0.4784;0.4879,16.189,23.5,20260704-Qeu8e-replay-step7000.safetensors,
8000,8000,0,5760.3,2026-07-03T19:30:15,630.0,1077.57,2.7413,3.6094,2.6875,0.9023,0.9778,0.0222,0.2598,1.227,0.4692,0.4800;0.4887,16.033,22.875,20260704-Qeu8e-replay-step8000.safetensors,
9000,9000,0,6470.1,2026-07-03T19:42:04,622.5,1061.22,2.7426,3.4219,2.5312,0.8711,0.9794,0.0206,0.2812,1.242,0.4715,0.4817;0.4893,16.23,24.625,20260704-Qeu8e-replay-step9000.safetensors,
10000,10000,0,7179.3,2026-07-03T19:53:54,619.2,1151.43,2.6248,3.7188,2.7812,0.9102,0.9797,0.0203,0.3047,1.234,0.4731,0.4831;0.4897,16.129,23.75,20260704-Qeu8e-replay-step10000.safetensors,
11000,11000,0,7886.2,2026-07-03T20:05:41,619.7,1164.97,2.6102,3.5156,2.6094,0.8906,0.9816,0.0184,0.3242,1.266,0.4744,0.4841;0.4900,16.164,24,20260704-Qeu8e-replay-step11000.safetensors,
12000,12000,0,8590.9,2026-07-03T20:17:25,624.9,1119.05,2.6653,3.375,2.5312,0.832,0.9836,0.0164,0.3398,1.125,0.4764,0.4855;0.4906,16.083,24.375,20260704-Qeu8e-replay-step12000.safetensors,
13000,13000,0,9291.8,2026-07-03T20:29:06,618.1,1181.61,2.5925,3.0156,2.25,0.7539,0.9865,0.0135,0.3535,1.227,0.4775,0.4864;0.4909,15.983,24.875,20260704-Qeu8e-replay-step13000.safetensors,
14000,14000,0,9989.0,2026-07-03T20:40:43,626.3,1132.64,2.6623,3.5312,2.6406,0.875,0.9857,0.0143,0.3652,1.188,0.4792,0.4876;0.4914,15.997,25.375,20260704-Qeu8e-replay-step14000.safetensors,
