step,pElo,nll
28,515.468,3.30663
54,520.381,3.3429
77,521.356,3.40093
101,503.394,3.48388
126,523.298,3.51879
151,520.381,3.6163
175,489.822,3.79477
202,453.82,4.0542
227,444.133,4.18047
251,458.55,4.25531
275,467.8,4.27412
301,473.447,4.2819
326,478.997,4.25331
352,496.153,4.26596
375,517.441,4.18369
400,512.488,4.17142
426,514.477,4.13428
452,512.488,4.07373
476,517.441,4.01708
502,527.151,4.0488
526,526.192,4.00758
552,511.489,4.02354
576,509.482,4.02062
602,495.106,3.98529
627,512.488,3.93162
651,519.404,3.90373
677,512.488,3.88408
700,514.477,3.88358
726,503.394,3.91276
751,498.237,3.85989
776,505.435,3.82073
801,511.489,3.85031
827,502.368,3.85403
851,510.487,3.83063
877,518.424,3.83904
901,525.23,3.7944
927,538.479,3.78124
951,513.484,3.82062
976,527.151,3.77759
1000,525.23,3.76914
1025,504.416,3.81861
1051,499.275,3.7965
1075,518.424,3.77125
1101,515.468,3.80447
1127,513.484,3.79309
1151,535.679,3.74767
1175,536.615,3.77201
1202,525.23,3.75935
1226,558.428,3.72487
1252,536.615,3.7802
1276,522.328,3.75783
1302,538.479,3.78179
1326,537.548,3.74581
1350,517.441,3.78035
1376,528.108,3.73036
1400,533.8,3.70721
1427,561.952,3.70365
1450,544.936,3.71407
1465,551.289,3.66776
1476,557.543,3.66963
1502,566.314,3.67077
1525,558.428,3.71028
1551,556.655,3.73197
1575,544.02,3.77309
1602,548.579,3.77114
1626,535.679,3.81351
1650,559.312,3.78235
1676,554.874,3.85439
1702,569.772,3.77761
1726,558.428,3.79931
1752,565.445,3.80571
1776,559.312,3.8084
1802,549.484,3.79578
1826,561.074,3.82006
1850,556.655,3.81034
1877,584.999,3.76307
1901,573.202,3.79193
1926,557.543,3.84524
1951,548.579,3.83307
1976,556.655,3.83338
2001,549.484,3.86942
2026,564.575,3.81364
2051,568.91,3.81177
2076,568.91,3.79245
2102,561.074,3.8545
2125,559.312,3.8217
2151,574.056,3.80961
2176,576.605,3.83041
2201,561.074,3.86857
2227,562.828,3.84837
2252,578.297,3.80974
2276,576.605,3.80719
2301,588.312,3.78773
2327,582.497,3.79165
2351,593.238,3.75282
2376,568.91,3.82391
2402,575.757,3.83666
2427,577.452,3.82817
2442,579.982,3.76221
2452,579.14,3.76122
2475,574.907,3.78805
2501,568.91,3.763
2527,563.702,3.80667
2550,569.772,3.79322
2576,584.999,3.78383
2602,574.056,3.81991
2625,572.347,3.81326
2651,572.347,3.80541
2677,563.702,3.8387
2700,560.194,3.87702
2726,564.575,3.86663
2752,585.829,3.79753
2777,571.491,3.81949
2802,568.047,3.82337
2827,575.757,3.8028
2850,580.822,3.7913
2876,565.445,3.83845
2901,568.047,3.81855
2925,554.874,3.86019
2952,550.388,3.89735
2977,547.671,3.88732
3002,547.671,3.90667
3027,560.194,3.82891
3052,560.194,3.82817
3077,566.314,3.81735
3101,567.181,3.82814
3126,566.314,3.82977
3152,570.632,3.80565
3175,557.543,3.85481
3201,558.428,3.85404
3227,571.491,3.829
3250,574.907,3.82671
3276,568.047,3.85119
3301,568.047,3.83145
3327,584.999,3.81015
3350,574.907,3.82808
3376,577.452,3.79039
3401,574.907,3.82099
3426,581.66,3.80442
3451,578.297,3.79337
3477,580.822,3.83274
3500,586.659,3.78064
3526,573.202,3.82748
3552,574.056,3.79163
3577,576.605,3.82484
3601,574.907,3.84059
3626,570.632,3.82722
3652,574.056,3.85311
3675,570.632,3.83231
3701,581.66,3.8352
3727,564.575,3.89102
3750,574.056,3.81578
3776,574.907,3.82218
3801,572.347,3.83677
3827,567.181,3.84416
3850,569.772,3.82324
3876,568.047,3.82875
3901,573.202,3.83001
3927,574.907,3.85186
3952,554.874,3.85654
3975,564.575,3.88597
4001,562.828,3.87136
4026,556.655,3.8484
4052,567.181,3.85632
4075,555.766,3.85795
4101,560.194,3.83245
4127,553.086,3.85167
4152,551.289,3.85151
4175,562.828,3.8255
4201,568.047,3.8318
4226,558.428,3.86044
4252,560.194,3.86409
4277,550.388,3.85042
4300,561.952,3.83392
4326,564.575,3.82087
4351,569.772,3.81133
4377,565.445,3.82911
4402,569.772,3.82603
4427,585.829,3.78699
4451,573.202,3.78587
4477,574.907,3.81401
4500,565.445,3.81453
4526,558.428,3.80838
4551,561.074,3.81673
4577,561.074,3.8261
4602,571.491,3.81953
4627,559.312,3.84889
4650,560.194,3.83142
4676,559.312,3.86509
4701,561.074,3.87292
4727,563.702,3.835
4750,573.202,3.81033
4775,584.999,3.75645
4801,569.772,3.83809
4826,581.66,3.78441
4852,568.91,3.84042
4877,578.297,3.76828
4902,577.452,3.81069
4925,578.297,3.82766
4951,579.982,3.80502
4976,572.347,3.8373
5001,581.66,3.80204
5026,579.982,3.82436
5052,572.347,3.82423
5075,574.907,3.8465
5100,568.91,3.86864
5126,586.659,3.82733
5151,577.452,3.83511
5177,580.822,3.79442
5202,568.91,3.80432
5227,568.91,3.82323
5250,568.047,3.82725
5275,585.829,3.82126
5301,574.056,3.78216
5326,559.312,3.82738
5351,567.181,3.81431
5376,574.056,3.76685
5402,568.047,3.81432
5427,559.312,3.83216
5450,570.632,3.80005
5477,568.047,3.83956
5500,584.167,3.8028
5525,574.056,3.83573
5551,571.491,3.85265
5576,578.297,3.81182
5602,568.047,3.82042
5627,571.491,3.84638
5650,561.074,3.82413
5675,568.047,3.80311
5701,568.047,3.8012
5726,553.086,3.84701
5751,564.575,3.82973
5777,546.762,3.87036
5802,552.188,3.89022
5827,546.762,3.8576
5850,559.312,3.8867
5876,553.086,3.85185
5901,554.874,3.87418
5926,558.428,3.87159
5952,548.579,3.8409
5977,554.874,3.82648
6000,543.102,3.87931
6025,540.335,3.85848
6051,567.181,3.84409
6077,564.575,3.80227
6102,561.074,3.8133
6125,568.047,3.78723
6151,558.428,3.81062
6176,558.428,3.79627
6201,556.655,3.81605
6227,573.202,3.81449
6250,557.543,3.84643
6276,574.056,3.84963
6301,559.312,3.82438
6327,561.074,3.86009
6352,569.772,3.82148
6377,567.181,3.83962
6402,561.952,3.83181
6427,561.074,3.82598
6452,573.202,3.81888
6477,570.632,3.84101
6502,561.952,3.87537
6526,568.91,3.86772
6552,553.981,3.85232
6576,552.188,3.8281
6602,553.981,3.84983
6625,553.086,3.89256
6652,540.335,3.89376
6676,540.335,3.90349
6702,567.181,3.80565
6726,546.762,3.83458
6752,574.056,3.82174
6777,577.452,3.80961
6801,560.194,3.87063
6827,575.757,3.83505
6852,548.579,3.90139
6877,551.289,3.89117
6900,556.655,3.89878
6926,543.102,3.88337
6951,561.952,3.83398
6977,556.655,3.84357
7000,565.445,3.84016
7027,558.428,3.80755
7052,552.188,3.83876
7077,553.086,3.81368
7102,554.874,3.8553
7127,556.655,3.83438
7151,563.702,3.82133
7177,564.575,3.82468
7201,545.85,3.87705
7226,568.91,3.85057
7252,558.428,3.80717
7276,568.047,3.81337
7302,564.575,3.84662
7325,544.936,3.88813
7351,535.679,3.97956
7377,553.086,3.86271
7400,564.575,3.8746
7426,568.047,3.81655
7451,573.202,3.84964
7477,566.314,3.84329
7500,566.314,3.86439
7526,569.772,3.83321
7552,562.828,3.8393
7576,565.445,3.79336
7602,571.491,3.81874
7626,576.605,3.79788
7652,569.772,3.82909
7676,570.632,3.86994
7702,575.757,3.84602
7726,536.615,3.98729
7750,598.111,3.71874
7777,599.725,3.75362
7801,584.999,3.77727
7825,579.14,3.79863
7852,591.602,3.79223
7876,574.056,3.85737
7901,561.074,3.92619
7927,574.056,3.84457
7951,566.314,3.87158
7976,567.181,3.82244
8000,557.543,3.87718
8027,567.181,3.86575
8051,571.491,3.86208
8077,566.314,3.85341
8102,575.757,3.78096
8126,588.312,3.78607
8152,579.14,3.8296
8176,581.66,3.82841
8202,513.484,4.09062
8225,583.333,3.76411
8251,579.14,3.75773
8276,579.982,3.74274
8302,579.14,3.76364
8326,572.347,3.78808
8351,573.202,3.83466
8376,564.575,3.87471
8402,627.885,3.77923
8425,679.44,3.56742
8451,653.15,3.59789
8477,639.175,3.6424
8500,633.183,3.67974
8527,604.532,3.71657
8552,595.681,3.72132
8576,592.421,3.73848
8602,583.333,3.76455
8626,582.497,3.78067
8651,595.681,3.74527
8676,585.829,3.77018
8702,602.935,3.74785
8726,599.725,3.7462
8750,602.134,3.76659
8777,593.238,3.73947
8802,605.328,3.70637
8827,602.134,3.73397
8851,608.501,3.7298
8876,586.659,3.74758
8902,608.501,3.70165
8926,615.566,3.69723
8951,593.238,3.73829
8976,594.054,3.69879
9000,604.532,3.70299
9027,614.786,3.70848
9052,624.067,3.66373
9076,614.786,3.69151
9101,598.919,3.71466
9126,606.123,3.72565
9151,597.303,3.71952
9176,599.725,3.76009
9201,596.493,3.74038
9225,602.134,3.70639
9251,608.501,3.732
9275,598.111,3.72339
9302,633.936,3.66586
9326,614.786,3.6869
9351,603.734,3.72789
9376,606.917,3.70902
9402,600.529,3.71822
9425,597.303,3.72581
9450,594.054,3.72378
9476,613.222,3.72259
9502,603.734,3.70318
9526,602.935,3.72753
9551,614.786,3.697
9576,597.303,3.76083
9600,604.532,3.73704
9626,590.782,3.7319
9650,599.725,3.71475
9675,575.757,3.75863
9700,576.605,3.76308
9727,586.659,3.75998
9750,589.96,3.74772
9777,586.659,3.77798
9802,571.491,3.78633
9825,575.757,3.7735
9851,600.529,3.74298
9877,598.111,3.7685
9902,505.435,4.46452
9927,602.935,3.72814
9952,603.734,3.74078
9977,598.111,3.7273
10000,596.493,3.73713
10026,567.181,3.8192
10051,607.71,3.72418
10076,599.725,3.74321
10101,611.653,3.74717
10125,594.054,3.78157
10151,587.486,3.75046
10176,598.111,3.74411
10201,603.734,3.76024
10227,585.829,3.75155
10251,529.063,4.14768
10276,592.421,3.78046
10302,601.332,3.78894
10325,603.734,3.76405
10351,590.782,3.74747
10377,569.772,3.81622
10402,553.086,3.84467
10427,550.388,3.90235
10452,591.602,3.79391
10476,572.347,3.84101
10501,577.452,3.79895
10525,487.685,6.60229
10552,598.111,3.86829
10576,611.653,3.77592
10601,614.005,3.78585
10627,610.867,3.80356
10652,606.917,3.76624
10676,598.111,3.78118
10700,601.332,3.80155
10727,601.332,3.83046
10751,595.681,3.82492
10777,591.602,3.83005
10800,598.919,3.82549
10825,598.919,3.82453
10851,602.935,3.82281
10876,603.734,3.81401
10901,590.782,3.85652
10925,600.529,3.83504
10952,602.134,3.7988
10976,591.602,3.79558
11001,598.111,3.78913
11026,599.725,3.78641
11052,601.332,3.74315
11075,593.238,3.76546
11101,602.935,3.78863
11126,595.681,3.79822
11152,575.757,3.92379
