step,pElo,nll,segment
82,1679,1.956,0
352,1698,1.842,0
603,1741,1.823,0
877,1726,1.821,0
1127,1737,1.822,0
1402,1738,1.828,0
1653,1734,1.828,0
1927,1735,1.828,0
2178,1736,1.825,0
2453,1742,1.826,0
2703,1738,1.827,0
2977,1735,1.829,0
3228,1738,1.830,0
3478,1742,1.810,0
3753,1738,1.835,0
4027,1741,1.877,0
4302,1751,1.840,0
4577,1747,1.808,0
4828,1751,1.859,0
5078,1751,1.844,0
5351,1758,1.844,0
5603,1760,1.839,0
5877,1755,1.859,0
6151,1756,1.863,0
6403,1761,1.856,0
6678,1761,1.857,0
6928,1760,1.856,0
7202,1761,1.850,0
7453,1745,1.874,0
7727,1746,1.865,0
7978,1744,1.879,0
8252,1753,1.856,0
8527,1750,1.901,0
8778,1749,1.887,0
9028,1750,1.879,0
9302,1750,1.880,0
9554,1752,1.864,0
9828,1754,1.869,0
10103,1755,1.864,0
10377,1751,1.875,0
10651,1754,1.862,0
10901,1752,1.874,0
11152,1753,1.868,0
11403,1752,1.887,0
11653,1760,1.928,0
11928,1753,1.888,0
12178,1761,1.868,0
12428,1753,1.877,0
12703,1757,1.881,0
12953,1755,1.874,0
13203,1759,1.872,0
13453,1759,1.869,0
13703,1755,1.877,0
13978,1755,1.875,0
14253,1757,1.877,0
14528,1755,1.877,0
14778,1759,1.876,0
15053,1749,1.892,0
15328,1753,1.882,0
15602,1758,1.906,0
15852,1755,1.890,0
16102,1753,1.875,0
16353,1759,1.888,0
16626,1744,1.877,0
16878,1754,1.849,0
17128,1753,1.858,0
17403,1754,1.855,0
17653,1750,1.859,0
17928,1755,1.854,0
18178,1748,1.855,0
18452,1753,1.848,0
18702,1756,1.852,0
18953,1753,1.857,0
19204,1754,1.860,0
19477,1747,1.871,0
19728,1747,1.882,0
19978,1748,1.868,0
20254,1748,1.889,0
20527,1744,1.915,0
20778,1753,1.894,0
21029,1757,1.880,0
21301,1757,1.879,0
21552,1757,1.878,0
21803,1755,1.875,0
22053,1759,1.873,0
22327,1760,1.877,0
22578,1757,1.876,0
22853,1757,1.872,0
23129,1753,1.876,0
23401,1758,1.874,0
23652,1754,1.876,0
23927,1754,1.893,0
24202,1746,1.918,0
24453,1749,1.916,0
24703,1759,1.855,0
24978,1753,1.836,0
25253,1751,1.852,0
25528,1749,1.852,0
25803,1749,1.848,0
26077,1751,1.809,0
26328,1750,1.803,0
26602,1754,1.813,0
26853,1751,1.823,0
27103,1748,1.818,0
27377,1749,1.788,0
27652,1751,1.909,0
27903,1747,1.861,0
28153,1748,1.909,0
28428,1743,1.924,0
28701,1748,1.928,0
28952,1750,1.922,0
29227,1744,1.931,0
29477,1747,1.930,0
29727,1743,1.933,0
29979,1748,1.931,0
30251,1750,1.927,0
30501,1745,1.935,0
30752,1751,1.930,0
31003,1746,1.932,0
31278,1749,1.930,0
31553,1749,1.940,0
31827,1739,1.935,0
32078,1756,1.947,0
32353,1741,1.929,0
32627,1753,1.908,0
32878,1752,1.886,0
33153,1752,1.878,0
33403,1755,1.827,0
33677,1749,1.824,0
33953,1754,1.827,0
34228,1754,1.840,0
34503,1754,1.859,0
34753,1757,1.861,0
35004,1749,1.880,0
35278,1752,1.866,0
35553,1759,1.888,0
35827,1750,1.868,0
36079,1741,1.839,0
36351,1742,1.855,0
36602,1733,1.859,0
36878,1729,1.857,0
37153,1729,1.851,0
37404,1733,1.859,0
37676,1732,1.853,0
37926,1733,1.861,0
38178,1733,1.852,0
38452,1731,1.872,0
38726,1730,1.837,0
38977,1734,1.869,0
39227,1732,1.873,0
39502,1730,1.878,0
39753,1734,1.895,0
40004,1728,1.857,0
40279,1735,1.854,0
40553,1733,1.840,0
40828,1741,1.867,0
41103,1741,1.886,0
41378,1740,1.855,0
41628,1740,1.864,0
41902,1741,1.838,0
42153,1742,1.861,0
42427,1742,1.868,0
42677,1738,1.843,0
42952,1737,1.858,0
43203,1742,1.878,0
43453,1740,1.889,0
43727,1727,1.902,0
44002,1740,1.861,0
44252,1735,1.852,0
44502,1742,1.829,0
44753,1739,1.829,0
45003,1734,1.844,0
45278,1733,1.835,0
45528,1734,1.846,0
45803,1732,1.842,0
46077,1735,1.841,0
46327,1730,1.839,0
46578,1731,1.838,0
46852,1732,1.835,0
47102,1733,1.853,0
47353,1742,1.884,0
47627,1745,1.868,0
47878,1750,1.956,0
48152,1748,1.898,0
48402,1735,1.843,0
48652,1743,1.821,0
48903,1744,1.823,0
49154,1745,1.827,0
49428,1755,1.842,0
49702,1749,1.846,0
49952,1748,1.831,0
50202,1750,1.837,0
50477,1754,1.846,0
50752,1746,1.851,0
51002,1749,1.829,0
51253,1749,1.852,0
51528,1755,1.901,0
51803,1739,1.899,0
52078,1743,1.911,0
52352,1750,1.841,0
52603,1745,1.909,0
52853,1748,1.939,0
53103,1748,1.939,0
53353,1750,1.936,0
53627,1751,1.936,0
53902,1751,1.936,0
54153,1757,1.935,0
54427,1751,1.935,0
54677,1749,1.937,0
54927,1752,1.931,0
55177,1746,1.932,0
55451,1747,1.923,0
55701,1751,1.911,0
55951,1745,1.914,0
56202,1732,1.849,0
56452,1744,1.866,0
56702,1740,1.928,0
56953,1742,1.927,0
57227,1745,1.919,0
57478,1742,1.924,0
57752,1740,1.919,0
58027,1740,1.920,0
58278,1742,1.916,0
58528,1745,1.913,0
58801,1743,1.916,0
59079,1746,1.916,0
59352,1745,1.908,0
59602,1742,1.915,0
59853,1753,1.950,0
60103,1743,1.910,0
60378,1747,1.926,0
60652,1742,1.945,0
60903,1747,1.950,0
61177,1742,1.949,0
61427,1743,1.948,0
61678,1741,1.950,0
61929,1743,1.947,0
62203,1743,1.945,0
62477,1747,1.944,0
62728,1742,1.948,0
63001,1742,1.951,0
63251,1739,1.947,0
63502,1755,1.948,0
63777,1738,1.922,0
64052,1743,1.927,0
64303,1747,1.931,0
64578,1731,1.951,0
64853,1736,1.935,0
65103,1738,1.931,0
65378,1729,1.933,0
65628,1736,1.929,0
65902,1734,1.922,0
66152,1730,1.926,0
66427,1736,1.928,0
66678,1737,1.935,0
66928,1735,1.929,0
67201,1735,1.931,0
67452,1749,1.931,0
67703,1746,1.926,0
67978,1741,1.930,0
68252,1751,1.905,0
68503,1756,1.905,0
68778,1752,1.903,0
69053,1755,1.918,0
69303,1752,1.902,0
69553,1754,1.927,0
69828,1752,1.919,0
70103,1746,1.937,0
70378,1748,1.930,0
70628,1749,1.903,0
70902,1754,1.916,0
71152,1752,1.911,0
71403,1753,1.929,0
71676,1743,1.934,0
71926,1740,1.927,0
72178,1744,1.920,0
72453,1747,1.931,0
72726,1747,1.931,0
72976,1747,1.917,0
73229,1747,1.916,0
73501,1748,1.912,0
73751,1752,1.911,0
74001,1745,1.915,0
74251,1747,1.919,0
74501,1746,1.915,0
74751,1744,1.924,0
75002,1741,1.904,0
75254,1747,1.899,0
75528,1743,1.918,0
75778,1743,1.911,0
76052,1749,1.920,0
76303,1752,1.901,0
76578,1747,1.918,0
76828,1746,1.941,0
77103,1749,1.936,0
77377,1748,1.937,0
77628,1752,1.929,0
77901,1745,1.934,0
78151,1746,1.935,0
78402,1749,1.942,0
78652,1752,1.930,0
78902,1748,1.932,0
79153,1750,1.931,0
79404,1749,1.935,0
79678,1738,1.947,0
79928,1749,1.928,0
80203,1750,1.930,0
80476,1748,1.918,0
80728,1745,1.929,0
80979,1747,1.921,0
81252,1747,1.920,0
81527,1747,1.926,0
81777,1745,1.929,0
82052,1748,1.926,0
82066,1743,1.925,1
82326,1744,1.924,1
82576,1748,1.926,1
82826,1745,1.926,1
83077,1744,1.929,1
83352,1750,1.916,1
83626,1754,1.903,1
83877,1745,1.946,1
84151,1744,1.951,1
84401,1755,1.915,1
84651,1757,1.946,1
84901,1752,1.954,1
85176,1752,1.946,1
85427,1749,1.948,1
85700,1750,1.951,1
85952,1749,1.946,1
86202,1753,1.948,1
86478,1750,1.944,1
86751,1746,1.944,1
87003,1747,1.945,1
87254,1749,1.946,1
87529,1744,1.931,1
87803,1746,1.924,1
88077,1742,1.917,1
88353,1736,1.940,1
88603,1738,1.931,1
88878,1743,1.926,1
89128,1743,1.919,1
89403,1744,1.917,1
89678,1743,1.918,1
89928,1742,1.919,1
90178,1744,1.919,1
90428,1740,1.919,1
90703,1741,1.921,1
90978,1744,1.921,1
91252,1747,1.917,1
91527,1745,1.929,1
91778,1740,1.954,1
92053,1748,1.919,1
92326,1742,1.930,1
92576,1750,1.943,1
92827,1743,1.940,1
93102,1747,1.941,1
93353,1746,1.942,1
93627,1745,1.942,1
93902,1747,1.943,1
94153,1745,1.943,1
94426,1746,1.934,1
94678,1749,1.934,1
94928,1751,1.935,1
95202,1749,1.931,1
95453,1748,1.943,1
95703,1745,1.938,1
95953,1754,1.919,1
96228,1745,1.922,1
96500,1746,1.910,1
96750,1738,1.889,1
97002,1745,1.856,1
97253,1743,1.864,1
97527,1742,1.874,1
97777,1744,1.821,1
98027,1741,1.862,1
98278,1748,1.853,1
98551,1744,1.833,1
98802,1744,1.867,1
99053,1742,1.868,1
99327,1743,1.872,1
99578,1761,1.886,1
99828,1753,1.907,1
100102,1746,1.906,1
100352,1754,1.883,1
100628,1753,1.928,1
100878,1755,1.922,1
101150,1755,1.919,1
101402,1752,1.923,1
101678,1748,1.930,1
101928,1748,1.924,1
102178,1747,1.931,1
102453,1748,1.927,1
102726,1745,1.926,1
102978,1749,1.926,1
103251,1752,1.932,1
103502,1740,1.931,1
103752,1742,1.945,1
104002,1753,1.936,1
104252,1741,1.929,1
104527,1745,1.952,1
104778,1739,1.963,1
105028,1741,1.960,1
105304,1736,1.959,1
105577,1738,1.958,1
105828,1743,1.955,1
106101,1743,1.953,1
106352,1735,1.949,1
106603,1740,1.954,1
106877,1738,1.959,1
107151,1735,1.951,1
107404,1741,1.954,1
107676,1742,1.939,1
107926,1744,1.942,1
108176,1739,1.944,1
108427,1729,1.971,1
108702,1741,1.966,1
108952,1742,1.960,1
109203,1738,1.963,1
109475,1736,1.960,1
109726,1732,1.963,1
109978,1735,1.961,1
110228,1737,1.945,1
110504,1738,1.964,1
110775,1736,1.963,1
111027,1744,1.959,1
111301,1738,1.960,1
111551,1732,1.958,1
111801,1731,1.948,1
112076,1735,1.931,1
112326,1736,1.936,1
112578,1752,1.814,1
112852,1745,1.866,1
113125,1738,1.838,1
113375,1735,1.840,1
113625,1740,1.850,1
113875,1742,1.846,1
114126,1745,1.848,1
114401,1742,1.841,1
114652,1740,1.830,1
114927,1741,1.904,1
115202,1748,1.887,1
115475,1749,1.859,1
115726,1750,1.886,1
115976,1743,1.874,1
116228,1742,1.890,1
137553,1742,1.945,1
137803,1744,1.950,1
138978,1742,1.945,1
139251,1742,1.936,1
139501,1746,1.947,1
139753,1748,1.959,1
140026,1752,1.947,1
140276,1740,1.947,1
140526,1740,1.888,1
140776,1742,1.871,1
141026,1749,1.851,1
141301,1748,1.853,1
141552,1746,1.838,1
141802,1746,1.828,1
142053,1747,1.808,1
142303,1750,1.814,1
142578,1748,1.822,1
142828,1753,1.821,1
143103,1754,1.830,1
143353,1748,1.859,1
143628,1723,1.899,1
143878,1747,1.937,1
144153,1747,1.928,1
144403,1751,1.889,1
144678,1749,1.928,1
144951,1748,1.928,1
145201,1748,1.928,1
145453,1748,1.926,1
145727,1749,1.933,1
145977,1749,1.925,1
146227,1746,1.927,1
165701,1742,1.849,1
165951,1741,1.848,1
166203,1745,1.850,1
166453,1741,1.856,1
166727,1732,1.858,1
167001,1738,1.861,1
167253,1739,1.857,1
167527,1733,1.886,1
167801,1743,1.858,1
168054,1743,1.853,1
168327,1740,1.891,1
168600,1747,1.869,1
168850,1747,1.860,1
169101,1744,1.871,1
169353,1744,1.876,1
169626,1748,1.871,1
169877,1745,1.875,1
170150,1746,1.862,1
170401,1743,1.873,1
170651,1749,1.878,1
170901,1744,1.874,1
171152,1742,1.883,1
171402,1743,1.874,1
171677,1733,1.953,1
171928,1746,1.874,1
172201,1732,1.891,1
172452,1736,1.894,1
172703,1741,1.852,1
172976,1741,1.848,1
173226,1739,1.855,1
173476,1743,1.850,1
173727,1741,1.856,1
174003,1740,1.853,1
174253,1740,1.849,1
174528,1743,1.850,1
174802,1741,1.867,1
175078,1743,1.879,1
175352,1747,1.848,1
175627,1745,1.876,1
175901,1752,1.855,1
176152,1755,1.857,1
176425,1744,1.886,1
176675,1748,1.908,1
176928,1746,1.917,1
177178,1752,1.918,1
177450,1753,1.890,1
177700,1753,1.891,1
177950,1753,1.886,1
178202,1758,1.888,1
178475,1751,1.889,1
178726,1754,1.880,1
178976,1752,1.888,1
179227,1749,1.889,1
179501,1751,1.895,1
179751,1732,1.921,1
180001,1745,1.914,1
180251,1749,1.913,1
180502,1741,1.929,1
180776,1750,1.918,1
181027,1745,1.923,1
181300,1750,1.917,1
181550,1746,1.918,1
181802,1748,1.919,1
182052,1753,1.922,1
182326,1746,1.916,1
182600,1750,1.913,1
182850,1743,1.916,1
183103,1748,1.911,1
183353,1746,1.924,1
183625,1718,1.934,1
183878,1750,1.916,1
184153,1739,1.912,1
184404,1745,1.881,1
184676,1738,1.852,1
184926,1743,1.862,1
185201,1743,1.867,1
185453,1746,1.879,1
185726,1725,1.953,1
185977,1728,1.960,1
186227,1731,1.952,1
186501,1734,1.947,1
186751,1728,1.954,1
187001,1724,1.958,1
