step,pElo,nll,segment
58,1716,1.975,0
327,1659,2.100,0
577,1585,2.190,0
827,1539,2.174,0
1078,1641,2.212,0
1352,1684,2.067,0
1627,1592,2.170,0
1878,1712,2.016,0
2128,1698,2.023,0
2402,1647,2.127,0
2653,1672,2.046,0
2927,1692,2.149,0
3178,1622,2.156,0
3428,1645,2.160,0
3702,1581,2.190,0
3953,1659,2.156,0
4227,1720,2.017,0
4478,1685,2.133,0
4753,1601,2.175,0
5027,1694,2.083,0
5278,1712,2.000,0
5552,1714,2.012,0
5803,1660,2.143,0
6077,1681,2.092,0
6328,1696,2.079,0
6602,1693,2.066,0
6853,1723,2.025,0
7127,1665,2.169,0
7402,1712,2.028,0
7653,1691,2.094,0
7927,1669,2.095,0
8179,1697,2.048,0
8451,1684,2.157,0
8702,1676,2.051,0
8953,1661,2.131,0
9203,1699,2.193,0
9477,1612,2.221,0
9728,1675,2.136,0
10002,1609,2.174,0
10253,1654,2.178,0
10503,1619,2.087,0
10777,1681,2.142,0
11028,1627,2.200,0
11302,1638,2.195,0
11553,1674,2.084,0
11827,1623,2.203,0
12078,1687,2.048,0
12352,1694,2.086,0
12603,1669,2.075,0
12878,1664,2.086,0
13128,1700,2.022,0
13378,1681,2.120,0
13652,1698,2.105,0
13903,1685,2.104,0
14153,1671,2.084,0
14403,1701,2.065,0
14653,1654,2.211,0
14928,1649,2.158,0
15202,1717,2.058,0
15453,1614,2.116,0
15727,1683,2.052,0
16002,1622,2.127,0
16252,1668,2.129,0
16502,1550,2.208,0
16753,1649,2.095,0
17003,1716,2.055,0
17253,1632,2.078,0
17503,1655,2.168,0
17778,1635,2.159,0
18052,1620,2.093,0
18327,1691,2.084,0
18578,1690,2.052,0
18828,1710,2.020,0
19102,1641,2.166,0
19352,1675,2.098,0
19603,1616,2.114,0
19878,1682,2.062,0
20152,1725,2.028,0
20402,1652,2.133,0
20653,1716,2.060,0
20926,1615,2.197,0
82,1722,2.040,1
352,1653,2.170,1
602,1613,2.151,1
852,1696,2.014,1
1127,1656,2.200,1
1378,1659,2.209,1
1653,1629,2.148,1
1928,1693,2.065,1
2203,1693,2.041,1
2477,1697,2.055,1
82,1769,1.801,2
352,1657,2.025,2
603,1724,1.917,2
878,1722,2.040,2
1152,1597,2.093,2
1402,1679,2.000,2
1653,1698,2.011,2
1903,1686,1.938,2
2178,1696,1.942,2
2452,1731,1.864,2
2703,1709,2.053,2
2977,1698,2.004,2
3228,1650,2.085,2
3502,1674,1.944,2
3753,1717,1.910,2
4027,1738,1.957,2
4277,1656,1.946,2
4528,1719,1.992,2
4778,1635,2.046,2
5052,1672,1.988,2
5302,1738,1.832,2
5552,1656,2.035,2
5803,1689,2.000,2
6053,1714,1.996,2
6327,1692,1.913,2
6578,1674,1.958,2
6853,1628,2.038,2
7127,1715,1.853,2
7378,1585,2.163,2
7628,1723,1.925,2
7902,1719,1.997,2
8152,1637,2.041,2
8402,1630,2.000,2
8652,1660,2.005,2
8902,1660,2.032,2
9152,1716,1.881,2
9427,1666,2.104,2
9677,1655,1.990,2
9952,1684,2.031,2
10203,1689,1.992,2
10478,1646,2.025,2
10752,1669,2.065,2
11027,1730,1.997,2
11278,1711,1.935,2
11552,1628,2.010,2
11804,1703,1.960,2
12078,1686,1.923,2
12352,1689,1.974,2
12603,1654,1.988,2
12877,1740,1.983,2
13152,1675,1.992,2
13426,1716,1.935,2
13678,1694,1.976,2
13928,1686,1.941,2
14202,1638,2.037,2
14452,1734,1.945,2
14702,1637,2.017,2
14952,1689,1.914,2
15227,1624,2.106,2
15477,1686,2.038,2
15727,1711,1.960,2
16002,1682,1.911,2
16277,1716,1.980,2
16552,1673,1.976,2
16826,1617,2.070,2
17076,1735,1.907,2
17328,1672,2.048,2
17578,1676,1.965,2
17828,1676,1.957,2
18078,1678,1.980,2
18328,1661,1.932,2
18603,1659,2.001,2
18877,1662,2.008,2
19127,1661,1.957,2
19377,1666,1.967,2
19628,1682,1.954,2
19902,1687,1.939,2
20176,1691,1.887,2
20426,1747,1.960,2
20677,1698,1.930,2
20928,1709,1.972,2
21202,1661,2.090,2
21453,1717,1.949,2
21703,1676,2.020,2
21977,1684,1.950,2
22253,1717,1.865,2
22503,1654,2.033,2
22777,1668,2.070,2
23028,1705,2.001,2
23278,1679,1.981,2
23528,1636,2.157,2
23778,1722,1.963,2
24051,1676,1.964,2
24302,1653,2.084,2
24553,1638,2.049,2
24827,1668,2.033,2
25102,1683,2.020,2
25352,1645,2.122,2
25602,1637,2.033,2
25876,1689,1.960,2
26128,1676,1.985,2
26401,1635,2.021,2
26651,1704,1.964,2
26902,1653,1.979,2
27176,1695,2.012,2
27426,1679,2.056,2
27676,1738,1.856,2
27926,1679,1.977,2
28177,1686,1.950,2
28427,1686,1.898,2
28702,1665,1.965,2
28953,1605,2.112,2
29228,1669,1.992,2
29478,1573,2.196,2
29753,1709,1.988,2
30027,1724,1.944,2
30277,1708,1.955,2
30528,1675,2.065,2
30803,1661,1.944,2
31077,1657,2.040,2
31352,1686,2.000,2
31602,1628,2.018,2
31853,1697,1.905,2
32127,1711,1.919,2
32378,1692,2.035,2
32652,1644,2.068,2
32903,1736,1.950,2
33153,1662,2.025,2
33403,1671,2.046,2
33677,1729,1.962,2
33928,1699,2.003,2
34202,1705,1.902,2
34477,1634,2.117,2
34752,1699,1.959,2
35003,1636,2.001,2
35277,1628,2.108,2
35528,1653,2.066,2
35802,1743,1.917,2
36077,1676,1.955,2
36327,1695,1.941,2
36578,1668,2.049,2
36852,1687,2.039,2
37103,1696,1.981,2
37378,1710,1.895,2
37652,1696,2.012,2
37903,1670,2.041,2
38153,1627,2.065,2
38427,1686,1.951,2
38678,1616,2.072,2
38951,1696,1.919,2
39201,1630,2.129,2
39454,1679,2.032,2
39728,1701,2.032,2
40002,1710,1.986,2
40253,1674,2.047,2
40527,1657,2.043,2
40804,1703,1.928,2
41076,1708,1.963,2
41327,1677,1.984,2
41602,1674,1.989,2
41852,1654,2.028,2
42103,1713,1.942,2
42377,1654,1.975,2
42627,1702,1.906,2
42878,1653,2.062,2
43152,1712,1.924,2
43427,1733,1.900,2
43678,1687,1.948,2
43953,1653,1.968,2
44227,1636,2.075,2
44477,1602,2.074,2
44728,1702,1.972,2
45002,1679,1.966,2
45277,1687,2.014,2
45527,1677,1.981,2
45778,1653,1.989,2
46053,1723,1.885,2
46303,1706,2.009,2
46577,1679,2.001,2
46827,1706,1.995,2
47077,1641,2.081,2
47327,1703,1.953,2
47579,1627,2.065,2
47853,1704,1.918,2
48127,1680,1.983,2
48378,1678,1.990,2
48652,1583,2.164,2
48903,1643,1.949,2
49176,1646,2.121,2
49426,1640,2.024,2
49676,1644,1.994,2
49927,1687,1.995,2
50177,1738,1.887,2
50427,1668,1.941,2
50703,1710,2.001,2
50978,1636,2.089,2
51251,1649,2.023,2
51503,1664,2.029,2
51777,1643,2.097,2
52052,1700,1.936,2
52302,1629,2.048,2
52553,1661,2.078,2
52828,1656,2.071,2
