step,pElo,nll
52,504.416,3.73052
80,497.197,3.99383
101,493.002,4.47172
125,486.611,5.13326
151,478.997,5.39445
175,501.34,5.50555
201,515.468,5.63275
227,540.335,5.64508
250,521.356,5.67235
276,533.8,5.53049
302,535.679,5.45518
326,530.965,5.28494
352,527.151,5.16109
375,544.02,4.99076
402,547.671,4.87729
425,554.874,4.72809
451,554.874,4.68686
477,554.874,4.6598
500,524.265,4.63345
526,517.441,4.56067
552,550.388,4.43921
577,521.356,4.50498
601,512.488,4.4017
627,519.404,4.33961
650,519.404,4.39438
676,512.488,4.35816
702,546.762,4.27282
726,504.416,4.25544
751,497.197,4.22097
776,506.451,4.20519
801,515.468,4.20847
826,533.8,4.12422
851,514.477,4.15131
877,518.424,4.13805
902,512.488,4.09945
928,502.368,4.13511
951,485.534,4.12545
976,485.534,4.15772
1003,506.451,4.08604
1026,476.788,4.11905
1052,518.424,4.07628
1076,517.441,4.05408
1102,503.394,4.01739
1125,504.416,4.06323
1152,519.404,4.03091
1177,490.885,4.0361
1201,501.34,4.01641
1228,501.34,4.00303
1252,516.456,3.98867
1277,505.435,4.0146
1301,510.487,3.97122
1325,545.85,3.94037
1352,484.454,4.01445
1377,514.477,3.95439
1401,524.265,3.96927
1427,466.659,3.95308
1452,476.788,3.97587
1476,484.454,3.94062
1502,484.454,3.97818
1526,510.487,3.94549
1552,482.282,3.97148
1576,495.106,3.93903
1602,496.153,3.91445
1626,502.368,3.88185
1650,485.534,3.94238
1665,489.822,3.91151
1677,465.513,3.95761
1693,483.369,3.98292
1703,501.34,3.94044
1728,491.945,4.04348
1753,488.755,4.0685
1778,500.309,4.0271
1803,514.477,3.99194
1828,488.755,4.03181
1853,497.197,4.04237
1878,485.534,4.05649
1903,494.056,4.04157
1928,491.945,3.97847
1953,489.822,4.05873
1978,480.095,4.01165
2003,483.369,4.10562
2029,475.678,4.08557
2053,487.685,4.05387
2079,493.002,4.00833
2104,464.363,4.01842
2128,462.051,4.06853
2220,470.071,4.06298
2248,481.19,4.05944
2251,481.19,4.03068
2277,491.945,4.03387
2302,517.441,3.96367
2327,504.416,4.06343
2352,481.19,4.08352
2375,493.002,4.05124
2401,490.885,4.01831
2425,467.8,4.04908
2451,483.369,4.02663
2477,488.755,4.00334
2501,493.002,3.92881
2525,497.197,3.93712
2550,487.685,3.99128
2575,494.056,3.95241
2601,515.468,3.95074
2625,478.997,3.98994
2650,488.755,3.92947
2675,496.153,4.0386
2703,493.002,3.95917
2728,476.788,3.9856
2753,452.626,4.00569
2777,504.416,3.94031
2802,496.153,3.99928
2827,510.487,3.95648
2851,500.309,3.98568
2876,480.095,3.99235
2900,477.894,3.99087
2927,489.822,3.9362
2951,488.755,3.97948
2975,478.997,3.98232
3003,471.2,3.96665
3027,466.659,3.98179
3051,486.611,3.95371
3076,478.997,4.02454
3100,465.513,4.04983
3127,480.095,4.01035
3151,447.802,3.99016
3177,475.678,3.97161
3201,476.788,3.94112
3226,465.513,4.0113
3250,494.056,3.94493
3275,473.447,3.98351
