step,pElo,nll
494956,602.134,5.38108
494981,601.332,5.24176
495000,596.493,5.17077
495026,589.137,5.12632
495050,588.312,5.05569
495076,588.312,5.00975
495101,584.999,4.98161
495125,583.333,4.95659
495150,588.312,4.92251
495175,581.66,4.90874
495200,584.167,4.88371
495225,587.486,4.86365
495250,584.999,4.84268
495276,589.137,4.81816
495301,589.96,4.81321
495325,586.659,4.80524
495349,587.486,4.78528
495351,586.659,4.78582
495375,587.486,4.74015
495400,586.659,4.71598
495425,582.497,4.68695
495450,589.137,4.66529
495476,590.782,4.64494
495501,589.137,4.63085
495526,590.782,4.61441
495550,587.486,4.61325
495576,589.96,4.6015
495601,591.602,4.58815
495625,595.681,4.58099
495650,589.96,4.57643
495675,594.054,4.56994
495700,596.493,4.55818
495726,594.054,4.55065
495751,595.681,4.54372
495775,590.782,4.54195
495800,594.054,4.53755
495825,592.421,4.52145
495851,593.238,4.53117
495876,594.054,4.51985
495901,593.238,4.52156
495925,589.137,4.52186
495951,588.312,4.50897
495976,592.421,4.50786
496001,595.681,4.50426
496026,592.421,4.50192
496051,589.137,4.50461
496076,586.659,4.50848
496100,594.868,4.494
496125,594.868,4.49874
496150,598.111,4.48531
496175,597.303,4.48117
496201,592.421,4.4887
496225,589.96,4.48982
496251,590.782,4.48097
496276,590.782,4.48246
496300,590.782,4.472
496325,589.137,4.47979
496351,590.782,4.47864
496376,594.054,4.46639
496400,584.999,4.48091
496425,594.054,4.46204
496450,590.782,4.4653
496475,592.421,4.46592
496500,588.312,4.46322
496525,592.421,4.46091
496550,589.137,4.46664
496576,587.486,4.45332
496600,587.486,4.45377
496625,588.312,4.4522
496651,586.659,4.45503
496676,589.137,4.45318
496701,584.999,4.45489
496726,590.782,4.44026
496750,591.602,4.4571
496775,589.137,4.44795
496801,588.312,4.44741
496826,589.96,4.44212
496850,586.659,4.43887
496875,584.999,4.44657
496900,585.829,4.43758
496926,587.486,4.44045
496950,588.312,4.43419
496975,584.999,4.4504
497000,584.167,4.44819
497025,586.659,4.43725
497050,588.312,4.4253
497076,588.312,4.43062
497101,585.829,4.43019
497126,585.829,4.42809
497150,586.659,4.42597
497175,586.659,4.42402
497200,584.167,4.4301
497225,583.333,4.42982
497251,585.829,4.42183
497276,587.486,4.42856
497301,587.486,4.42056
497325,586.659,4.413
497350,589.96,4.42322
497376,588.312,4.4238
497401,589.96,4.42153
497426,586.659,4.42684
497451,589.96,4.41209
497475,588.312,4.4253
497501,591.602,4.41543
497525,587.486,4.41944
497550,588.312,4.42268
497575,591.602,4.40422
497600,588.312,4.40795
497626,587.486,4.41809
497651,586.659,4.41191
497676,588.312,4.40661
497701,587.486,4.406
497725,589.96,4.4028
497751,589.96,4.4062
497776,589.137,4.3993
497801,594.054,4.39494
497826,582.497,4.4152
497850,589.96,4.40046
497875,586.659,4.40477
497900,588.312,4.40269
497926,590.782,4.39683
497950,589.137,4.39741
497976,590.782,4.40525
498000,590.782,4.40536
498025,593.238,4.40114
498050,590.782,4.39976
498076,588.312,4.40304
498100,589.96,4.39711
498125,592.421,4.39429
498150,586.659,4.40107
498175,588.312,4.39648
498201,587.486,4.39709
498225,590.782,4.39529
498250,587.486,4.39702
498275,594.868,4.38305
498301,592.421,4.38617
498325,588.312,4.38785
498351,589.96,4.38774
498375,592.421,4.3889
498401,587.486,4.3955
498425,584.999,4.39381
498451,585.829,4.39627
498475,592.421,4.38619
498501,594.054,4.38585
498526,597.303,4.38153
498550,591.602,4.38513
498575,588.312,4.38598
498601,590.782,4.37945
498626,589.137,4.3898
498651,585.829,4.38758
498676,585.829,4.38581
498701,587.486,4.37753
498726,567.181,4.70485
498750,570.632,4.78333
498775,568.047,4.84149
498801,569.772,4.88143
498826,572.347,4.90706
498850,571.491,4.93876
498876,571.491,4.96306
498901,574.907,4.964
498925,570.632,4.98934
498951,571.491,5.00302
498976,574.056,5.01827
499000,574.056,5.03813
499026,568.91,5.05889
