step,pElo,nll
9,561.952,3.39489
38,535.679,3.41279
50,538.479,3.45619
78,531.912,3.63768
101,537.548,3.85721
129,541.26,4.53803
151,545.85,4.88742
178,537.548,5.16023
205,530.965,5.24793
227,519.404,5.28029
253,494.056,5.72604
279,446.584,5.75351
300,464.363,5.69123
326,467.8,5.65599
351,470.071,5.536
377,468.938,5.43327
402,480.095,5.24426
427,494.056,5.13041
452,493.002,5.02069
476,488.755,4.97841
501,498.237,4.88713
526,485.534,4.82685
551,503.394,4.79297
576,500.309,4.77933
601,503.394,4.72314
626,496.153,4.66055
650,485.534,4.66762
675,497.197,4.6191
700,497.197,4.57634
729,505.435,4.53671
754,489.822,4.51928
778,523.298,4.46382
803,517.441,4.40695
827,508.475,4.38513
853,489.822,4.43177
878,500.309,4.36414
903,472.326,4.42967
926,494.056,4.37169
953,504.416,4.35891
976,521.356,4.32131
1004,527.151,4.30193
1027,480.095,4.373
1054,468.938,4.3065
1077,503.394,4.29524
1104,484.454,4.31394
1127,483.369,4.29112
1155,507.464,4.25257
1178,502.368,4.2178
1200,494.056,4.24961
1228,487.685,4.24581
1251,501.34,4.26196
1278,474.565,4.24502
1301,520.381,4.21096
1328,509.482,4.19816
1351,515.468,4.21154
1378,519.404,4.1907
1402,514.477,4.19505
1429,510.487,4.20782
1453,520.381,4.18439
1475,509.482,4.17596
1503,502.368,4.18584
1526,482.282,4.1964
1553,506.451,4.20674
1577,506.451,4.18901
1601,516.456,4.19634
1625,509.482,4.15913
1654,500.309,4.18531
1678,516.456,4.16196
1702,499.275,4.20356
1729,515.468,4.1561
1753,516.456,4.15346
1776,518.424,4.16335
1803,500.309,4.17834
1829,522.328,4.14569
1852,489.822,4.14707
1878,530.965,4.12126
1901,516.456,4.13545
1928,481.19,4.20678
1951,510.487,4.16169
1979,510.487,4.13704
2002,509.482,4.17871
2026,509.482,4.15322
2054,516.456,4.11708
2077,528.108,4.09461
2101,515.468,4.07987
2129,487.685,4.17133
2153,503.394,4.17792
2177,478.997,4.16596
2201,480.095,4.14827
2228,493.002,4.12708
2252,502.368,4.1264
2280,500.309,4.10748
2303,531.912,4.09938
2326,516.456,4.12936
2354,506.451,4.07409
2376,497.197,4.13211
2403,489.822,4.12927
2426,498.237,4.12341
2452,518.424,4.08212
2477,513.484,4.0793
2501,497.197,4.07056
2526,501.34,4.07714
2554,484.454,4.08867
2579,507.464,4.06979
2602,486.611,4.09038
2628,502.368,4.09012
2655,468.938,4.13046
2677,489.822,4.13611
2704,495.106,4.05939
2727,488.755,4.06889
2751,502.368,4.05468
2779,500.309,4.04525
2802,488.755,4.10527
2826,481.19,4.11318
2853,511.489,4.05093
2877,470.071,4.08826
2901,495.106,4.04278
2928,513.484,4.05981
2951,473.447,4.08342
2979,505.435,4.02565
3002,464.363,4.09173
3026,502.368,4.04267
3054,465.513,4.04445
3077,496.153,4.0436
3105,514.477,4.06413
3128,494.056,4.06313
3152,502.368,4.04375
3176,485.534,4.07686
3203,508.475,3.99268
3227,497.197,4.05142
3250,521.356,4.04065
3278,512.488,4.06019
3301,530.965,4.0307
3329,506.451,4.04012
3353,512.488,4.04899
3377,497.197,4.02319
3401,498.237,4.00082
3429,487.685,4.02587
3453,498.237,4.04407
3477,501.34,4.00889
3501,472.326,4.03841
3530,517.441,4.0089
3554,494.056,4.03958
3577,497.197,4.02187
3600,506.451,4.04126
3629,484.454,4.01624
3653,517.441,4.02036
3677,478.997,4.01749
3701,484.454,4.05793
3730,480.095,4.01269
3754,487.685,3.99607
3778,495.106,4.02757
3802,507.464,3.99467
3826,468.938,4.01209
3855,482.282,4.01798
3879,477.894,4.01634
3903,478.997,4.01085
3927,478.997,3.9899
3951,475.678,4.00513
3979,498.237,3.99729
4003,502.368,3.98022
4027,512.488,3.96878
4051,518.424,3.98262
4075,533.8,3.98126
4104,504.416,3.96645
4128,502.368,3.99705
4152,499.275,4.02552
4179,494.056,4.00124
4203,529.063,3.97269
4227,515.468,3.95779
4251,505.435,4.00281
4280,493.002,3.99662
4304,499.275,4.0152
4328,503.394,3.96117
4352,528.108,3.95397
4376,501.34,3.96817
4405,505.435,4.01256
4429,490.885,3.96581
4452,508.475,3.97995
4476,513.484,3.95345
4505,480.095,3.96183
4529,501.34,3.93326
4553,503.394,3.93963
4577,464.363,3.96577
4600,484.454,3.94283
4629,481.19,3.95271
4653,478.997,3.96135
4677,482.282,3.97447
4701,453.82,3.98063
4730,471.2,4.02161
4754,456.194,4.01146
4778,462.051,3.9602
4802,505.435,3.9478
4826,464.363,4.00498
4855,483.369,4.01583
4878,483.369,3.98969
4902,457.374,4.02602
4926,481.19,3.98567
4954,490.885,3.97039
4978,468.938,3.98996
5002,489.822,3.99013
5026,500.309,3.95766
5055,498.237,3.93771
5079,444.133,3.9864
5103,483.369,3.92139
5127,504.416,3.88969
5151,499.275,3.94165
5179,488.755,3.90548
5204,484.454,3.93263
5228,491.945,3.91867
5252,488.755,3.90385
5276,484.454,3.9371
5304,466.659,3.94307
5328,472.326,3.93159
5351,464.363,3.93201
5379,477.894,3.94813
5403,441.662,3.96701
5427,449.015,3.98947
5453,474.565,3.98868
5455,513.484,3.93005
5477,483.369,3.96089
5478,485.534,4.00211
5500,480.095,3.98643
5502,488.755,4.02343
5526,493.002,4.06059
5554,493.002,4.12962
5578,501.34,4.13958
5602,494.056,4.15117
5626,495.106,4.13487
5650,483.369,4.15805
5679,472.326,4.16625
5703,474.565,4.15128
5727,439.171,4.21334
5751,472.326,4.17872
5779,467.8,4.1971
5803,450.223,4.20311
5827,473.447,4.14764
5851,474.565,4.1452
5875,470.071,4.19118
5904,449.015,4.25114
5928,463.209,4.21301
5952,458.55,4.22687
5976,457.374,4.22423
6005,464.363,4.21818
6028,489.822,4.17901
6052,471.2,4.20051
6076,465.513,4.18228
6104,456.194,4.20018
6128,450.223,4.19837
6152,477.894,4.19057
6176,485.534,4.16761
6205,465.513,4.21664
6229,494.056,4.17631
6253,490.885,4.16707
6277,452.626,4.22749
6301,442.901,4.24437
6330,473.447,4.19292
6354,475.678,4.13926
6378,473.447,4.20383
6402,482.282,4.14751
6425,426.386,4.20321
6454,459.721,4.21981
6478,467.8,4.20279
6502,463.209,4.21672
6526,430.28,4.25563
6555,458.55,4.19252
6579,445.361,4.22504
6603,447.802,4.25953
6627,462.051,4.20124
6651,459.721,4.19762
6675,453.82,4.20583
6704,465.513,4.13581
6728,452.626,4.17689
6752,457.374,4.21303
6776,419.775,4.20135
6804,446.584,4.18723
6828,457.374,4.17447
6852,430.28,4.2084
6876,450.223,4.21656
6904,449.015,4.21036
6928,435.394,4.20397
6952,466.659,4.19947
6975,418.434,4.23985
7004,434.124,4.21118
7028,480.095,4.16742
7051,451.427,4.23135
7080,496.153,4.12221
7104,450.223,4.24226
7127,472.326,4.20367
7151,434.124,4.26076
7179,432.848,4.22736
7203,453.82,4.21051
7226,445.361,4.21304
7254,476.788,4.15882
7278,480.095,4.15879
7302,455.009,4.22154
7325,434.124,4.17647
7352,460.888,4.18003
7375,426.386,4.1776
7403,452.626,4.17588
7426,436.658,4.24636
7454,485.534,4.13133
7478,470.071,4.16969
7503,451.427,4.17653
7526,459.721,4.21003
7553,422.437,4.21117
7577,451.427,4.17874
7602,465.513,4.17905
7626,460.888,4.17494
7651,456.194,4.16872
7676,468.938,4.16552
7700,449.015,4.20911
7730,459.721,4.18645
