step,pElo,nll
94807,792.761,3.57202
94908,741.174,3.60227
95008,768.169,3.58419
95108,636.782,3.62714
95207,726.57,3.63458
95309,711.081,3.57768
95406,711.081,3.56664
95508,711.081,3.6471
95608,657.684,3.55905
95708,755.009,3.56467
95807,676.844,3.56147
95907,613.725,3.61822
96010,741.174,3.5483
96107,726.57,3.60984
96205,755.009,3.59266
96307,741.174,3.48989
96407,711.081,3.51965
96508,711.081,3.58042
96606,694.566,3.5742
96710,711.081,3.60702
96809,755.009,3.5773
96910,711.081,3.57674
97009,768.169,3.51482
97109,780.731,3.60179
97206,741.174,3.60925
97309,657.684,3.59829
97409,741.174,3.63639
97507,804.314,3.59476
97607,755.009,3.56996
97708,676.844,3.5718
97809,755.009,3.56406
97908,694.566,3.55914
98008,741.174,3.50602
98106,804.314,3.52566
98207,694.566,3.59146
98309,657.684,3.59889
98408,694.566,3.6679
98507,726.57,3.61225
98607,755.009,3.65569
98708,711.081,3.53788
98807,768.169,3.60315
98906,755.009,3.48195
99007,741.174,3.59569
99107,636.782,3.54977
99206,726.57,3.59845
99308,755.009,3.53906
99407,780.731,3.50014
99510,792.761,3.59531
99607,780.731,3.55367
99709,755.009,3.61905
99808,636.782,3.6017
99907,636.782,3.58613
100007,636.782,3.62787
100107,636.782,3.5999
100207,726.57,3.54373
100306,676.844,3.63103
100407,676.844,3.52842
100506,741.174,3.57489
100609,694.566,3.57084
100707,676.844,3.51836
100807,711.081,3.61489
100906,587.936,3.6388
101008,711.081,3.62215
101107,676.844,3.64863
101207,755.009,3.57907
101310,711.081,3.59395
101406,657.684,3.593
101506,755.009,3.52878
101607,676.844,3.61365
101710,694.566,3.54575
101807,711.081,3.55255
101907,768.169,3.59074
102007,726.57,3.68354
102108,768.169,3.54658
102210,711.081,3.51789
102311,726.57,3.6476
102412,804.314,3.59439
102510,694.566,3.50247
102616,694.566,3.54925
102708,694.566,3.63268
102811,694.566,3.62468
102912,694.566,3.6592
103012,780.731,3.62777
103113,694.566,3.63491
103213,755.009,3.57364
103314,711.081,3.61189
103409,711.081,3.58254
103512,792.761,3.52092
103612,804.314,3.52902
103706,768.169,3.59332
103807,792.761,3.52828
103907,780.731,3.57804
104006,694.566,3.55938
104106,711.081,3.65535
104207,676.844,3.62652
104307,726.57,3.58493
104407,676.844,3.64893
104507,657.684,3.68524
104606,755.009,3.63905
104706,755.009,3.57822
104806,726.57,3.587
104907,815.437,3.56859
105008,694.566,3.57834
105107,768.169,3.52687
105211,676.844,3.61543
105307,711.081,3.61387
105407,694.566,3.56134
105511,711.081,3.57193
105607,741.174,3.59831
105708,755.009,3.56487
105810,694.566,3.59569
105906,804.314,3.5867
106010,676.844,3.65471
106111,711.081,3.565
106206,755.009,3.56652
106308,741.174,3.61197
106410,694.566,3.51314
106507,755.009,3.61661
106607,741.174,3.58498
106664,726.57,3.62296
