step,pElo,nll
123,530.015,5.50052
154,491.945,5.83182
179,444.133,5.84792
204,468.938,5.65819
229,488.755,5.508
254,501.34,5.39697
279,520.381,5.22663
304,515.468,5.03492
328,502.368,4.92467
352,518.424,4.79621
376,515.468,4.78799
405,521.356,4.74305
428,516.456,4.68232
451,497.197,4.6589
480,504.416,4.56333
502,520.381,4.52708
525,512.488,4.53137
553,489.822,4.4723
576,518.424,4.37126
604,513.484,4.41942
626,523.298,4.3479
654,515.468,4.35145
677,510.487,4.36257
704,530.965,4.30805
727,529.063,4.30771
755,500.309,4.21877
777,503.394,4.26461
804,530.015,4.19581
827,530.965,4.26603
854,508.475,4.1937
876,525.23,4.15326
904,498.237,4.20104
926,524.265,4.1282
953,520.381,4.12043
975,519.404,4.11374
1003,508.475,4.07344
1030,528.108,4.1108
1052,544.936,4.05311
1080,511.489,4.11727
1102,521.356,4.07544
1129,502.368,4.0895
1151,501.34,4.10777
1178,504.416,4.08417
1205,516.456,4.05837
1227,521.356,4.0606
1255,519.404,4.02149
1276,503.394,4.05731
1304,497.197,4.06792
1326,506.451,4.02281
1353,524.265,4.00102
1380,506.451,4.04025
1402,512.488,3.99616
1430,476.788,4.0559
1452,502.368,4.0219
1479,539.408,4.00681
1501,503.394,3.98883
1528,480.095,4.06227
1555,517.441,3.9864
1578,503.394,3.98342
1605,499.275,4.01279
1627,502.368,4.00119
1654,520.381,3.99799
1676,497.197,3.96701
1704,490.885,4.00922
1726,483.369,3.99375
1753,521.356,3.95911
1780,494.056,3.97271
1802,506.451,3.96353
1830,468.938,4.00436
1851,471.2,4.01272
1879,462.051,4.03671
1901,495.106,4.02539
1928,511.489,3.98323
1951,486.611,4.03546
1977,471.2,4.0126
2004,485.534,3.97851
2026,497.197,3.99965
2054,495.106,3.9666
2076,486.611,3.9884
2103,510.487,3.95356
2130,464.363,3.9914
2152,498.237,3.95177
2179,525.23,3.91368
2201,522.328,3.94287
2229,515.468,3.96248
2251,485.534,3.90734
2278,508.475,3.96167
2305,516.456,3.9179
2327,529.063,3.90251
2355,531.912,3.95166
2377,504.416,3.92771
2404,482.282,3.92847
2426,476.788,3.94349
2453,481.19,3.96556
2480,468.938,3.89473
2502,495.106,3.9219
2528,522.328,3.91699
2554,513.484,3.8925
2576,505.435,3.89297
2603,521.356,3.91838
2629,490.885,3.93422
2651,464.363,3.96528
2677,514.477,3.87054
2704,512.488,3.91754
2725,548.579,3.86247
2751,511.489,3.87385
2778,508.475,3.90217
2805,495.106,3.89037
2826,512.488,3.91535
2853,516.456,3.84823
2879,522.328,3.86569
2901,529.063,3.84232
2926,504.416,3.88578
2953,516.456,3.87256
2979,522.328,3.85994
3000,546.762,3.85233
3027,506.451,3.89224
3054,530.015,3.85223
3080,514.477,3.87738
3102,491.945,3.84547
3128,515.468,3.87126
3155,511.489,3.88047
3176,546.762,3.82459
3203,513.484,3.88295
3230,530.015,3.81756
3252,482.282,3.83578
3278,467.8,3.88466
3300,512.488,3.89813
3327,502.368,3.84256
3354,497.197,3.879
3375,493.002,3.82983
3402,519.404,3.79164
3429,500.309,3.83279
3451,511.489,3.80916
3477,519.404,3.82608
3504,513.484,3.82828
3526,525.23,3.82299
3553,531.912,3.795
3580,500.309,3.8377
3602,493.002,3.85958
3628,494.056,3.81461
3655,518.424,3.82408
3677,514.477,3.83
3704,464.363,3.85513
3726,490.885,3.83185
3753,474.565,3.83958
3781,499.275,3.7869
3802,470.071,3.83505
3830,506.451,3.79357
3851,529.063,3.81106
3879,489.822,3.84045
3901,504.416,3.84318
3928,487.685,3.8349
3955,465.513,3.86542
3977,538.479,3.73836
4005,513.484,3.72443
4027,512.488,3.79779
4055,510.487,3.82163
4077,495.106,3.76702
4104,498.237,3.83332
4126,507.464,3.78622
4154,482.282,3.81973
4176,484.454,3.80244
4204,516.456,3.75705
4226,511.489,3.80777
4254,509.482,3.77161
4276,527.151,3.75875
4303,513.484,3.81298
4325,518.424,3.77617
4353,521.356,3.79494
4381,514.477,3.80338
4403,533.8,3.78097
4430,519.404,3.73463
4452,530.015,3.75734
4480,532.858,3.71906
4502,507.464,3.80671
4529,524.265,3.79092
4551,519.404,3.75331
4579,499.275,3.73603
4601,513.484,3.79168
4629,509.482,3.79496
4655,522.328,3.78057
4677,496.153,3.82671
4705,475.678,3.86609
4727,487.685,3.81254
4755,501.34,3.72212
4777,497.197,3.81844
4805,498.237,3.7829
4827,512.488,3.72853
4855,502.368,3.69165
4877,487.685,3.77249
4905,484.454,3.76679
4927,517.441,3.72322
4955,484.454,3.79901
4977,482.282,3.7588
5005,484.454,3.76455
5027,528.108,3.77795
5054,495.106,3.78502
5077,529.063,3.75236
5104,495.106,3.76678
5126,491.945,3.73657
5154,491.945,3.76306
5176,512.488,3.7022
5204,502.368,3.72388
5226,509.482,3.72907
5254,484.454,3.78739
5276,476.788,3.82131
5303,526.192,3.76079
5329,471.2,3.8147
5352,516.456,3.73744
5380,486.611,3.76533
5402,525.23,3.72347
5429,488.755,3.7505
5451,483.369,3.77405
5479,518.424,3.73054
5501,488.755,3.77393
5529,485.534,3.77478
5551,506.451,3.80835
5579,506.451,3.74508
5601,537.548,3.77404
5629,527.151,3.71828
5651,521.356,3.70655
5678,493.002,3.73813
5700,530.965,3.74457
5728,493.002,3.73373
5756,530.015,3.68493
5778,510.487,3.71209
5804,521.356,3.68225
5830,483.369,3.71185
5851,514.477,3.68659
5877,507.464,3.7176
5904,547.671,3.70568
5930,497.197,3.75157
5951,494.056,3.73171
5978,473.447,3.75952
6001,481.19,3.76996
6028,497.197,3.78213
6051,511.489,3.71946
6078,495.106,3.68665
6101,533.8,3.65941
6128,509.482,3.78817
6150,493.002,3.78461
6178,508.475,3.82386
6200,533.8,3.69701
6227,486.611,3.76152
6254,484.454,3.7607
6280,528.108,3.68993
6301,508.475,3.71772
6327,489.822,3.77973
6353,481.19,3.7849
6380,530.015,3.70424
6401,528.108,3.70757
6428,540.335,3.65226
6455,495.106,3.72481
6477,507.464,3.70268
6503,505.435,3.69501
6530,519.404,3.6707
6551,523.298,3.71866
6578,527.151,3.69455
6605,520.381,3.68864
6627,499.275,3.7034
6655,523.298,3.70539
6677,513.484,3.6743
6705,471.2,3.74912
6727,528.108,3.67596
6755,488.755,3.73911
6777,502.368,3.73864
6804,526.192,3.69993
6826,500.309,3.66888
6854,571.491,3.60434
6876,504.416,3.69855
6904,477.894,3.68972
6926,508.475,3.71139
6954,491.945,3.73422
6976,518.424,3.75858
7004,472.326,3.79545
7026,493.002,3.78081
7054,499.275,3.7611
7076,456.194,3.80288
7104,486.611,3.74748
7126,509.482,3.74499
7153,504.416,3.67887
7176,468.938,3.79887
7203,539.408,3.65054
7226,524.265,3.69343
7254,504.416,3.69612
7276,481.19,3.74068
7304,474.565,3.70269
7326,482.282,3.69065
7354,462.051,3.72113
7376,530.965,3.66915
7404,481.19,3.71438
7426,504.416,3.67696
7454,477.894,3.68217
7476,504.416,3.74498
7504,500.309,3.69441
7526,506.451,3.73705
7553,502.368,3.66793
7575,495.106,3.70859
7603,531.912,3.65115
7625,528.108,3.66043
7653,524.265,3.69742
7675,495.106,3.75107
7703,549.484,3.61419
7729,515.468,3.69986
7737,539.408,3.70013
7754,506.451,3.71186
7776,525.23,3.64856
7803,501.34,3.65082
7826,500.309,3.71024
7853,520.381,3.73237
7880,528.108,3.68382
7903,513.484,3.74503
7930,514.477,3.74383
7952,502.368,3.72132
7979,511.489,3.74609
8002,496.153,3.73033
8029,520.381,3.75439
8051,442.901,3.94616
8079,538.479,3.73183
8101,523.298,3.70693
8128,506.451,3.77497
8155,507.464,3.7872
8177,478.997,3.82844
8205,493.002,3.81119
8227,518.424,3.72979
8254,477.894,3.84625
8276,545.85,3.74446
8304,513.484,3.80129
8326,476.788,3.78958
8353,497.197,3.83219
8380,491.945,3.84302
8402,504.416,3.8201
8430,518.424,3.73112
8452,521.356,3.78574
8479,521.356,3.72694
8501,535.679,3.70621
8528,497.197,3.80836
8550,528.108,3.7364
8578,486.611,3.81848
8605,516.456,3.75974
8627,511.489,3.81017
8654,547.671,3.68835
8676,497.197,3.77028
8703,532.858,3.74756
8725,529.063,3.712
8753,522.328,3.72169
8780,530.965,3.76347
8802,498.237,3.77107
8829,491.945,3.78556
8851,495.106,3.77739
8879,525.23,3.71314
8900,519.404,3.77981
8928,541.26,3.74666
8955,568.047,3.80075
8977,481.19,3.86034
9005,543.102,3.69618
9027,539.408,3.7273
9054,537.548,3.71012
9076,498.237,3.73926
9104,498.237,3.75684
9126,468.938,3.84617
