step,pElo,nll
189736,787.965,3.27223
189763,816.735,3.24154
189777,814.958,3.2478
189801,796.435,3.27453
189828,798.842,3.26994
189852,775.745,3.28934
189879,772.049,3.2907
189902,783.705,3.30312
189926,799.443,3.26148
189952,826.167,3.22703
189976,801.244,3.25716
190003,795.229,3.26157
190027,810.207,3.24264
190054,770.814,3.27321
190077,815.551,3.2295
190101,816.735,3.23781
190128,794.022,3.27938
190151,806.033,3.27042
190178,823.816,3.24586
190202,832.027,3.21818
190226,820.281,3.27306
190253,796.435,3.23578
190276,815.551,3.22812
190303,803.641,3.24126
190326,798.241,3.25657
190353,803.641,3.21816
190376,798.241,3.23396
190403,797.639,3.27519
190426,811.396,3.23875
190452,808.42,3.26198
190476,778.201,3.32938
190502,811.396,3.25756
190526,801.244,3.25955
190552,796.435,3.30571
190576,806.033,3.25022
190603,824.404,3.25361
190626,807.823,3.25871
190653,808.42,3.26061
190677,822.639,3.25759
190703,817.326,3.27401
190726,807.823,3.25789
190752,795.832,3.27691
190776,803.641,3.27172
190802,789.786,3.27907
190828,822.05,3.23845
190851,797.037,3.28634
190877,787.358,3.31626
190903,783.095,3.28668
190927,793.418,3.31554
190952,785.533,3.28024
190978,805.435,3.25577
191001,814.958,3.2282
191027,799.443,3.27691
191052,813.772,3.23602
191076,805.435,3.31482
191101,803.641,3.25881
191127,787.358,3.30817
191153,814.365,3.26926
191176,787.965,3.29798
191203,794.625,3.30039
191228,775.745,3.28143
191251,793.418,3.25715
191277,790.998,3.26747
191303,809.611,3.24429
191326,773.898,3.29103
191352,804.838,3.2482
191379,763.369,3.30414
191401,829.1,3.24904
191427,802.443,3.26687
191453,784.315,3.27183
191476,832.027,3.19532
191502,825.58,3.225
191528,837.277,3.2145
191550,799.443,3.24431
191577,823.816,3.2218
191602,817.326,3.24294
191628,813.178,3.20505
191651,808.42,3.24769
191677,793.418,3.23487
191703,829.686,3.20107
191726,816.143,3.22632
191752,830.272,3.23423
191777,823.227,3.22182
191803,812.585,3.24192
191826,781.262,3.26266
191852,825.58,3.24013
191877,819.69,3.20331
191903,822.639,3.2105
191926,826.755,3.23433
191951,832.027,3.21234
191977,810.207,3.23328
192003,796.435,3.25228
192026,816.143,3.24214
192052,801.244,3.26163
192078,768.958,3.27951
192103,803.042,3.23783
192126,800.644,3.20939
192152,798.241,3.25528
192178,781.262,3.26964
192201,798.241,3.24388
192227,786.75,3.25804
192253,792.208,3.30288
192278,811.396,3.22917
192300,820.281,3.26094
192326,811.396,3.25612
192352,797.639,3.25648
192378,816.735,3.25459
192404,810.802,3.2279
192427,806.033,3.26074
192452,830.272,3.22698
192478,801.844,3.28948
192503,822.639,3.28695
192526,826.755,3.26697
192551,814.958,3.2637
192576,819.1,3.29163
192601,800.044,3.29379
192627,822.05,3.28105
192652,819.1,3.25739
192678,813.178,3.28136
192701,827.928,3.24056
192726,787.358,3.26889
192752,799.443,3.24437
192778,816.143,3.23102
192801,810.802,3.26669
192827,825.58,3.22644
192853,820.281,3.25564
192876,801.244,3.27327
192901,804.838,3.27103
192927,806.033,3.26591
192952,807.227,3.24364
192979,792.813,3.27174
193001,800.644,3.23
193026,771.431,3.27067
193052,784.315,3.23697
193077,800.044,3.28612
193103,847.717,3.19549
193126,808.42,3.26054
193153,824.992,3.23862
193178,789.179,3.25536
193201,803.641,3.20232
193227,800.044,3.22185
193252,790.998,3.23757
193277,797.037,3.21625
193304,818.509,3.22461
193326,807.823,3.2206
193352,823.816,3.21658
193377,803.641,3.23591
193402,830.857,3.23265
193428,804.24,3.21121
193454,804.838,3.23177
193476,820.871,3.22584
193502,820.281,3.21896
193527,845.404,3.17721
193553,814.958,3.21563
193578,827.928,3.19896
193603,808.42,3.25367
193626,816.735,3.22087
193653,804.24,3.26077
193676,811.991,3.28355
193702,820.281,3.264
193727,756.491,3.32406
193753,798.241,3.30636
193776,784.924,3.27672
193801,768.338,3.3361
193827,783.705,3.26252
193852,772.666,3.26795
193877,786.75,3.26412
193903,830.272,3.21484
193928,830.272,3.25018
193951,803.042,3.29037
193977,823.227,3.27434
194003,797.037,3.30163
194028,824.992,3.22709
194050,814.365,3.22033
194075,815.551,3.27565
194102,797.037,3.27749
194127,791.603,3.23314
194152,818.509,3.22781
194177,815.551,3.22984
194201,800.644,3.28041
194227,821.46,3.22937
194252,811.991,3.28149
194277,798.241,3.2721
194302,810.802,3.25319
194328,812.585,3.26346
194351,814.958,3.2334
194376,815.551,3.2411
194402,816.143,3.24014
194428,798.842,3.29266
194452,819.69,3.25272
194477,826.167,3.24818
194503,816.143,3.27111
194528,803.641,3.23335
194551,806.63,3.26052
194577,843.087,3.2463
194602,810.802,3.25063
194627,817.326,3.2484
194652,826.755,3.2467
194677,815.551,3.24222
194703,834.363,3.22824
194728,820.281,3.23767
194751,813.772,3.26056
194776,819.69,3.25806
194802,800.044,3.24634
194828,801.844,3.2925
194851,844.246,3.23018
194877,818.509,3.28812
194903,823.816,3.2596
194928,816.735,3.26894
194951,840.766,3.23022
194976,799.443,3.25689
195003,797.639,3.23689
195028,797.639,3.28854
195052,789.786,3.27999
195077,795.832,3.26511
195104,831.442,3.19439
195125,810.802,3.22657
195151,819.1,3.22413
195177,804.24,3.22554
195202,804.838,3.24477
195226,813.772,3.2598
195251,817.326,3.20645
195277,810.207,3.23972
195303,816.735,3.21633
195328,825.58,3.23859
195352,814.958,3.25296
195376,828.514,3.26206
195402,800.644,3.25913
195427,789.786,3.27344
195452,819.69,3.21309
195478,812.585,3.23206
195503,819.69,3.2152
195528,820.871,3.23932
195553,827.341,3.23052
195576,804.24,3.2736
195601,843.666,3.18025
195627,830.857,3.24294
195652,809.016,3.25033
195677,803.641,3.23309
195703,797.037,3.23928
195728,803.042,3.24708
195754,826.167,3.22741
195777,805.435,3.22712
195802,800.644,3.23467
195827,822.639,3.22916
195852,817.326,3.2501
195878,794.625,3.21866
195904,797.037,3.24748
195928,822.639,3.21872
195950,790.392,3.21218
195976,803.641,3.25106
196001,800.644,3.26714
196027,821.46,3.24232
196053,806.033,3.25701
196079,792.208,3.24645
196104,822.639,3.23179
196126,817.918,3.25969
196151,819.1,3.29098
196177,806.63,3.25433
196203,804.24,3.23084
196228,797.037,3.22446
196253,799.443,3.24719
196275,812.585,3.2396
196301,820.871,3.22964
196327,788.573,3.27821
196353,811.991,3.26818
196378,816.143,3.22546
196403,817.326,3.24822
196428,817.918,3.25976
196450,796.435,3.26401
196476,814.958,3.24045
196502,819.69,3.20058
196527,797.037,3.22703
196553,810.802,3.27724
196576,818.509,3.2201
196602,822.639,3.21568
196628,812.585,3.23865
196653,814.365,3.29651
196676,814.365,3.28295
196701,833.195,3.27756
196727,799.443,3.27563
196752,815.551,3.25321
196777,808.42,3.24611
196802,814.365,3.19819
196827,829.1,3.22075
196852,813.772,3.21666
196878,802.443,3.22591
196903,804.24,3.27243
196926,813.178,3.25361
196951,801.244,3.29431
196976,811.991,3.28436
197001,804.24,3.27987
197026,798.241,3.29858
197051,813.178,3.23807
197077,804.24,3.29187
197102,789.786,3.28541
197127,798.241,3.2531
197152,828.514,3.22238
197178,813.772,3.26937
197204,819.69,3.21447
197226,840.185,3.21104
197251,821.46,3.21845
197276,838.441,3.20361
197301,827.928,3.17675
197327,798.241,3.24732
197353,802.443,3.2157
197377,803.042,3.24434
197402,835.529,3.19084
197427,831.442,3.20375
197452,799.443,3.20357
197479,782.484,3.28031
197501,823.227,3.22875
197526,807.227,3.27652
197552,817.326,3.23336
197577,811.991,3.2251
197603,814.365,3.26476
197628,817.326,3.25199
197653,787.965,3.27718
197676,836.695,3.22402
197701,784.924,3.26404
197726,800.644,3.24987
197751,831.442,3.2361
197777,811.396,3.21488
197803,779.426,3.28018
197828,798.842,3.25111
197853,824.992,3.23748
197876,810.802,3.23112
197902,804.24,3.24022
197926,816.143,3.21368
