step,pElo,nll
47,544.936,3.76408
72,529.063,4.10879
76,528.108,4.18186
102,521.356,4.98726
128,524.265,5.3654
151,541.26,5.58226
178,541.26,5.66028
202,553.981,5.38376
228,550.388,5.24184
252,550.388,5.12182
278,574.056,4.99997
302,549.484,4.97973
328,559.312,4.92067
352,559.312,4.93762
378,577.452,4.81096
401,551.289,4.79562
428,567.181,4.72601
451,545.85,4.68191
478,543.102,4.59115
501,542.182,4.56256
527,516.456,4.54864
551,515.468,4.52044
577,536.615,4.3804
601,529.063,4.39042
627,486.611,4.40537
651,508.475,4.3093
677,493.002,4.29141
701,495.106,4.31711
727,530.015,4.25589
751,494.056,4.21241
777,500.309,4.21174
801,503.394,4.18765
827,528.108,4.1057
851,504.416,4.22276
877,522.328,4.09324
900,546.762,4.08763
926,517.441,4.10378
952,514.477,4.09387
978,519.404,4.04663
1001,499.275,4.08204
1027,529.063,3.98721
1050,523.298,3.97084
1076,508.475,4.02881
1102,529.063,3.94851
1125,521.356,3.99828
1152,509.482,3.93411
1178,529.063,3.93614
1202,523.298,4.01885
1225,507.464,3.99161
1252,530.965,3.95303
1275,526.192,3.95911
1302,518.424,3.94267
1326,525.23,3.93694
1352,518.424,3.86884
1376,538.479,3.89316
1402,535.679,3.87344
1426,527.151,3.89465
1453,496.153,3.98238
1476,488.755,3.92545
1502,504.416,3.83667
1526,520.381,3.88705
1552,490.885,3.98376
1575,523.298,3.84451
1602,515.468,3.89758
1625,526.192,3.83289
1652,551.289,3.78557
1676,551.289,3.80479
1702,536.615,3.80201
1725,500.309,3.90146
1752,530.015,3.8105
1776,534.741,3.88276
1791,503.394,3.88558
1802,548.579,3.77323
1803,511.489,3.83116
1826,518.424,3.8189
1853,533.8,3.79559
1877,539.408,3.82645
1903,534.741,3.89726
1926,517.441,3.89377
1953,544.02,3.84935
1976,542.182,3.82122
2002,531.912,3.83813
2026,549.484,3.85547
2052,533.8,3.93974
2076,546.762,3.79609
2102,511.489,3.9385
2126,565.445,3.83178
2152,527.151,3.89719
2176,531.912,3.86335
2202,551.289,3.80807
2226,503.394,3.87019
2252,512.488,3.93993
2276,504.416,3.89322
2302,503.394,3.93873
2326,496.153,3.92884
2353,525.23,3.9031
2376,506.451,3.94087
2402,529.063,3.88517
2426,516.456,3.92495
2452,501.34,3.86921
2476,491.945,3.95419
2503,537.548,3.84987
2527,538.479,3.84422
2551,561.074,3.76775
2577,530.965,3.8593
2601,530.965,3.87515
2627,530.015,3.89728
2651,519.404,3.88455
2678,499.275,3.89633
2701,521.356,3.87735
2728,536.615,3.84983
2752,524.265,3.87503
2776,503.394,3.91172
2803,541.26,3.92089
2826,553.086,3.85551
2853,561.952,3.82804
2877,545.85,3.96924
2902,551.289,3.80016
2926,506.451,3.87653
2953,459.721,3.93411
2976,496.153,3.90517
3003,508.475,3.9172
3027,507.464,3.94798
3051,524.265,3.92104
3078,486.611,3.95035
3101,526.192,3.88869
3128,497.197,3.92217
3152,530.015,3.85927
3178,526.192,3.9671
3201,510.487,3.85332
3228,542.182,3.86622
3252,516.456,3.8989
3276,498.237,3.92521
3302,562.828,3.8321
3326,540.335,3.86355
3353,516.456,3.91105
