step,pElo,nll
27,459.721,3.41887
52,456.194,3.46056
77,450.223,3.5389
101,452.626,3.60176
127,453.82,3.69814
151,458.55,3.82724
176,413.006,4.01972
201,426.386,4.19518
226,430.28,4.282
251,459.721,4.28293
275,452.626,4.29854
300,449.015,4.24683
325,466.659,4.20454
352,453.82,4.19946
375,460.888,4.18957
400,460.888,4.19665
426,468.938,4.17874
452,472.326,4.14287
476,494.056,4.13123
502,483.369,4.15432
526,510.487,4.06666
552,498.237,4.06324
575,541.26,3.99246
601,523.298,4.00188
625,496.153,3.96814
651,510.487,3.93926
675,501.34,3.93764
702,517.441,3.9081
726,520.381,3.90225
750,518.424,3.92427
777,540.335,3.85354
801,555.766,3.83969
825,553.086,3.83767
851,568.047,3.81979
876,562.828,3.81271
902,571.491,3.78752
926,567.181,3.78578
952,558.428,3.7855
976,561.952,3.80248
1002,556.655,3.82343
1026,573.202,3.75651
1052,584.999,3.80341
1076,567.181,3.77345
1101,560.194,3.81641
1127,571.491,3.80945
1151,577.452,3.76632
1177,585.829,3.73143
1201,571.491,3.77828
1227,579.982,3.78543
1252,580.822,3.76752
1275,590.782,3.75607
1300,575.757,3.77903
1326,578.297,3.79266
1352,589.137,3.7865
1375,579.14,3.78286
1402,593.238,3.75533
1425,575.757,3.76723
1448,586.659,3.76089
1450,598.919,3.7634
1476,595.681,3.76663
1502,583.333,3.78574
1525,589.137,3.73341
1550,594.868,3.80958
1575,582.497,3.84932
1600,593.238,3.88164
1626,587.486,3.90251
1652,585.829,3.9023
1676,578.297,3.87325
1700,584.167,3.88577
1726,592.421,3.87892
1751,592.421,3.9263
1777,581.66,3.93842
1800,606.123,3.87859
1825,593.238,3.94203
1851,588.312,3.91951
1876,585.829,3.9547
1900,593.238,3.94836
1925,586.659,3.90134
1951,600.529,3.97521
1975,602.935,3.93572
2001,598.919,3.92979
2026,589.96,3.93464
2050,602.134,3.92704
2076,606.917,3.89581
2101,598.111,3.91616
2126,597.303,3.94216
2151,593.238,3.91709
2175,591.602,3.89019
2201,589.137,3.89304
2226,602.935,3.86461
2251,597.303,3.86421
2277,606.917,3.85011
2301,591.602,3.9427
2326,603.734,3.8602
2350,584.999,3.98496
2376,598.919,3.98955
2402,609.291,3.98598
2425,580.822,4.0532
2450,588.312,3.99085
2475,589.96,4.01355
2501,598.111,3.97212
2526,602.935,3.93147
2551,595.681,3.8974
2577,588.312,3.90954
2602,590.782,3.93692
2625,585.829,3.93515
2650,590.782,3.93248
2676,591.602,3.93147
2701,590.782,3.93186
2727,581.66,3.96169
2751,594.868,3.97298
2776,589.96,3.96228
2801,598.111,3.92896
2827,597.303,3.98684
2851,592.421,3.93066
2877,604.532,3.90669
2901,602.935,3.91126
2927,596.493,3.86895
2951,591.602,3.91939
2975,583.333,3.92165
3001,602.134,3.90821
3025,583.333,3.93282
3052,580.822,3.93833
3076,598.111,3.88335
3102,598.919,3.89734
3127,587.486,3.87486
3151,597.303,3.87738
3175,596.493,3.90184
3202,598.111,3.88188
3226,618.674,3.90146
3252,600.529,3.89229
3276,609.291,3.8736
3301,603.734,3.87362
3327,598.111,3.871
3351,602.935,3.83727
3375,598.919,3.88971
3402,594.868,3.87744
3426,602.134,3.81979
3450,600.529,3.86173
3477,596.493,3.83537
3501,591.602,3.88812
3525,603.734,3.85021
3552,604.532,3.86351
3576,600.529,3.85422
3602,601.332,3.8743
3627,591.602,3.92153
3651,580.822,3.88811
3675,591.602,3.89807
3702,592.421,3.88219
3726,601.332,3.93058
3750,607.71,3.87956
3777,594.054,3.91846
3801,594.868,3.92336
3825,594.868,3.91567
3852,596.493,3.93258
3876,594.868,3.92045
3902,599.725,3.9404
3926,594.868,3.93706
3950,596.493,3.90851
3977,601.332,3.91393
4001,598.111,3.90677
4026,603.734,3.91928
4052,594.054,3.89245
4076,607.71,3.84147
4101,618.674,3.81566
4126,615.566,3.80158
4150,606.917,3.82094
4176,600.529,3.87991
4200,610.08,3.88704
4227,618.674,3.83707
4251,593.238,3.90051
4277,614.786,3.84322
4301,607.71,3.87726
4326,605.328,3.8424
4352,600.529,3.8779
4376,587.486,3.89072
4402,614.005,3.84783
4426,589.96,3.88457
4452,598.111,3.89094
4476,582.497,3.87097
4500,591.602,3.90824
4527,588.312,3.88399
4551,598.111,3.87436
4575,589.137,3.9008
4602,595.681,3.85237
4626,603.734,3.90107
4650,604.532,3.84756
4676,608.501,3.81352
4701,602.935,3.77484
4727,596.493,3.84208
4751,614.005,3.83513
4775,608.501,3.82672
4801,590.782,3.88767
4826,596.493,3.88087
4852,589.96,3.85909
4876,604.532,3.87061
4900,597.303,3.85266
4926,604.532,3.87384
4951,609.291,3.85271
4976,604.532,3.86229
5001,604.532,3.8709
5026,612.438,3.83923
5041,622.532,3.80828
5052,625.597,3.8422
5077,613.222,3.83358
5100,617.898,3.80579
5125,636.936,3.78509
5151,628.645,3.78407
5176,614.786,3.81237
5200,627.123,3.79707
5225,643.626,3.74832
5251,620.992,3.83053
5276,622.532,3.83028
5302,621.762,3.80511
5326,636.936,3.77432
5351,630.919,3.78029
5376,623.3,3.81149
5401,630.162,3.77799
5426,619.447,3.74504
5451,634.688,3.71948
5476,619.447,3.76311
5501,642.146,3.75695
5526,630.919,3.77442
5551,643.626,3.76267
5576,636.188,3.75453
5601,641.405,3.75389
5626,648.042,3.73032
5652,645.102,3.76411
5677,638.43,3.77766
5702,633.183,3.78844
5727,637.683,3.76023
5752,640.663,3.77924
5775,632.43,3.76741
5801,633.183,3.76069
5826,645.102,3.73482
5852,634.688,3.75678
5877,624.067,3.78585
5900,641.405,3.71392
5926,633.936,3.74876
5951,627.123,3.77954
5977,639.175,3.72499
6001,647.308,3.74266
6026,633.183,3.78386
6052,636.188,3.77007
6075,641.405,3.77149
6102,636.936,3.78219
6125,642.146,3.79019
6151,633.183,3.7931
6175,629.404,3.81726
6200,630.919,3.80249
6226,617.898,3.78061
6250,630.919,3.80847
6275,628.645,3.78513
6301,631.675,3.78398
6327,625.597,3.76944
6351,632.43,3.76521
6377,618.674,3.79082
6401,630.919,3.7655
6426,641.405,3.74939
6451,642.887,3.7788
6475,643.626,3.78612
6502,636.188,3.80535
6527,631.675,3.81839
6552,624.833,3.81183
6576,636.188,3.79288
6601,646.574,3.78872
6626,641.405,3.76015
6650,637.683,3.76489
6677,631.675,3.80045
6702,634.688,3.75076
6727,634.688,3.75942
6751,634.688,3.74197
6776,641.405,3.74351
6801,633.183,3.77954
6826,641.405,3.75949
6851,644.364,3.74472
6875,638.43,3.80468
6902,629.404,3.78811
6927,645.838,3.75835
6951,645.102,3.74466
6976,643.626,3.72699
7002,640.663,3.69626
7027,647.308,3.70917
7052,630.162,3.72519
7077,632.43,3.7059
7102,626.361,3.72234
7127,628.645,3.74829
7152,633.183,3.74473
7177,637.683,3.75945
7202,647.308,3.72568
7226,656.048,3.75623
7251,643.626,3.76878
7276,651.695,3.74305
7300,627.885,3.7721
7327,651.695,3.73999
7352,644.364,3.7852
7377,638.43,3.77928
7402,646.574,3.71063
7426,645.102,3.71896
7451,648.774,3.73629
7477,650.236,3.72001
7502,643.626,3.75471
7526,650.966,3.71331
