step,pElo,nll
4,556.655,3.55669
30,530.965,3.52855
50,489.822,3.60571
76,477.894,3.7156
100,459.721,3.77148
126,466.659,3.88388
151,473.447,3.90428
175,501.34,4.02907
201,487.685,4.19669
226,462.051,4.28761
251,465.513,4.34505
276,464.363,4.35862
300,476.788,4.34352
325,490.885,4.35116
350,494.056,4.30746
375,500.309,4.27846
400,489.822,4.25245
425,491.945,4.19109
450,482.282,4.23052
475,482.282,4.19355
500,478.997,4.15588
521,476.788,4.16954
546,509.482,4.11046
550,494.056,4.11745
575,495.106,4.0531
600,499.275,4.04382
625,501.34,3.98168
650,517.441,3.94914
675,487.685,3.96994
700,510.487,3.87773
725,506.451,3.88939
751,513.484,3.8783
775,493.002,3.89556
801,520.381,3.8387
826,527.151,3.84668
850,521.356,3.84437
876,544.936,3.77285
900,532.858,3.80887
926,530.965,3.80424
951,531.912,3.80883
975,565.445,3.76434
1000,540.335,3.7853
1026,568.91,3.74787
1051,574.907,3.72518
1076,560.194,3.75669
1101,544.936,3.74845
1126,573.202,3.71699
1150,561.952,3.72487
1175,566.314,3.72436
1201,542.182,3.75772
1226,547.671,3.73235
1251,553.086,3.74722
1275,571.491,3.71659
1294,562.828,3.71327
1300,565.445,3.71737
1326,564.575,3.73788
1350,573.202,3.71103
1376,547.671,3.76514
1401,552.188,3.80796
1426,557.543,3.80408
1450,547.671,3.8222
1476,566.314,3.83275
1501,570.632,3.80189
1526,576.605,3.78726
1551,576.605,3.75474
1576,579.982,3.75437
1601,576.605,3.72054
1626,576.605,3.73263
1650,585.829,3.6967
1676,583.333,3.71899
1701,581.66,3.72855
1726,590.782,3.71191
1750,593.238,3.72321
1776,580.822,3.74893
1801,587.486,3.73546
1825,568.91,3.78459
1850,605.328,3.71966
1875,583.333,3.76191
1900,602.134,3.71899
1926,610.867,3.68252
1950,606.123,3.69085
1976,592.421,3.7126
2001,579.14,3.80339
2026,592.421,3.76309
2050,596.493,3.75022
2076,594.868,3.77207
2101,593.238,3.76931
2126,595.681,3.78465
2150,620.22,3.78889
2175,604.532,3.76057
2201,608.501,3.73419
2226,599.725,3.78774
2250,613.222,3.75051
2275,609.291,3.73362
2301,609.291,3.78636
2326,618.674,3.74319
2350,613.222,3.76354
2375,623.3,3.7231
2400,624.067,3.71799
2425,621.762,3.73257
2450,627.885,3.69365
2476,615.566,3.73918
2501,624.833,3.74984
2526,607.71,3.77271
2551,598.111,3.78553
2575,606.917,3.75663
2601,595.681,3.78095
2625,623.3,3.73784
2650,640.663,3.68764
2675,610.08,3.77948
2701,605.328,3.79172
2726,613.222,3.73362
2750,607.71,3.79549
2775,618.674,3.72972
2801,610.867,3.76587
2826,624.067,3.75278
2851,602.134,3.7702
2864,613.222,3.78022
2875,617.122,3.816
2901,593.238,3.93963
2926,606.123,3.86493
2950,614.786,3.83899
2976,620.22,3.92453
3000,595.681,3.95969
3026,607.71,3.88815
3051,613.222,3.90711
3076,609.291,3.8627
3100,612.438,3.87806
3125,624.067,3.83331
3151,612.438,3.80801
3175,609.291,3.82519
3200,621.762,3.86806
3226,603.734,3.88957
3251,595.681,3.86536
3275,606.123,3.8892
3301,602.935,3.83121
3326,605.328,3.82814
3350,600.529,3.87901
3376,586.659,3.82187
3401,592.421,3.79369
3425,602.935,3.79369
3450,613.222,3.843
3476,627.123,3.83964
3501,617.122,3.88968
3525,617.122,3.89196
3550,617.122,3.86304
3576,617.898,3.8452
3600,613.222,3.82897
3626,608.501,3.80757
