step,pElo,nll
71,579.982,3.41705
97,578.297,3.28947
101,575.757,3.67133
127,574.907,3.87669
151,579.982,3.29185
177,579.982,3.65686
200,581.66,3.26845
227,581.66,3.31583
250,581.66,3.69697
277,581.66,3.3194
300,579.14,5.09632
327,585.829,3.69174
350,564.575,5.67617
377,580.822,3.32865
400,580.822,3.25262
427,578.297,3.72673
450,542.182,10.03067
477,580.822,3.30928
500,580.822,3.37673
527,580.822,4.61525
550,575.757,3.99244
577,582.497,3.39299
600,581.66,3.25516
627,579.982,3.90629
651,553.086,7.90492
678,580.822,3.31948
701,591.602,4.49726
727,580.822,3.3051
751,568.91,4.73658
777,575.757,5.21748
801,585.829,3.98941
827,579.14,3.58205
851,587.486,3.85845
877,576.605,5.01172
901,575.757,4.42919
927,576.605,3.41141
951,579.14,3.74098
977,579.982,3.64677
1001,568.91,5.14741
1027,580.822,4.47941
1051,570.632,6.36217
1077,579.14,4.11234
1101,553.086,7.24481
1127,579.982,4.10896
1151,561.952,5.55427
1178,575.757,5.28841
1201,570.632,5.761
1228,568.91,5.20826
1252,564.575,4.98568
1275,574.056,15.39943
1302,571.491,8.45623
1325,590.782,3.97694
1352,530.015,6.57118
1375,532.858,6.60896
1402,546.762,6.28404
1426,508.475,7.81347
1452,538.479,12.33544
1476,526.192,6.95128
1502,574.907,4.65643
1526,570.632,3.63502
1552,546.762,5.70139
1576,579.14,3.58476
1602,548.579,5.39237
1626,580.822,3.90656
1652,577.452,3.87958
1676,580.822,3.27003
1702,580.822,3.28989
1726,580.822,3.25262
1752,582.497,3.25779
1776,578.297,3.84315
1801,581.66,4.2991
1828,580.822,3.25262
1851,575.757,3.43756
1878,580.822,3.28929
1901,568.047,4.17126
1928,579.982,3.29756
1951,574.056,4.71231
1978,581.66,3.27546
2001,580.822,3.25262
2028,579.982,3.29627
2051,583.333,6.3987
2078,574.056,4.41405
2102,572.347,3.66852
2125,571.491,5.26906
2152,507.464,8.09166
2175,578.297,3.44124
2202,575.757,3.95664
2225,573.202,4.06707
2252,578.297,3.2937
2275,568.047,4.23884
2302,576.605,3.81818
2326,568.91,5.0954
2352,579.14,3.51912
2376,577.452,3.56778
2402,570.632,4.19669
2426,574.056,4.32856
2452,569.772,6.95848
2475,579.14,3.81099
2501,581.66,3.36223
2527,564.575,6.39415
2550,554.874,4.80498
2577,579.982,3.33749
2600,579.14,3.37208
2627,578.297,3.77131
2653,581.66,4.53602
2676,599.725,4.55058
2701,584.167,3.54262
2727,614.005,5.88264
2751,564.575,11.83954
2777,594.868,4.23631
2801,574.907,9.35732
2827,579.982,3.33046
2851,580.822,3.27311
2877,584.167,7.63135
2900,572.347,6.58384
2926,597.303,9.87753
2952,567.181,13.03696
2978,579.982,3.51203
3001,522.328,8.65223
3028,579.982,3.54885
3051,584.999,6.69369
3077,536.615,7.75405
3100,581.66,4.68372
3126,574.907,10.47458
