Head to head statistics:

   1 Sloppy                                             :Removed from calculation
 2) Stockfish                                    1320.0 :   3600 (+3567,=14,-19),  99.3 %

    vs.                                                 :  games (    +,  =,  -),   (%) :    Diff,    SD, CFS (%)
    DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)        :    100 (   99,  0,  1),  99.0 :  +714.1,  28.0,  100.0
    DCM v5                                              :    100 (   97,  0,  3),  97.0 :  +716.2,  28.5,  100.0
    DCM Qeu8-resume2 (latest)                           :    100 (   98,  1,  1),  98.5 :  +731.6,  27.5,  100.0
    DCM nT8Y-resume3 (latest)                           :    100 (   96,  3,  1),  97.5 :  +743.1,  29.0,  100.0
    DCM Qeu8 (latest)                                   :    100 (   98,  2,  0),  99.0 :  +752.9,  28.5,  100.0
    DCM mini2b-3MIV-resume3 (latest)                    :    100 (   97,  1,  2),  97.5 :  +758.2,  27.4,  100.0
    DCM Qeu8e3 (latest)                                 :    100 (  100,  0,  0), 100.0 :  +784.5,  27.1,  100.0
    DCM mini2b-3MIV-resume (latest)                     :    100 (   98,  1,  1),  98.5 :  +785.7,  27.6,  100.0
    DCM nT8Y-resume4 (latest)                           :    100 (  100,  0,  0), 100.0 :  +788.0,  28.5,  100.0
    DCM - Qeu8e5                                        :    100 (   99,  0,  1),  99.0 :  +791.9,  27.9,  100.0
    DCM v5_5block_7x7_lnout-wd5e4 (latest)              :    100 (  100,  0,  0), 100.0 :  +794.4,  28.6,  100.0
    DCM nT8Y-fatconv-resume (latest)                    :    100 (  100,  0,  0), 100.0 :  +795.0,  27.8,  100.0
    DCM Qeu8e4 (latest)                                 :    100 (  100,  0,  0), 100.0 :  +801.6,  27.7,  100.0
    DCM mini2b-3MIV-resume2 (latest)                    :    100 (  100,  0,  0), 100.0 :  +804.6,  28.0,  100.0
    DCM nT8Y-resume2 (latest)                           :    100 (   96,  1,  3),  96.5 :  +812.9,  28.3,  100.0
    DCM Qeu8e2 (latest)                                 :    100 (   98,  1,  1),  98.5 :  +820.5,  27.4,  100.0
    DCM Qeu8e5 (latest)                                 :    100 (   99,  1,  0),  99.5 :  +821.0,  28.2,  100.0
    DCM v5_5block_7x7_lnout (latest)                    :    100 (   98,  1,  1),  98.5 :  +847.1,  28.1,  100.0
    DCM mini1b-Coxw (latest)                            :    100 (   99,  0,  1),  99.0 :  +857.2,  28.3,  100.0
    DCM nT8Y-fatconv (latest)                           :    100 (   99,  0,  1),  99.0 :  +872.3,  28.0,  100.0
    DCM Qeu8e (latest)                                  :    100 (   99,  1,  0),  99.5 :  +938.0,  27.5,  100.0
    DCM mini-YkKk-resume (latest)                       :    100 (   97,  1,  2),  97.5 :  +944.0,  26.4,  100.0
    DCM v3_8block_3x3 (latest)                          :    100 (  100,  0,  0), 100.0 :  +945.9,  27.5,  100.0
    DCM 9blk16se-9x9stem (latest)                       :    100 (  100,  0,  0), 100.0 :  +985.6,  27.6,  100.0
    DCM mini2b-3MIV (latest)                            :    100 (  100,  0,  0), 100.0 :  +991.4,  27.5,  100.0
    DCM mini-YkKk (latest)                              :    100 (  100,  0,  0), 100.0 : +1014.6,  27.7,  100.0
    DCM T97X (latest)                                   :    100 (  100,  0,  0), 100.0 : +1138.4,  27.5,  100.0
    DCM Early 2 - 373k-step 8-block v3 May25-29         :    100 (  100,  0,  0), 100.0 : +1141.8,  27.4,  100.0
    DCM uni16-9x9stem (latest)                          :    100 (  100,  0,  0), 100.0 : +1164.0,  28.3,  100.0
    DCM Exp2 - full10ply200 + 7x7                       :    100 (  100,  0,  0), 100.0 : +1175.8,  28.5,  100.0
    DCM q2Bb-tanh (latest)                              :    100 (  100,  0,  0), 100.0 : +1186.9,  28.3,  100.0
