
   # PLAYER                                          :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)
   1 Stockfish                                       :  1320.0   50.4  3574.0    3700    97     100
   2 DCM v5_5block_7x7_lnout-wd2.5e4-m93 (latest)    :   605.9   11.8  2620.0    3738    70      61
   3 DCM v5                                          :   603.8   11.5  2577.5    3700    70      97
   4 DCM Qeu8-resume2 (latest)                       :   588.4   10.8  2522.0    3700    68      94
   5 DCM nT8Y-resume3 (latest)                       :   576.9   11.1  2479.5    3700    67      93
   6 DCM Qeu8 (latest)                               :   567.1   11.9  2442.5    3700    66      77
   7 DCM mini2b-3MIV-resume3 (latest)                :   561.8   10.6  2422.5    3700    65     100
   8 DCM Qeu8e3 (latest)                             :   535.5    9.4  2320.5    3700    63      58
   9 DCM mini2b-3MIV-resume (latest)                 :   534.3   10.5  2315.5    3700    63      63
  10 DCM nT8Y-resume4 (latest)                       :   532.0   11.2  2306.5    3700    62      71
  11 DCM - Qeu8e5                                    :   528.1    9.8  2291.0    3700    62      64
  12 DCM v5_5block_7x7_lnout-wd5e4 (latest)          :   525.6   10.7  2356.0    3800    62      53
  13 DCM nT8Y-fatconv-resume (latest)                :   525.0   10.2  2279.0    3700    62      85
  14 DCM Qeu8e4 (latest)                             :   518.4   10.8  2252.5    3700    61      67
  15 DCM mini2b-3MIV-resume2 (latest)                :   515.4   10.5  2240.5    3700    61      89
  16 DCM nT8Y-resume2 (latest)                       :   507.1   11.5  2207.0    3700    60      87
  17 DCM Qeu8e2 (latest)                             :   499.5    9.9  2176.5    3700    59      53
  18 DCM Qeu8e5 (latest)                             :   499.0   10.9  2174.5    3700    59     100
  19 DCM v5_5block_7x7_lnout (latest)                :   472.9   10.6  2067.5    3700    56      91
  20 DCM mini1b-Coxw (latest)                        :   462.8   11.8  2026.0    3700    55      99
  21 DCM nT8Y-fatconv (latest)                       :   447.7   10.3  1963.5    3700    53     100
  22 DCM Qeu8e (latest)                              :   382.0   10.5  1692.0    3700    46      79
  23 DCM mini-YkKk-resume (latest)                   :   376.0   10.5  1667.5    3700    45      61
  24 DCM v3_8block_3x3 (latest)                      :   374.1   10.2  1659.5    3700    45     100
  25 DCM 9blk16se-9x9stem (latest)                   :   334.4    9.9  1524.5    3800    40      81
  26 DCM mini2b-3MIV (latest)                        :   328.6   10.1  1476.5    3700    40     100
  27 DCM mini-YkKk (latest)                          :   305.4   11.6  1385.5    3700    37     100
  28 DCM T97X (latest)                               :   181.6   11.0   940.0    3700    25      69
  29 DCM Early 2 - 373k-step 8-block v3 May25-29     :   178.2    9.6   932.0    3738    25     100
  30 DCM uni16-9x9stem (latest)                      :   156.0   11.0   858.0    3700    23      95
  31 DCM Exp2 - full10ply200 + 7x7                   :   144.2   11.1   821.5    3700    22      91
  32 DCM q2Bb-tanh (latest)                          :   133.1   14.2   788.0    3700    21      52
  33 DCM q2Bb-clamp (latest)                         :   132.8   10.6   787.0    3700    21      62
  34 DCM 20260626-2-q2Bb-manual (latest)             :   130.6   11.3   780.5    3800    21     100
  35 DCM q2Bb-tanhSqrtN (latest)                     :    67.6   10.7   606.0    3700    16      57
  36 DCM Exp1 - 467k-step basic30 + 7x7              :    66.3   10.9   602.5    3700    16      50
  37 DCM freshNet (latest)                           :    66.3   11.1   602.5    3700    16     ---

White advantage = 0.00 +/- 0.00
Draw rate (equal opponents) = 50.00 % +/- 0.00

